condition,Kinase,n_peptides,n_pairs,mean_diff,statistic,effect_size,p_value,p_adjusted,source_file
Neg15m_NegCTL,QIK,48,144,-0.3489235887912275,726,0.06954022988505747,3.205617248450923e-19,2.3313579988733983e-18,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,IKK,39,117,-0.3946555243252248,347,0.0502679994205418,3.112214990163387e-17,2.0748099934422583e-16,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PKG,43,129,-0.3959362563641748,586,0.06988670244484198,5.885253288061968e-17,3.6216943311150573e-16,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PDHK,43,129,-0.331756199939862,796,0.0949314251639833,1.4301563531947474e-15,8.1723220182557e-15,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PKD,31,93,-0.433667179292821,155,0.03546099290780142,7.360173659827689e-15,3.925425951908101e-14,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MAPKAPK,38,114,-0.3595451242186019,539,0.08222730739893211,9.83215437690973e-15,4.916077188454865e-14,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RIPK,30,90,-0.44974779512057184,174,0.04249084249084249,4.8323759184308573e-14,2.2740592557321684e-13,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,AKT,34,102,-0.30890481180345974,408,0.07766990291262135,2.1198998298974892e-13,9.42177702176662e-13,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PAKA,25,75,-0.41942702362514206,95,0.03333333333333333,2.210752178481423e-12,9.308430225184939e-12,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PDK1,35,105,-0.2623285332376352,583,0.10476190476190476,3.386194307002721e-12,1.3544777228010884e-11,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,P38,29,87,-0.3093695711095359,319,0.08333333333333333,2.4123351776208275e-11,9.18984829569839e-11,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,STE7,29,87,-0.3436385035635984,349,0.09117032392894461,3.553953233928104e-11,1.2923466305193106e-10,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RAD53,28,84,-0.35937693223437733,289,0.08095238095238096,4.137026678401977e-11,1.4389658011832964e-10,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,AMPK,19,57,-0.43640035595624643,38,0.022988505747126436,3.829486005408735e-10,1.2764953351362452e-9,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MELK,23,69,-0.304178604946834,165,0.06832298136645963,4.662503753143522e-10,1.4920012010059273e-9,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,ERK,30,90,-0.2516901952418392,505,0.12332112332112333,9.085602052777719e-10,2.7955698623931447e-9,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CK1,23,69,-0.36960472901607266,186,0.07701863354037267,1.0312027438623194e-9,3.055415537369835e-9,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
