condition,Neg5m_NegCTL,Neg15m_NegCTL,Neg30m_NegCTL,Neg1h_NegCTL,Neg4h_NegCTL,Neg24h_NegCTL,Pos5m_PosCTL,Pos15m_PosCTL,Pos30m_PosCTL,Pos1h_PosCTL,Pos4h_PosCTL,Pos24h_PosCTL
Neg5m_NegCTL,1,0.02678398183973409,-0.10678224566832645,-0.09523305880219282,-0.05969680925135834,-0.018257940741067756,-0.19827144073223288,0.020500868545831982,-0.04092224911966883,-0.24887774231716125,-0.3067576843828094,0.2625699925827426
Neg15m_NegCTL,0.02678398183973409,1,0.6174243088489291,0.44878825503486003,0.26491908965857064,0.20038264395604397,0.599282377356961,0.3245780106510584,0.3629835148227685,0.670716323508897,0.6341132722761058,0.2619755230859514
Neg30m_NegCTL,-0.10678224566832645,0.6174243088489291,1,0.7039061137291956,0.4462762077360341,-0.06163751364688768,0.5918998640763357,0.5899535916663621,0.5778182918183032,0.7055181709705952,0.6592501427439595,0.10923103684258575
Neg1h_NegCTL,-0.09523305880219282,0.44878825503486003,0.7039061137291956,1,0.7109629272705238,0.028160729831051133,0.47516862530326276,0.5457132667267098,0.495648533300241,0.6493463240273383,0.6270944379257578,0.05986926814475438
Neg4h_NegCTL,-0.05969680925135834,0.26491908965857064,0.4462762077360341,0.7109629272705238,1,0.018323190665160183,0.22006647957068468,0.3296709197141348,0.2753264646101023,0.4053847977042413,0.41845156738016237,0.01871304578569551
Neg24h_NegCTL,-0.018257940741067756,0.20038264395604397,-0.06163751364688768,0.028160729831051133,0.018323190665160183,1,0.12094067878503897,-0.015779517821851392,-0.0927122873503199,0.0958744965449267,0.04122759634537069,-0.012981393336218087
Pos5m_PosCTL,-0.19827144073223288,0.599282377356961,0.5918998640763357,0.47516862530326276,0.22006647957068468,0.12094067878503897,1,0.7169622984327146,0.8118224018727622,0.7680276942675356,0.8016272321412469,-0.13932395550570173
Pos15m_PosCTL,0.020500868545831982,0.3245780106510584,0.5899535916663621,0.5457132667267098,0.3296709197141348,-0.015779517821851392,0.7169622984327146,1,0.9132479848128082,0.5069365594792511,0.5491370263477166,-0.026000341865550586
Pos30m_PosCTL,-0.04092224911966883,0.3629835148227685,0.5778182918183032,0.495648533300241,0.2753264646101023,-0.0927122873503199,0.8118224018727622,0.9132479848128082,1,0.5795117617372278,0.5947165469982129,-0.0397236492724063
Pos1h_PosCTL,-0.24887774231716125,0.670716323508897,0.7055181709705952,0.6493463240273383,0.4053847977042413,0.0958744965449267,0.7680276942675356,0.5069365594792511,0.5795117617372278,1,0.8579182097669897,0.041021710816763715
Pos4h_PosCTL,-0.3067576843828094,0.6341132722761058,0.6592501427439595,0.6270944379257578,0.41845156738016237,0.04122759634537069,0.8016272321412469,0.5491370263477166,0.5947165469982129,0.8579182097669897,1,-0.2003749843882532
Pos24h_PosCTL,0.2625699925827426,0.2619755230859514,0.10923103684258575,0.05986926814475438,0.01871304578569551,-0.012981393336218087,-0.13932395550570173,-0.026000341865550586,-0.0397236492724063,0.041021710816763715,-0.2003749843882532,1
