Kinase,lfc,condition,biologically_meaningful
AKT,0.30754226131574686,Neg15m_NegCTL,TRUE
AMPK,0.4295896525755805,Neg15m_NegCTL,TRUE
ATM,0.7343822246165294,Neg15m_NegCTL,TRUE
ATR,0.28487551603057515,Neg15m_NegCTL,TRUE
AUR,0.3150533881449616,Neg15m_NegCTL,TRUE
AXL,0.14706117523056134,Neg15m_NegCTL,FALSE
BARK1,0.29592222951170566,Neg15m_NegCTL,TRUE
BARK2,0.27823429626842106,Neg15m_NegCTL,TRUE
BRSK,0.07651473513754681,Neg15m_NegCTL,FALSE
CAMK1,0.4295896525755805,Neg15m_NegCTL,TRUE
CAMK2,0.20210866404872663,Neg15m_NegCTL,TRUE
CDK,0.28603860940674186,Neg15m_NegCTL,TRUE
CHK1,0.4087032650170981,Neg15m_NegCTL,TRUE
CK1,0.32242243002872445,Neg15m_NegCTL,TRUE
CK2,0.3464898862607993,Neg15m_NegCTL,TRUE
COT,0.14344476306532808,Neg15m_NegCTL,FALSE
CSK,0.14706117523056134,Neg15m_NegCTL,FALSE
DAPK,0.2654486541806055,Neg15m_NegCTL,TRUE
DMPK,0.3150533881449616,Neg15m_NegCTL,TRUE
DYRK,0.2671647867381379,Neg15m_NegCTL,TRUE
EGFR,0.14706117523056134,Neg15m_NegCTL,FALSE
ERK,0.2451951968076932,Neg15m_NegCTL,TRUE
FRAY,0.2743434813161354,Neg15m_NegCTL,TRUE
GRK,0.35167777019694324,Neg15m_NegCTL,TRUE
GSK,0.32120605788625245,Neg15m_NegCTL,TRUE
HAL,0.3317654073744798,Neg15m_NegCTL,TRUE
IKK,0.3333040384761408,Neg15m_NegCTL,TRUE
IRAK,0.24602179233063587,Neg15m_NegCTL,TRUE
JNK,0.24198036661604494,Neg15m_NegCTL,TRUE
KHS,0.3878168774586157,Neg15m_NegCTL,TRUE
LKB,0.13635052044918852,Neg15m_NegCTL,FALSE
MAPKAPK,0.3220400112697173,Neg15m_NegCTL,TRUE
MARK,0.3547372349846629,Neg15m_NegCTL,TRUE
MELK,0.2934269301207835,Neg15m_NegCTL,TRUE
MLCK,0.1351270072894657,Neg15m_NegCTL,FALSE
MLK,0.27823429626842106,Neg15m_NegCTL,TRUE
MOS,-0.6149116331390907,Neg15m_NegCTL,TRUE
MSN,0.16902132079198773,Neg15m_NegCTL,FALSE
MST,0.22256593466862934,Neg15m_NegCTL,TRUE
MTOR,0.24025383197809563,Neg15m_NegCTL,TRUE
NAK,0.03876788269673881,Neg15m_NegCTL,FALSE
NDR,0.30754226131574686,Neg15m_NegCTL,TRUE
NEK,0.29592222951170566,Neg15m_NegCTL,TRUE
NMO,0.5093486948802218,Neg15m_NegCTL,TRUE
P38,0.27823429626842106,Neg15m_NegCTL,TRUE
PAKA,0.4295896525755805,Neg15m_NegCTL,TRUE
PAKB,0.16134842102329783,Neg15m_NegCTL,FALSE
PASK,0.5994832889886187,Neg15m_NegCTL,TRUE
PDGFR,0.14706117523056134,Neg15m_NegCTL,FALSE
PDHK,0.3130232539570219,Neg15m_NegCTL,TRUE
PDK1,0.2292523625597589,Neg15m_NegCTL,TRUE
PEK,0.29467457981624456,Neg15m_NegCTL,TRUE
PHK,0.2891512230756793,Neg15m_NegCTL,TRUE
PIM,0.2961651269444965,Neg15m_NegCTL,TRUE
PKA,0.3758640626346761,Neg15m_NegCTL,TRUE
PKCA,0.3150533881449616,Neg15m_NegCTL,TRUE
PKCD,0.4740149535974568,Neg15m_NegCTL,TRUE
PKCH,0.29592222951170566,Neg15m_NegCTL,TRUE
PKCI,0.2743434813161354,Neg15m_NegCTL,TRUE
PKD,0.3878168774586157,Neg15m_NegCTL,TRUE
PKG,0.3878168774586157,Neg15m_NegCTL,TRUE
PKN,0.1690361523414546,Neg15m_NegCTL,FALSE
PLK,0.28707826289006333,Neg15m_NegCTL,TRUE
PRKDC,0.27823429626842106,Neg15m_NegCTL,TRUE
QIK,0.2903988727711404,Neg15m_NegCTL,TRUE
RAD53,0.38685810159193124,Neg15m_NegCTL,TRUE
RAF,0.2740546845672207,Neg15m_NegCTL,TRUE
RIPK,0.4077444891504136,Neg15m_NegCTL,TRUE
RSK,0.3224942893112195,Neg15m_NegCTL,TRUE
SGK,0.27823429626842106,Neg15m_NegCTL,TRUE
SLK,0.14344476306532808,Neg15m_NegCTL,FALSE
STE11,0.4545939964245526,Neg15m_NegCTL,TRUE
STE7,0.2934269301207835,Neg15m_NegCTL,TRUE
STKR,0.24436860128475055,Neg15m_NegCTL,TRUE
SYK,0.14706117523056134,Neg15m_NegCTL,FALSE
