Kinase,lfc,condition,biologically_meaningful
TAO,0.19459787851864735,Neg15m_NegCTL,FALSE
TEC,0.14706117523056134,Neg15m_NegCTL,FALSE
VEGFR,0.14706117523056134,Neg15m_NegCTL,FALSE
VRK1,0.28487551603057515,Neg15m_NegCTL,TRUE
VRK2,0.29592222951170566,Neg15m_NegCTL,TRUE
AKT,0.13353829050927413,Neg30m_NegCTL,FALSE
AMPK,0.2329527627469948,Neg30m_NegCTL,TRUE
ATM,0.41083366461050846,Neg30m_NegCTL,TRUE
ATR,0.08504217153026072,Neg30m_NegCTL,FALSE
AUR,0.20250924612128784,Neg30m_NegCTL,TRUE
AXL,-0.0639317744585548,Neg30m_NegCTL,FALSE
BARK1,0.1373983435412039,Neg30m_NegCTL,FALSE
BARK2,0.04319289913325945,Neg30m_NegCTL,FALSE
BRSK,-0.14411436579992437,Neg30m_NegCTL,FALSE
CAMK1,0.323567732510553,Neg30m_NegCTL,TRUE
CAMK2,0.1541391000258594,Neg30m_NegCTL,FALSE
CDK,0.1112036530651809,Neg30m_NegCTL,FALSE
CHK1,0.18318597769795675,Neg30m_NegCTL,FALSE
CK1,0.1541391000258594,Neg30m_NegCTL,FALSE
CK2,0.20250924612128784,Neg30m_NegCTL,TRUE
COT,-0.03637389917061787,Neg30m_NegCTL,FALSE
CSK,-0.0639317744585548,Neg30m_NegCTL,FALSE
DAPK,0.1112036530651809,Neg30m_NegCTL,FALSE
DMPK,0.1541391000258594,Neg30m_NegCTL,FALSE
DYRK,0.00177797007542176,Neg30m_NegCTL,FALSE
EGFR,-0.0639317744585548,Neg30m_NegCTL,FALSE
ERK,-0.007503457306224254,Neg30m_NegCTL,FALSE
FRAY,0.2122328553700541,Neg30m_NegCTL,TRUE
GRK,0.11480557224857271,Neg30m_NegCTL,FALSE
GSK,0.053961519303831196,Neg30m_NegCTL,FALSE
HAL,0.2513619351423083,Neg30m_NegCTL,TRUE
IKK,0.2122328553700541,Neg30m_NegCTL,TRUE
IRAK,0.13531452669626898,Neg30m_NegCTL,FALSE
JNK,-0.02193509704760702,Neg30m_NegCTL,FALSE
KHS,0.2329527627469948,Neg30m_NegCTL,TRUE
LKB,-0.01528670987579043,Neg30m_NegCTL,FALSE
MAPKAPK,0.14781902044035822,Neg30m_NegCTL,FALSE
MARK,0.17294512186984182,Neg30m_NegCTL,FALSE
MELK,0.04861790888164329,Neg30m_NegCTL,FALSE
MLCK,0.01737828912709134,Neg30m_NegCTL,FALSE
MLK,0.04319289913325945,Neg30m_NegCTL,FALSE
MOS,-0.25078351088161843,Neg30m_NegCTL,TRUE
MSN,0.05329226065537917,Neg30m_NegCTL,FALSE
MST,-0.00500659948075762,Neg30m_NegCTL,FALSE
MTOR,0.04178669283232628,Neg30m_NegCTL,FALSE
NAK,0.01737828912709134,Neg30m_NegCTL,FALSE
NDR,0.3224880252213304,Neg30m_NegCTL,TRUE
NEK,0.1541391000258594,Neg30m_NegCTL,FALSE
NMO,-0.26323092575020024,Neg30m_NegCTL,TRUE
P38,0.04319289913325945,Neg30m_NegCTL,FALSE
PAKA,0.26441433902424577,Neg30m_NegCTL,TRUE
PAKB,-0.040844900797924424,Neg30m_NegCTL,FALSE
PASK,0.6160070749171954,Neg30m_NegCTL,TRUE
PDGFR,-0.0639317744585548,Neg30m_NegCTL,FALSE
PDHK,0.2122328553700541,Neg30m_NegCTL,TRUE
PDK1,0.0403804865313931,Neg30m_NegCTL,FALSE
PEK,0.13944864219803046,Neg30m_NegCTL,FALSE
PHK,0.13944864219803046,Neg30m_NegCTL,FALSE
PIM,0.14781902044035822,Neg30m_NegCTL,FALSE
PKA,0.29199438265861577,Neg30m_NegCTL,TRUE
PKCA,0.15497837927966795,Neg30m_NegCTL,FALSE
PKCD,0.323567732510553,Neg30m_NegCTL,TRUE
PKCH,0.14195543243459596,Neg30m_NegCTL,FALSE
PKCI,0.2122328553700541,Neg30m_NegCTL,TRUE
PKD,0.3017932767289784,Neg30m_NegCTL,TRUE
PKG,0.26441433902424577,Neg30m_NegCTL,TRUE
PKN,-0.02334525188521485,Neg30m_NegCTL,FALSE
PLK,0.14887814350190948,Neg30m_NegCTL,FALSE
PRKDC,0.07002431268427114,Neg30m_NegCTL,FALSE
QIK,0.10588254867319274,Neg30m_NegCTL,FALSE
RAD53,0.22259280905852447,Neg30m_NegCTL,TRUE
RAF,0.09898982626147479,Neg30m_NegCTL,FALSE
RIPK,0.31160079733054313,Neg30m_NegCTL,TRUE
RSK,0.20737105074567097,Neg30m_NegCTL,TRUE
SGK,0.04319289913325945,Neg30m_NegCTL,FALSE
SLK,0.06620403477936523,Neg30m_NegCTL,FALSE
STE11,0.20250924612128784,Neg30m_NegCTL,TRUE
STE7,0.20250924612128784,Neg30m_NegCTL,TRUE
STKR,0.01737828912709134,Neg30m_NegCTL,FALSE
SYK,-0.0639317744585548,Neg30m_NegCTL,FALSE
TAO,0.0403804865313931,Neg30m_NegCTL,FALSE
TEC,-0.0639317744585548,Neg30m_NegCTL,FALSE
VEGFR,-0.0639317744585548,Neg30m_NegCTL,FALSE
VRK1,0.07002431268427114,Neg30m_NegCTL,FALSE
VRK2,0.1373983435412039,Neg30m_NegCTL,FALSE
AKT,0.20344769788383532,Neg5m_NegCTL,TRUE
AMPK,0.23314681591478512,Neg5m_NegCTL,TRUE
ATM,0.31718026038945507,Neg5m_NegCTL,TRUE
ATR,0.27190533693185487,Neg5m_NegCTL,TRUE
AUR,0.1926622703588592,Neg5m_NegCTL,FALSE
AXL,0.30956829107256756,Neg5m_NegCTL,TRUE
BARK1,0.21965695462402124,Neg5m_NegCTL,TRUE
BARK2,0.30521019216352957,Neg5m_NegCTL,TRUE
BRSK,0.1914756723774055,Neg5m_NegCTL,FALSE
CAMK1,0.23805230336254488,Neg5m_NegCTL,TRUE
CAMK2,0.11396790075474827,Neg5m_NegCTL,FALSE
CDK,0.22159694029960061,Neg5m_NegCTL,TRUE
CHK1,0.25009047197152967,Neg5m_NegCTL,TRUE
CK1,0.21920366248358292,Neg5m_NegCTL,TRUE
CK2,0.07819346684467021,Neg5m_NegCTL,FALSE
COT,0.23805230336254488,Neg5m_NegCTL,TRUE
CSK,0.30956829107256756,Neg5m_NegCTL,TRUE
DAPK,0.1957950420213092,Neg5m_NegCTL,FALSE
DMPK,0.22353692597518,Neg5m_NegCTL,TRUE
DYRK,0.2672487964330245,Neg5m_NegCTL,TRUE
EGFR,0.30956829107256756,Neg5m_NegCTL,TRUE
ERK,0.25113654510953803,Neg5m_NegCTL,TRUE
FRAY,0.22353692597518,Neg5m_NegCTL,TRUE
GRK,0.252837187778238,Neg5m_NegCTL,TRUE
GSK,0.2863462289780436,Neg5m_NegCTL,TRUE
HAL,0.1521385283359476,Neg5m_NegCTL,FALSE
IKK,0.23314681591478512,Neg5m_NegCTL,TRUE
IRAK,0.18832341918283527,Neg5m_NegCTL,FALSE
JNK,0.25491518305586985,Neg5m_NegCTL,TRUE
KHS,0.3773354210102541,Neg5m_NegCTL,TRUE
LKB,0.05036755136614376,Neg5m_NegCTL,FALSE
MAPKAPK,0.23302518504129624,Neg5m_NegCTL,TRUE
MARK,0.2123112441460953,Neg5m_NegCTL,TRUE
MELK,0.20624595614586028,Neg5m_NegCTL,TRUE
MLCK,0.21965695462402124,Neg5m_NegCTL,TRUE
MLK,0.23805230336254488,Neg5m_NegCTL,TRUE
MOS,0.02508753290012426,Neg5m_NegCTL,FALSE
MSN,0.22350452678714347,Neg5m_NegCTL,TRUE
MST,0.23079461466886242,Neg5m_NegCTL,TRUE
MTOR,0.23471632117316227,Neg5m_NegCTL,TRUE
NAK,0.07819346684467021,Neg5m_NegCTL,FALSE
NDR,0.13089564937465695,Neg5m_NegCTL,FALSE
NEK,0.20624595614586028,Neg5m_NegCTL,TRUE
NMO,1.568401147471459,Neg5m_NegCTL,TRUE
P38,0.26703412802827425,Neg5m_NegCTL,TRUE
PAKA,0.22353692597518,Neg5m_NegCTL,TRUE
PAKB,0.1831211372269704,Neg5m_NegCTL,FALSE
PASK,0.3552878946478352,Neg5m_NegCTL,TRUE
PDGFR,0.30956829107256756,Neg5m_NegCTL,TRUE
PDHK,0.17338928221383565,Neg5m_NegCTL,FALSE
PDK1,0.22353692597518,Neg5m_NegCTL,TRUE
PEK,0.2020129958781065,Neg5m_NegCTL,TRUE
PHK,0.2149111881069805,Neg5m_NegCTL,TRUE
PIM,0.2263537159948187,Neg5m_NegCTL,TRUE
PKA,0.21943030855380208,Neg5m_NegCTL,TRUE
PKCA,0.21920366248358292,Neg5m_NegCTL,TRUE
PKCD,0.20624595614586028,Neg5m_NegCTL,TRUE
PKCH,0.23805230336254488,Neg5m_NegCTL,TRUE
PKCI,0.15176255786201054,Neg5m_NegCTL,FALSE
PKD,0.2359957646412676,Neg5m_NegCTL,TRUE
PKG,0.22353692597518,Neg5m_NegCTL,TRUE
PKN,0.05770312947290505,Neg5m_NegCTL,FALSE
PLK,0.26336282428431756,Neg5m_NegCTL,TRUE
PRKDC,0.16890105832362445,Neg5m_NegCTL,FALSE
QIK,0.23079461466886242,Neg5m_NegCTL,TRUE
RAD53,0.1903676237141741,Neg5m_NegCTL,FALSE
RAF,0.2393960013623665,Neg5m_NegCTL,TRUE
RIPK,0.25491518305586985,Neg5m_NegCTL,TRUE
RSK,0.2149111881069805,Neg5m_NegCTL,TRUE
SGK,0.24279623808346543,Neg5m_NegCTL,TRUE
SLK,0.25774947852334423,Neg5m_NegCTL,TRUE
STE11,0.21920366248358292,Neg5m_NegCTL,TRUE
STE7,0.1926622703588592,Neg5m_NegCTL,FALSE
STKR,0.26703412802827425,Neg5m_NegCTL,TRUE
SYK,0.30956829107256756,Neg5m_NegCTL,TRUE
TAO,0.10083696034115729,Neg5m_NegCTL,FALSE
TEC,0.30956829107256756,Neg5m_NegCTL,TRUE
VEGFR,0.30956829107256756,Neg5m_NegCTL,TRUE
VRK1,0.2672487964330245,Neg5m_NegCTL,TRUE
VRK2,0.21965695462402124,Neg5m_NegCTL,TRUE
AKT,0.11483277485164724,Neg1h_NegCTL,FALSE
AMPK,0.16982209623787745,Neg1h_NegCTL,FALSE
ATM,0.4383131696895036,Neg1h_NegCTL,TRUE
ATR,-0.02317585395792469,Neg1h_NegCTL,FALSE
AUR,0.16982209623787745,Neg1h_NegCTL,FALSE
AXL,0.01352212764895632,Neg1h_NegCTL,FALSE
BARK1,0.01589388485818421,Neg1h_NegCTL,FALSE
BARK2,0.01352212764895632,Neg1h_NegCTL,FALSE
BRSK,0.04303902661294589,Neg1h_NegCTL,FALSE
CAMK1,0.16982209623787745,Neg1h_NegCTL,FALSE
CAMK2,0.15201709542385222,Neg1h_NegCTL,FALSE
CDK,-0.033543163181770044,Neg1h_NegCTL,FALSE
CHK1,0.08883111373364533,Neg1h_NegCTL,FALSE
CK1,0.03203920597684831,Neg1h_NegCTL,FALSE
CK2,0.3785132296830083,Neg1h_NegCTL,TRUE
COT,-0.05838698897843297,Neg1h_NegCTL,FALSE
CSK,0.01352212764895632,Neg1h_NegCTL,FALSE
DAPK,0.01753129824797975,Neg1h_NegCTL,FALSE
DMPK,0.057919092739107406,Neg1h_NegCTL,FALSE
DYRK,-0.08397619133627407,Neg1h_NegCTL,FALSE
EGFR,0.01352212764895632,Neg1h_NegCTL,FALSE
ERK,-0.12199863049625304,Neg1h_NegCTL,FALSE
FRAY,-0.0520150100832127,Neg1h_NegCTL,FALSE
GRK,0.05110023195055306,Neg1h_NegCTL,FALSE
GSK,-0.05288895518302272,Neg1h_NegCTL,FALSE
HAL,0.28702386060075585,Neg1h_NegCTL,TRUE
IKK,0.14212240785379365,Neg1h_NegCTL,FALSE
IRAK,0.10247593023471854,Neg1h_NegCTL,FALSE
JNK,-0.08681523385444123,Neg1h_NegCTL,FALSE
KHS,0.11483277485164724,Neg1h_NegCTL,FALSE
LKB,-0.16587989880945417,Neg1h_NegCTL,FALSE
MAPKAPK,0.01916871163777529,Neg1h_NegCTL,FALSE
MARK,0.11483277485164724,Neg1h_NegCTL,FALSE
MELK,-0.03815627802927413,Neg1h_NegCTL,FALSE
MLCK,-0.09110407518122,Neg1h_NegCTL,FALSE
MLK,-0.02966587048967669,Neg1h_NegCTL,FALSE
MSN,-0.03726555254185948,Neg1h_NegCTL,FALSE
MST,-0.06778664492348281,Neg1h_NegCTL,FALSE
MTOR,-0.033911074259475406,Neg1h_NegCTL,FALSE
NAK,-0.07718630086853265,Neg1h_NegCTL,FALSE
NDR,0.3184996054536775,Neg1h_NegCTL,TRUE
NEK,-0.03815627802927413,Neg1h_NegCTL,FALSE
NMO,-0.26785156037171315,Neg1h_NegCTL,TRUE
P38,-0.08397619133627407,Neg1h_NegCTL,FALSE
PAKA,0.3644320778812092,Neg1h_NegCTL,TRUE
PAKB,-0.06005058061851527,Neg1h_NegCTL,FALSE
PASK,0.5376010556589348,Neg1h_NegCTL,TRUE
PDGFR,0.01352212764895632,Neg1h_NegCTL,FALSE
PDHK,0.15201709542385222,Neg1h_NegCTL,FALSE
PDK1,-0.06762163233677132,Neg1h_NegCTL,FALSE
PEK,0.00877685101034231,Neg1h_NegCTL,FALSE
PHK,0.03110386912536059,Neg1h_NegCTL,FALSE
PIM,0.017684966484129205,Neg1h_NegCTL,FALSE
PKA,0.3644320778812092,Neg1h_NegCTL,TRUE
PKCA,0.02430025387713316,Neg1h_NegCTL,FALSE
PKCD,0.3845378934547335,Neg1h_NegCTL,TRUE
PKCH,-0.05838698897843297,Neg1h_NegCTL,FALSE
PKCI,0.16982209623787745,Neg1h_NegCTL,FALSE
PKD,0.2524613174526215,Neg1h_NegCTL,TRUE
PKG,0.33975665634445856,Neg1h_NegCTL,TRUE
PKN,-0.11369285281601282,Neg1h_NegCTL,FALSE
PLK,-0.03815627802927413,Neg1h_NegCTL,FALSE
PRKDC,-0.02966587048967669,Neg1h_NegCTL,FALSE
QIK,-0.02317585395792469,Neg1h_NegCTL,FALSE
RAD53,0.11483277485164724,Neg1h_NegCTL,FALSE
RAF,-0.04993522514393585,Neg1h_NegCTL,FALSE
RIPK,0.28377127613016473,Neg1h_NegCTL,TRUE
RSK,0.11483277485164724,Neg1h_NegCTL,FALSE
SGK,-0.02893004833426597,Neg1h_NegCTL,FALSE
SLK,-0.3971878774405552,Neg1h_NegCTL,TRUE
STE11,-0.06762163233677132,Neg1h_NegCTL,FALSE
STE7,-0.01159092378005866,Neg1h_NegCTL,FALSE
STKR,0.042362741062689085,Neg1h_NegCTL,FALSE
SYK,0.01352212764895632,Neg1h_NegCTL,FALSE
TAO,0.01106967909112525,Neg1h_NegCTL,FALSE
TEC,0.01352212764895632,Neg1h_NegCTL,FALSE
VEGFR,0.01352212764895632,Neg1h_NegCTL,FALSE
VRK1,-0.10198928029738408,Neg1h_NegCTL,FALSE
VRK2,0.01589388485818421,Neg1h_NegCTL,FALSE
AKT,0.03089218723961373,Neg24h_NegCTL,FALSE
AMPK,0.07680083547384134,Neg24h_NegCTL,FALSE
ATM,0.1977483770431192,Neg24h_NegCTL,FALSE
ATR,0.0243240918641252,Neg24h_NegCTL,FALSE
AUR,0.05001999875580528,Neg24h_NegCTL,FALSE
AXL,0.04585638401388954,Neg24h_NegCTL,FALSE
BARK1,0.01689579505220913,Neg24h_NegCTL,FALSE
BARK2,0.04585638401388954,Neg24h_NegCTL,FALSE
BRSK,0.04398988230793307,Neg24h_NegCTL,FALSE
CAMK1,0.03089218723961373,Neg24h_NegCTL,FALSE
CAMK2,0.06713691021989363,Neg24h_NegCTL,FALSE
CDK,-0.037568890431661714,Neg24h_NegCTL,FALSE
CHK1,0.043242194022410585,Neg24h_NegCTL,FALSE
CK1,0.03503914654686852,Neg24h_NegCTL,FALSE
CK2,0.01339782738166113,Neg24h_NegCTL,FALSE
COT,0.05336516451759513,Neg24h_NegCTL,FALSE
CSK,0.04585638401388954,Neg24h_NegCTL,FALSE
DAPK,0.022948833722409745,Neg24h_NegCTL,FALSE
DMPK,0.02663914512690959,Neg24h_NegCTL,FALSE
DYRK,-0.03730086286863813,Neg24h_NegCTL,FALSE
EGFR,0.04585638401388954,Neg24h_NegCTL,FALSE
ERK,-0.14592606869405272,Neg24h_NegCTL,FALSE
FRAY,0.06493470535496085,Neg24h_NegCTL,FALSE
GRK,-0.05747187227690646,Neg24h_NegCTL,FALSE
GSK,-0.15114667781951066,Neg24h_NegCTL,FALSE
HAL,-0.11715260206072416,Neg24h_NegCTL,FALSE
IKK,0.02188667476659667,Neg24h_NegCTL,FALSE
IRAK,0.0524335628314172,Neg24h_NegCTL,FALSE
JNK,-0.04223304659451769,Neg24h_NegCTL,FALSE
KHS,0.1117803979672587,Neg24h_NegCTL,FALSE
LKB,-0.05420130937117484,Neg24h_NegCTL,FALSE
MAPKAPK,0.03089218723961373,Neg24h_NegCTL,FALSE
MARK,0.11106532567841695,Neg24h_NegCTL,FALSE
MELK,0.02895419838969398,Neg24h_NegCTL,FALSE
MLCK,-0.09086345474749832,Neg24h_NegCTL,FALSE
MLK,0.02188667476659667,Neg24h_NegCTL,FALSE
MSN,0.041159681453644556,Neg24h_NegCTL,FALSE
MST,0.05371460554592448,Neg24h_NegCTL,FALSE
MTOR,-0.01195367613524953,Neg24h_NegCTL,FALSE
NAK,-0.09086345474749832,Neg24h_NegCTL,FALSE
NDR,0.02416754227117401,Neg24h_NegCTL,FALSE
NEK,0.02895419838969398,Neg24h_NegCTL,FALSE
NMO,0.33402768640669667,Neg24h_NegCTL,TRUE
P38,-0.07954568785095306,Neg24h_NegCTL,FALSE
PAKA,0.03742785618462698,Neg24h_NegCTL,FALSE
PAKB,-0.03116173865309526,Neg24h_NegCTL,FALSE
PASK,0.03089218723961373,Neg24h_NegCTL,FALSE
PDGFR,0.04585638401388954,Neg24h_NegCTL,FALSE
PDHK,0.014616535930425396,Neg24h_NegCTL,FALSE
PDK1,-0.01544947008828767,Neg24h_NegCTL,FALSE
PEK,0.0193912349094029,Neg24h_NegCTL,FALSE
PHK,0.0264825955339584,Neg24h_NegCTL,FALSE
PIM,0.029923192814653853,Neg24h_NegCTL,FALSE
PKA,0.02188667476659667,Neg24h_NegCTL,FALSE
PKCA,0.02188667476659667,Neg24h_NegCTL,FALSE
PKCD,0.11687199743584652,Neg24h_NegCTL,FALSE
PKCH,0.10473473926482237,Neg24h_NegCTL,FALSE
PKCI,0.03089218723961373,Neg24h_NegCTL,FALSE
PKD,0.03089218723961373,Neg24h_NegCTL,FALSE
PKG,0.01339782738166113,Neg24h_NegCTL,FALSE
PKN,-0.14592606869405272,Neg24h_NegCTL,FALSE
PLK,0.02188667476659667,Neg24h_NegCTL,FALSE
PRKDC,-0.02492950834233878,Neg24h_NegCTL,FALSE
QIK,0.00490897999672559,Neg24h_NegCTL,FALSE
RAD53,0.04112409470404307,Neg24h_NegCTL,FALSE
RAF,-0.0029225149857739045,Neg24h_NegCTL,FALSE
RIPK,0.01339782738166113,Neg24h_NegCTL,FALSE
RSK,0.02401099267822282,Neg24h_NegCTL,FALSE
SGK,0.02895419838969398,Neg24h_NegCTL,FALSE
SLK,-0.2882464765727198,Neg24h_NegCTL,TRUE
STE11,-0.14560539303417208,Neg24h_NegCTL,FALSE
STE7,0.01128286465563407,Neg24h_NegCTL,FALSE
STKR,-0.02486968002172763,Neg24h_NegCTL,FALSE
SYK,0.04585638401388954,Neg24h_NegCTL,FALSE
TAO,0.02895419838969398,Neg24h_NegCTL,FALSE
TEC,0.04585638401388954,Neg24h_NegCTL,FALSE
VEGFR,0.04585638401388954,Neg24h_NegCTL,FALSE
VRK1,-0.25661917342346435,Neg24h_NegCTL,TRUE
VRK2,0.01689579505220913,Neg24h_NegCTL,FALSE
AKT,0.1113688934241462,Neg4h_NegCTL,FALSE
AMPK,0.152395729585287,Neg4h_NegCTL,FALSE
ATM,0.29522866708972967,Neg4h_NegCTL,TRUE
ATR,-0.01026681376925136,Neg4h_NegCTL,FALSE
AUR,0.16436701284490832,Neg4h_NegCTL,FALSE
AXL,-0.04207257206780657,Neg4h_NegCTL,FALSE
BARK1,0.02400131196717906,Neg4h_NegCTL,FALSE
BARK2,-0.04207257206780657,Neg4h_NegCTL,FALSE
BRSK,0.00404126378769698,Neg4h_NegCTL,FALSE
CAMK1,0.16436701284490832,Neg4h_NegCTL,FALSE
CAMK2,0.11218731363692713,Neg4h_NegCTL,FALSE
CDK,-0.01999650582866478,Neg4h_NegCTL,FALSE
CHK1,0.014686950127546991,Neg4h_NegCTL,FALSE
CK1,0.06759559566696242,Neg4h_NegCTL,FALSE
CK2,0.25946030574336965,Neg4h_NegCTL,TRUE
COT,-0.07579873731504114,Neg4h_NegCTL,FALSE
CSK,-0.04207257206780657,Neg4h_NegCTL,FALSE
DAPK,-0.00389791334919135,Neg4h_NegCTL,FALSE
DMPK,0.06498842064156325,Neg4h_NegCTL,FALSE
DYRK,-0.10843502781930647,Neg4h_NegCTL,FALSE
EGFR,-0.04207257206780657,Neg4h_NegCTL,FALSE
ERK,-0.13225168591134384,Neg4h_NegCTL,FALSE
FRAY,0.05799794359455923,Neg4h_NegCTL,FALSE
GRK,0.06886987575111961,Neg4h_NegCTL,FALSE
GSK,-0.11166827470235809,Neg4h_NegCTL,FALSE
HAL,0.17002369895677988,Neg4h_NegCTL,FALSE
IKK,0.07197889768856727,Neg4h_NegCTL,FALSE
IRAK,-0.03417461891011708,Neg4h_NegCTL,FALSE
JNK,-0.09249897958334805,Neg4h_NegCTL,FALSE
KHS,0.025332636467397,Neg4h_NegCTL,FALSE
LKB,-0.1921875641557905,Neg4h_NegCTL,FALSE
MAPKAPK,0.025332636467397,Neg4h_NegCTL,FALSE
MARK,0.025332636467397,Neg4h_NegCTL,FALSE
MELK,0.02400131196717906,Neg4h_NegCTL,FALSE
MLCK,-0.07685544108315263,Neg4h_NegCTL,FALSE
MLK,-0.01026681376925136,Neg4h_NegCTL,FALSE
MSN,-0.05341053125515893,Neg4h_NegCTL,FALSE
MST,-0.04154297348313206,Neg4h_NegCTL,FALSE
MTOR,-0.00574235685162202,Neg4h_NegCTL,FALSE
NAK,-0.07685544108315263,Neg4h_NegCTL,FALSE
NDR,0.16466582425511778,Neg4h_NegCTL,FALSE
NEK,0.05799794359455923,Neg4h_NegCTL,FALSE
NMO,-0.211281963278722,Neg4h_NegCTL,TRUE
P38,-0.0905321427041641,Neg4h_NegCTL,FALSE
PAKA,0.1765148632255761,Neg4h_NegCTL,FALSE
PAKB,-0.1456409092634523,Neg4h_NegCTL,FALSE
PASK,0.34069712039737815,Neg4h_NegCTL,TRUE
PDGFR,-0.04207257206780657,Neg4h_NegCTL,FALSE
PDHK,0.1147944886623263,Neg4h_NegCTL,FALSE
PDK1,-0.08856530582498016,Neg4h_NegCTL,FALSE
PEK,0.02466697421728803,Neg4h_NegCTL,FALSE
PHK,0.04305900885195395,Neg4h_NegCTL,FALSE
PIM,0.03108330806050797,Neg4h_NegCTL,FALSE
PKA,0.1765148632255761,Neg4h_NegCTL,FALSE
PKCA,0.03404654201166727,Neg4h_NegCTL,FALSE
PKCD,0.29522866708972967,Neg4h_NegCTL,TRUE
PKCH,-0.04057686946366819,Neg4h_NegCTL,FALSE
