Kinase,Neg5m_NegCTL,Neg15m_NegCTL,Neg30m_NegCTL,Neg1h_NegCTL,Neg4h_NegCTL,Neg24h_NegCTL,Pos5m_PosCTL,Pos15m_PosCTL,Pos30m_PosCTL,Pos1h_PosCTL,Pos4h_PosCTL,Pos24h_PosCTL
AKT,-0.3366666666666667,0.47,0.3075,0.22333333333333336,0.3824999999999999,-0.20333333333333337,0.7125,0.17583333333333334,-0.29333333333333333,0.12500000000000008,-0.04333333333333331,-1.0258333333333334
AMPK,-0.18416666666666665,0.52,0.08000000000000002,0.47,-0.16249999999999992,0.9366666666666666,2.0033333333333334,1.5216666666666667,1.4116666666666666,1.0758333333333332,1.305,-0.5875
ATM,-1.211666666666667,-1.16,-0.9883333333333334,-0.6041666666666666,-1.0625,-1.2875,-0.6716666666666666,-0.9233333333333332,-0.9208333333333334,-0.6191666666666666,-0.6116666666666667,-0.4133333333333334
ATR,-1.0583333333333331,-1.0616666666666668,-1.355,-1.0508333333333333,-1.2416666666666667,-0.9033333333333332,-1.6016666666666666,-1.7983333333333331,-1.6733333333333331,-1.365,-1.3758333333333332,-0.4183333333333333
AUR,-0.3675000000000001,0.4116666666666667,-0.03083333333333335,-0.02333333333333338,-0.3083333333333333,0.06249999999999999,0.02500000000000001,-0.2258333333333333,0.04416666666666667,-0.20083333333333336,0.18666666666666668,0.005
BARK2,0.7916666666666666,0.7108333333333333,0.5533333333333333,0.5499999999999999,0.16333333333333333,0.02000000000000002,-0.19083333333333333,-0.4991666666666667,-0.4875,-0.17083333333333334,-0.3383333333333333,-0.3933333333333333
BRSK,1.3283333333333334,0.37833333333333335,0.5175,-0.06416666666666665,-0.4491666666666666,0.7375,-0.00500000000000007,-0.9716666666666668,-0.27499999999999997,0.3341666666666666,0.04333333333333335,0.4533333333333333
BUD32,-0.9133333333333332,-1.0716666666666668,-0.8416666666666667,-0.735,-0.7825,-0.8658333333333333,-0.8725,-1.0008333333333337,-0.9875,-0.7483333333333333,-0.8275,-0.4816666666666667
CAMK1,1.5016666666666667,1.2975,1.6283333333333334,1.7733333333333332,0.7374999999999999,1.0666666666666669,2.8541666666666665,2.42,2.3716666666666666,1.893333333333333,2.524166666666667,0.1783333333333333
CAMK2,-0.26499999999999996,-0.16166666666666665,0.01416666666666666,0.20083333333333336,-0.9916666666666668,-0.5050000000000001,0.54,0.17499999999999988,0.1883333333333333,1.0433333333333334,0.7225,0.585
CAMKK,-0.9033333333333332,-1.0533333333333332,-0.8425,-0.7358333333333333,-0.7758333333333333,-0.8458333333333333,-0.8466666666666667,-0.9733333333333334,-0.985,-0.7408333333333333,-0.8233333333333334,-0.4766666666666667
CDK,-3.4966666666666666,-4.4325,-3.35,-3.82,-3.138333333333333,-4.099166666666667,-4.066666666666666,-4.479166666666667,-5.128333333333333,-3.195,-3.8791666666666664,-2.0233333333333334
CHK1,0.29333333333333333,-0.005,-0.17666666666666667,-0.37,-0.2891666666666667,0.77,1.0633333333333332,0.42583333333333334,0.6325,0.34833333333333333,0.2441666666666667,0.01583333333333333
CK1,-2.0633333333333335,-2.035,-2.104166666666667,-1.7291666666666667,-1.7716666666666667,-1.7291666666666663,-1.518333333333333,-1.9408333333333336,-1.9908333333333337,-0.9975,-1.3091666666666666,-1.0816666666666668
CK2,-1.05,-0.3166666666666667,-0.4708333333333333,-0.16249999999999998,-0.9716666666666668,-1.221666666666667,-0.09916666666666668,-0.2708333333333333,-0.5483333333333333,0.3908333333333333,0.21166666666666664,-0.6583333333333333
CLK,-0.8908333333333334,-1.0625,-0.8325,-0.7333333333333334,-0.7816666666666666,-0.855,-0.8566666666666667,-0.985,-0.9783333333333334,-0.74,-0.8383333333333334,-0.4733333333333334
COT,-0.1675,-0.09166666666666667,0.2966666666666667,0.12083333333333336,-0.2841666666666666,0.2716666666666667,0.6241666666666666,0.8283333333333334,0.8758333333333332,0.20083333333333336,-0.09000000000000002,0.7116666666666667
DAPK,-0.835,-0.5191666666666667,-0.9291666666666668,-0.44333333333333336,-0.2625,0.30583333333333335,-0.48,-0.7041666666666666,-1.0841666666666667,-1.1416666666666666,-0.8791666666666667,-0.5575
DMPK,-1.875,-1.325,-0.905,0.09583333333333326,-0.27166666666666667,-1.1075,0.2425,-0.7166666666666667,-0.9541666666666668,-0.7091666666666667,-0.6308333333333334,-1.3725
DYRK,-2.3608333333333333,-4.2475,-3.701666666666666,-4.3341666666666665,-3.274166666666667,-2.8766666666666665,-4.308333333333334,-4.504166666666666,-5.0325,-3.788333333333333,-4.251666666666667,-0.9416666666666668
ERK,-2.7983333333333333,-4.610833333333333,-4.384166666666666,-4.145,-2.7108333333333334,-3.183333333333333,-4.739166666666667,-4.84,-5.575,-4.105833333333333,-4.4191666666666665,-1.3383333333333334
FRAY,-1.5658333333333334,-2.1791666666666667,-1.600833333333333,-1.850833333333333,-1.8016666666666667,-1.4925,-1.265,-1.4875,-1.3883333333333334,-1.3633333333333333,-1.3825,-1.2325
GRK,-0.35416666666666663,-0.4083333333333333,-0.43083333333333335,-0.17250000000000004,-0.25,-0.8391666666666666,0.4983333333333333,0.2308333333333333,0.14583333333333331,0.1208333333333333,0.45833333333333326,-0.5425
GSK,-0.7283333333333333,-1.580833333333333,-1.495,-1.600833333333333,-1.1808333333333334,-1.2241666666666666,-1.1983333333333333,-1.225,-1.7775,-1.1525,-0.9616666666666668,-0.3416666666666667
HAL,0.3016666666666666,1.1916666666666669,0.6866666666666666,0.8183333333333334,0.8733333333333333,0.1225,0.7466666666666667,0.8066666666666666,0.7308333333333333,0.8341666666666666,0.8033333333333333,0.33249999999999996
IKK,-0.7975,-1.1366666666666667,-0.8591666666666666,-0.2791666666666666,-1.0683333333333334,-1.1525,-0.56,-1.3708333333333331,-1.5175,-0.8725,-0.67,-1.1033333333333333
