Kinase,Neg5m_NegCTL,Neg15m_NegCTL,Neg30m_NegCTL,Neg1h_NegCTL,Neg4h_NegCTL,Neg24h_NegCTL,Pos5m_PosCTL,Pos15m_PosCTL,Pos30m_PosCTL,Pos1h_PosCTL,Pos4h_PosCTL,Pos24h_PosCTL
AKT,0.20344769788383532,0.30754226131574686,0,0,0,0,0.2853051975724311,0.31549153828479826,0.37002755446113733,0.20579436236804405,0.23802138639178003,0
AMPK,0.23314681591478512,0.4295896525755805,0.2329527627469948,0,0,0,0.5405346607756663,0.6290594501622733,0.5927529522141823,0.28272837641137877,0.3516715580465369,0
ATM,0.31718026038945507,0.7343822246165294,0.41083366461050846,0.4383131696895036,0.29522866708972967,0,0.7793556436676136,0.8533786770993815,0.8148875158257655,0.3954376081623845,0.5930846444884814,0
ATR,0.27190533693185487,0.28487551603057515,0,0,0,0,0,0.20789907091370408,0.2269416542930089,0,0,0
AUR,0,0.3150533881449616,0.20250924612128784,0,0,0,0,0.20523018257265707,0.2093439938875504,0,0.22534892361817813,0
AXL,0.30956829107256756,0,0,0,0,0,0,0.3752765749954842,0.3449703926220293,-0.36049252681144334,-0.2824976426732566,0
BARK1,0.21965695462402124,0.29592222951170566,0,0,0,0,0.21202994684517526,0.23441999477422282,0.2941841211268185,0,0,0
BARK2,0.30521019216352957,0.27823429626842106,0,0,0,0,0,0.28125913017861526,0.29778604031990946,-0.22606451799279856,0,0
BRSK,0,0,0,0,0,0,0.24031057734528097,0,0,-0.2666869762733966,0.450529505325442,-0.20130022457170385
CAMK1,0.23805230336254488,0.4295896525755805,0.323567732510553,0,0,0,0.6683340303439707,0.7068309135317978,0.697654005147708,0.28272837641137877,0.4553064511442682,0
CAMK2,0,0.20210866404872663,0,0,0,0,0.4713899184126539,0.5017269236276979,0.545298061104368,0.27286354850873656,0.3433375854057612,0
CDK,0.22159694029960061,0.28603860940674186,0,0,0,0,0,0.20872731131235744,0.22629212798698597,0,0,0
CHK1,0.25009047197152967,0.4087032650170981,0,0,0,0,0.3246720303901135,0.31812014569089325,0.44198509487430215,0.27006543543373907,0.347504571726149,0
CK1,0.21920366248358292,0.32242243002872445,0,0,0,0,0.24576184065311768,0.29761989412740997,0.3436215229675633,0,0.24722353772456587,0
CK2,0,0.3464898862607993,0.20250924612128784,0.3785132296830083,0.25946030574336965,0,0.49120240732966824,0.4591327091476095,0.48195675248614817,0.33689460207150645,0.3433375854057612,0
COT,0.23805230336254488,0,0,0,0,0,0.23522898618339175,0.20543042339094136,0.3515417354803819,0,0,0
CSK,0.30956829107256756,0,0,0,0,0,0,0.3752765749954842,0.3449703926220293,-0.36049252681144334,-0.2824976426732566,0
DAPK,0,0.2654486541806055,0,0,0,0,0,0.2720627674845121,0.3515417354803819,0,0,0
DMPK,0.22353692597518,0.3150533881449616,0,0,0,0,0.24031057734528097,0.2721383689503594,0.3515417354803819,0,0.21853458352464727,0
DYRK,0.2672487964330245,0.2671647867381379,0,0,0,0,0,0,0,0,0,0
EGFR,0.30956829107256756,0,0,0,0,0,0,0.3752765749954842,0.3449703926220293,-0.36049252681144334,-0.2824976426732566,0
ERK,0.25113654510953803,0.2451951968076932,0,0,0,0,0,0,0,0,0,0
FRAY,0.22353692597518,0.2743434813161354,0.2122328553700541,0,0,0,0,0,0.2627696919937176,0,0,0
GRK,0.252837187778238,0.35167777019694324,0,0,0,0,0.5386837568894584,0.5312809275979954,0.5954742210859411,0.27006543543373907,0.3993220182750147,0
GSK,0.2863462289780436,0.32120605788625245,0,0,0,0,0,0,0,0,0,0
HAL,0,0.3317654073744798,0.2513619351423083,0.28702386060075585,0,0,0.6449013955326168,0.6844126575794677,0.6909092333379694,0.3253301229707146,0.5393890408677617,0
IKK,0.23314681591478512,0.3333040384761408,0.2122328553700541,0,0,0,0.28410767254385344,0.3089177142474936,0.3515417354803819,0.26340047843362785,0.2650177808569837,0
IRAK,0,0.24602179233063587,0,0,0,0,0,0,0.21047729546759028,0,0,0
JNK,0.25491518305586985,0.24198036661604494,0,0,0,0,0,0,0.21047729546759028,0,0,0
KHS,0.3773354210102541,0.3878168774586157,0.2329527627469948,0,0,0,0.2004590589988015,0.25828812384677224,0.2720143429726797,0.25953363450851413,0.21126819666598468,0
LKB,0,0,0,0,0,0,0,0,0,0,0,0
MAPKAPK,0.23302518504129624,0.3220400112697173,0,0,0,0,0.23195570601841498,0.2836029190471329,0.32629351380029714,0,0.22464479152888234,0
MARK,0.2123112441460953,0.3547372349846629,0,0,0,0,0.24031057734528097,0.25828812384677224,0.2720143429726797,0,0.33089885099571337,0
MELK,0.20624595614586028,0.2934269301207835,0,0,0,0,0.223600834691549,0,0.29037268732297683,0,0,0
MLCK,0.21965695462402124,0,0,0,0,0,0,0,0,0,0,0
MLK,0.23805230336254488,0.27823429626842106,0,0,0,0,0.3221312348091689,0.20686585823028603,0.30107171174908576,0,0.22498124209621934,0
MOS,0,-0.6149116331390907,-0.25078351088161843,0,0,0,0,0,0,0,0,0
MSN,0.22350452678714347,0,0,0,0,0,0.3660880042233271,0.409521192169901,0.6039995677552785,0,0,0
MST,0.23079461466886242,0.22256593466862934,0,0,0,0,0,0.20729187647301278,0.26739201748319863,0,0,0
MTOR,0.23471632117316227,0.24025383197809563,0,0,0,0,0,0,0.21331775250281088,0,0,0
NAK,0,0,0,0,0,0,0.409033483434946,0.3557309416641929,0.49329443702417414,0.27286354850873656,0.3433375854057612,-0.2654759700240928
NDR,0,0.30754226131574686,0.3224880252213304,0.3184996054536775,0,0,0.4388864771117088,0.47154891718655045,0.4857132900696941,0.5162937231844479,0.5393433687584022,0
NEK,0.20624595614586028,0.29592222951170566,0,0,0,0,0.27194692786790114,0.232066440615142,0.3906757527244302,0,0,0
NMO,1.568401147471459,0.5093486948802218,-0.26323092575020024,-0.26785156037171315,-0.211281963278722,0.33402768640669667,0.4927292403940203,0,0,0,-0.27898531542381055,0
P38,0.26703412802827425,0.27823429626842106,0,0,0,0,0,0,0.21320678414253658,0,0,0
PAKA,0.22353692597518,0.4295896525755805,0.26441433902424577,0.3644320778812092,0,0,0.6683340303439707,0.7068309135317978,0.697654005147708,0.342528987921218,0.49732490995133516,0
PAKB,0,0,0,0,0,0,0.32125679013935454,0.31609643241968444,0.3846193152987715,0,0,0
PASK,0.3552878946478352,0.5994832889886187,0.6160070749171954,0.5376010556589348,0.34069712039737815,0,0.8737327732087928,1.0172062823714587,0.9792582373218484,0.41078502909481135,0.710043976023997,0
PDGFR,0.30956829107256756,0,0,0,0,0,0,0.3752765749954842,0.3449703926220293,-0.36049252681144334,-0.2824976426732566,0
PDHK,0,0.3130232539570219,0.2122328553700541,0,0,0,0.40815903876513165,0.3912466915563102,0.4554956660706676,0.26744532364067775,0.3008226185060825,0
PDK1,0.22353692597518,0.2292523625597589,0,0,0,0,0,0.20915332955508423,0.23717788876709928,0,0,0
PEK,0.2020129958781065,0.29467457981624456,0,0,0,0,0.223600834691549,0.232066440615142,0.2979955549306602,0,0,0
PHK,0.2149111881069805,0.2891512230756793,0,0,0,0,0.23776978176433636,0.2721005682174358,0.34209665437278725,0,0.21490139009531598,0
PIM,0.2263537159948187,0.2961651269444965,0,0,0,0,0.2792297973596372,0.2768418878251553,0.382523532322097,0,0.22827798495821366,0
PKA,0.21943030855380208,0.3758640626346761,0.29199438265861577,0.3644320778812092,0,0,0.45886622244838315,0.5229488394809487,0.5759888284001886,0.3116860486885618,0.410031206756132,0
PKCA,0.21920366248358292,0.3150533881449616,0,0,0,0,0.23776978176433636,0.26517544566564216,0.3153235640979264,0,0.20273894646787277,0
PKCD,0.20624595614586028,0.4740149535974568,0.323567732510553,0.3845378934547335,0.29522866708972967,0,0.7627525460302866,0.8415172078377189,0.783177517042138,0.38440476765812936,0.5408926193758503,0
PKCH,0.23805230336254488,0.29592222951170566,0,0,0,0,0,0,0.21634587491477147,0,0,0
PKCI,0,0.2743434813161354,0.2122328553700541,0,0,0,0.537809312219644,0.5667966774901126,0.5576754501324346,0.20373165761929712,0.3239179036585547,0
PKD,0.2359957646412676,0.3878168774586157,0.3017932767289784,0.2524613174526215,0,0,0.6683340303439707,0.7068309135317978,0.697654005147708,0.28272837641137877,0.4553064511442682,0
PKG,0.22353692597518,0.3878168774586157,0.26441433902424577,0.33975665634445856,0,0,0.5473229681609707,0.6071820599028234,0.5973016851845617,0.342528987921218,0.4278113333774627,0
PKN,0,0,0,0,0,0,0,0.2720627674845121,0,0,0,0
PLK,0.26336282428431756,0.28707826289006333,0,0,0,0,0,0,0.21436205985484177,0,0,0
PRKDC,0,0.27823429626842106,0,0,0,0,0,0,0.2269416542930089,0,0,0
QIK,0.23079461466886242,0.2903988727711404,0,0,0,0,0.22941491043747037,0.22372452671780532,0.28119351514782825,0,0.20189877641941295,0
RAD53,0,0.38685810159193124,0.22259280905852447,0,0,0,0.3456961333195854,0.3678400778479606,0.4041863239207957,0.26340047843362785,0.29484647221915844,0
RAF,0.2393960013623665,0.2740546845672207,0,0,0,0,0,0,0.21320678414253658,0,0,0
RIPK,0.25491518305586985,0.4077444891504136,0.31160079733054313,0.28377127613016473,0,0,0.5337463533903618,0.6071820599028234,0.5804513274459892,0.28272837641137877,0.450529505325442,0
RSK,0.2149111881069805,0.3224942893112195,0.20737105074567097,0,0,0,0.3850524780456688,0.33889815199314793,0.4041863239207957,0.26726732235874157,0.2583076516064038,0
SGK,0.24279623808346543,0.27823429626842106,0,0,0,0,0.25157591639903903,0.29761989412740997,0.353066604075158,0,0.20553196984874425,0
