Kinase,Neg5m_NegCTL,Neg15m_NegCTL,Neg30m_NegCTL,Neg1h_NegCTL,Neg4h_NegCTL,Neg24h_NegCTL,Pos5m_PosCTL,Pos15m_PosCTL,Pos30m_PosCTL,Pos1h_PosCTL,Pos4h_PosCTL,Pos24h_PosCTL
SLK,0.25774947852334423,0,0,-0.3971878774405552,-0.2738483502920131,-0.2882464765727198,0.274351922175421,0.30172786858497097,0.6364728061561689,-0.2198851713774048,-0.22728272262966875,0
STE11,0.21920366248358292,0.4545939964245526,0.20250924612128784,0,0,0,0.27194692786790114,0.2143697046101701,0.3291133431924583,0,0,0
STE7,0,0.2934269301207835,0.20250924612128784,0,0,0,0.26618503397562127,0.20915332955508423,0.2627696919937176,0,0,0
STKR,0.26703412802827425,0.24436860128475055,0,0,0,0,0.409033483434946,0.3557309416641929,0.49329443702417414,0.27286354850873656,0.3433375854057612,0
SYK,0.30956829107256756,0,0,0,0,0,0,0.3752765749954842,0.3449703926220293,-0.36049252681144334,-0.2824976426732566,0
TAO,0,0,0,0,0,0,0.4578240862712333,0.517314515754831,0.5715263293543881,0,0.24722353772456587,-0.21683799394231568
TEC,0.30956829107256756,0,0,0,0,0,0,0.3752765749954842,0.3449703926220293,-0.36049252681144334,-0.2824976426732566,0
VEGFR,0.30956829107256756,0,0,0,0,0,0,0.3752765749954842,0.3449703926220293,-0.36049252681144334,-0.2824976426732566,0
VRK1,0.2672487964330245,0.28487551603057515,0,0,0,-0.25661917342346435,0,0,0,0,0,0
VRK2,0.21965695462402124,0.29592222951170566,0,0,0,0,0.21202994684517526,0.23441999477422282,0.2941841211268185,0,0,0
