condition,Neg5m_NegCTL,Neg15m_NegCTL,Neg30m_NegCTL,Neg1h_NegCTL,Neg4h_NegCTL,Neg24h_NegCTL,Pos5m_PosCTL,Pos15m_PosCTL,Pos30m_PosCTL,Pos1h_PosCTL,Pos4h_PosCTL,Pos24h_PosCTL
Neg5m_NegCTL,1,0.331285240619673,0.04260907030328008,-0.20479668507161755,-0.276310490106962,-0.07050224136395183,-0.1547549700489196,-0.24688851008676066,-0.2033285457570103,-0.29866750610420145,-0.21555943971347188,0.07597070878211265
Neg15m_NegCTL,0.331285240619673,1,0.8212089991195701,0.6418521356271051,0.6337146678705686,0.21262319066250368,0.3821848225215389,0.3422557919926942,0.3521518664696723,0.5146165968367263,0.5129905531610626,1.985721539405223e-4
Neg30m_NegCTL,0.04260907030328008,0.8212089991195701,1,0.7282996176778982,0.7154639986475603,0.1256736733081305,0.38886589059895355,0.4170215527042218,0.37881993237374395,0.5800479948823355,0.610215975703639,0.014563206837109625
Neg1h_NegCTL,-0.20479668507161755,0.6418521356271051,0.7282996176778982,1,0.9154477880350077,0.39578587699316625,0.45240040677237386,0.5088544378030995,0.49062847159219747,0.70599916106407,0.724807421720542,0.05876270122233182
Neg4h_NegCTL,-0.276310490106962,0.6337146678705686,0.7154639986475603,0.9154477880350077,1,0.49933311353554727,0.46555277959315233,0.5418290477241392,0.5100685029865559,0.7282618472833442,0.7428588559521918,0.1289002788098128
Neg24h_NegCTL,-0.07050224136395183,0.21262319066250368,0.1256736733081305,0.39578587699316625,0.49933311353554727,1,0.0031925417787188473,0.06750801958380136,0.1038100674150551,0.22032640959451957,0.22838923368470437,0.3582036988690549
Pos5m_PosCTL,-0.1547549700489196,0.3821848225215389,0.38886589059895355,0.45240040677237386,0.46555277959315233,0.0031925417787188473,1,0.8629174911554834,0.9131588415182584,0.7066370936347351,0.6649079728838633,-0.14034114855977486
Pos15m_PosCTL,-0.24688851008676066,0.3422557919926942,0.4170215527042218,0.5088544378030995,0.5418290477241392,0.06750801958380136,0.8629174911554834,1,0.9149277447982248,0.7468673235540384,0.7497302050423345,-7.419509616264931e-4
Pos30m_PosCTL,-0.2033285457570103,0.3521518664696723,0.37881993237374395,0.49062847159219747,0.5100685029865559,0.1038100674150551,0.9131588415182584,0.9149277447982248,1,0.7046135910121174,0.7117033446454373,-0.017162300021461307
Pos1h_PosCTL,-0.29866750610420145,0.5146165968367263,0.5800479948823355,0.70599916106407,0.7282618472833442,0.22032640959451957,0.7066370936347351,0.7468673235540384,0.7046135910121174,1,0.8632051435765241,0.13567082309214074
Pos4h_PosCTL,-0.21555943971347188,0.5129905531610626,0.610215975703639,0.724807421720542,0.7428588559521918,0.22838923368470437,0.6649079728838633,0.7497302050423345,0.7117033446454373,0.8632051435765241,1,0.19675079431688747
Pos24h_PosCTL,0.07597070878211265,1.985721539405223e-4,0.014563206837109625,0.05876270122233182,0.1289002788098128,0.3582036988690549,-0.14034114855977486,-7.419509616264931e-4,-0.017162300021461307,0.13567082309214074,0.19675079431688747,1
