Kinase,score,condition
AMPK,1.4116666666666666,Pos30m_PosCTL
AMPK,1.4116666666666666,Pos30m_PosCTL
AMPK,1.305,Pos4h_PosCTL
AMPK,1.305,Pos4h_PosCTL
AMPK,2.0033333333333334,Pos5m_PosCTL
AMPK,2.0033333333333334,Pos5m_PosCTL
ATM,-1.16,Neg15m_NegCTL
ATM,-0.6041666666666666,Neg1h_NegCTL
ATM,-1.2875,Neg24h_NegCTL
ATM,-0.9883333333333334,Neg30m_NegCTL
ATM,-1.0625,Neg4h_NegCTL
ATM,-1.211666666666667,Neg5m_NegCTL
ATM,-0.9233333333333332,Pos15m_PosCTL
ATM,-0.6191666666666666,Pos1h_PosCTL
ATM,-0.4133333333333334,Pos24h_PosCTL
ATM,-0.9208333333333334,Pos30m_PosCTL
ATM,-0.6116666666666667,Pos4h_PosCTL
ATM,-0.6716666666666666,Pos5m_PosCTL
ATR,-1.0616666666666668,Neg15m_NegCTL
ATR,-1.0508333333333333,Neg1h_NegCTL
ATR,-0.9033333333333332,Neg24h_NegCTL
ATR,-1.355,Neg30m_NegCTL
ATR,-1.2416666666666667,Neg4h_NegCTL
ATR,-1.0583333333333331,Neg5m_NegCTL
ATR,-1.7983333333333331,Pos15m_PosCTL
ATR,-1.365,Pos1h_PosCTL
ATR,-0.4183333333333333,Pos24h_PosCTL
ATR,-1.6733333333333331,Pos30m_PosCTL
ATR,-1.3758333333333332,Pos4h_PosCTL
ATR,-1.6016666666666666,Pos5m_PosCTL
AUR,0.4116666666666667,Neg15m_NegCTL
AUR,0.4116666666666667,Neg15m_NegCTL
AUR,0.4116666666666667,Neg15m_NegCTL
AUR,-0.02333333333333338,Neg1h_NegCTL
AUR,-0.02333333333333338,Neg1h_NegCTL
AUR,-0.02333333333333338,Neg1h_NegCTL
AUR,0.06249999999999999,Neg24h_NegCTL
AUR,0.06249999999999999,Neg24h_NegCTL
AUR,0.06249999999999999,Neg24h_NegCTL
AUR,-0.03083333333333335,Neg30m_NegCTL
AUR,-0.03083333333333335,Neg30m_NegCTL
AUR,-0.03083333333333335,Neg30m_NegCTL
AUR,-0.3083333333333333,Neg4h_NegCTL
AUR,-0.3083333333333333,Neg4h_NegCTL
AUR,-0.3083333333333333,Neg4h_NegCTL
AUR,-0.3675000000000001,Neg5m_NegCTL
AUR,-0.3675000000000001,Neg5m_NegCTL
AUR,-0.3675000000000001,Neg5m_NegCTL
AUR,-0.2258333333333333,Pos15m_PosCTL
AUR,-0.2258333333333333,Pos15m_PosCTL
AUR,-0.2258333333333333,Pos15m_PosCTL
AUR,-0.20083333333333336,Pos1h_PosCTL
AUR,-0.20083333333333336,Pos1h_PosCTL
AUR,-0.20083333333333336,Pos1h_PosCTL
AUR,0.005,Pos24h_PosCTL
AUR,0.005,Pos24h_PosCTL
AUR,0.005,Pos24h_PosCTL
AUR,0.04416666666666667,Pos30m_PosCTL
AUR,0.04416666666666667,Pos30m_PosCTL
AUR,0.04416666666666667,Pos30m_PosCTL
AUR,0.18666666666666668,Pos4h_PosCTL
AUR,0.18666666666666668,Pos4h_PosCTL
AUR,0.18666666666666668,Pos4h_PosCTL
AUR,0.02500000000000001,Pos5m_PosCTL
AUR,0.02500000000000001,Pos5m_PosCTL
AUR,0.02500000000000001,Pos5m_PosCTL
BARK2,0.7108333333333333,Neg15m_NegCTL
BARK2,0.5499999999999999,Neg1h_NegCTL
BARK2,0.02000000000000002,Neg24h_NegCTL
BARK2,0.5533333333333333,Neg30m_NegCTL
BARK2,0.16333333333333333,Neg4h_NegCTL
BARK2,0.7916666666666666,Neg5m_NegCTL
BARK2,-0.4991666666666667,Pos15m_PosCTL
BARK2,-0.17083333333333334,Pos1h_PosCTL
BARK2,-0.3933333333333333,Pos24h_PosCTL
BARK2,-0.4875,Pos30m_PosCTL
BARK2,-0.3383333333333333,Pos4h_PosCTL
BARK2,-0.19083333333333333,Pos5m_PosCTL
BRSK,0.37833333333333335,Neg15m_NegCTL
BRSK,0.37833333333333335,Neg15m_NegCTL
BRSK,-0.06416666666666665,Neg1h_NegCTL
BRSK,-0.06416666666666665,Neg1h_NegCTL
BRSK,0.7375,Neg24h_NegCTL
BRSK,0.7375,Neg24h_NegCTL
