Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
CDK19,Q9BWU1,CMGC,CDK,0.9665762445130504,2.6655222270400207,3.6655462488490693,3.6655462488490693,1.9498678550630224,1.9498678550630224,0,0.7105074049583109,5
MAPK13,O15264,CMGC,MAPK,0.6861327796308466,2.612508754293392,3.3851027839668655,3.3851027839668655,1.0321024544895827,1.0905690360983364,0.08003463601812509,0.38074275698352505,16
CDK9,P50750,CMGC,CDK,0.9665762445130504,2.5121654224053978,3.364516253185088,3.6655462488490693,1.3669199041854556,1.4003992953742965,0.05021908678326147,0.5136657421711988,8
MAPK11,Q15759,CMGC,MAPK,0.919835667032683,2.1002738781033745,3.31606124668106,3.6655462488490693,1.3660796918076268,1.3845919759035161,0.21133279213213388,0.45517381561392856,6
CDK6,Q00534,CMGC,CDK,0.9665762445130504,2.259225221941704,3.1884249941294067,3.6655462488490693,1.3732888287181246,1.4373531649786688,0.19219300878163256,0.5639681969076928,6
MAPK10,P53779,CMGC,MAPK,0.6861327796308466,2.4483841704356513,3.0840727883028842,3.3851027839668655,0.9390291286496066,0.9436583308928015,0.011202030157978658,0.38608108269461566,23
MAPK8,P45983,CMGC,MAPK,0.6861327796308466,2.4395862542081375,3.0840727883028842,3.3851027839668655,0.9390291286496066,0.9398680760347929,0.0018291521444539231,0.38608108269461566,24
CDK4,P11802,CMGC,CDK,0.9665762445130504,2.095100638083964,2.9665762445130506,3.6655462488490693,1.2918321960473165,1.2693084365726917,0.06757127842387416,0.52395555715964,7
CDK2,P24941,CMGC,CDK,0.7796139345915812,2.18900042030777,2.907981529247203,3.6655462488490693,1.0269621550475287,1.0470428402146579,0.06771348983625351,0.4268379084278386,16
MAPK14,Q16539,CMGC,MAPK,0.8419347045654042,2.1432025927759204,2.907981529247203,3.6655462488490693,1.0452101377394514,1.108294758495699,0.13666687030073327,0.4112862766710859,13
MAPK12,P53778,CMGC,MAPK,0.7804535088423524,1.7143449841733294,2.8204482088348124,3.6655462488490693,1.0648613543131835,1.0317650140229824,0.17974638054273934,0.4453690119346132,10
CDK3,Q00526,CMGC,CDK,0.8730950895523157,1.6292933176040663,2.7624562618571256,3.1884249941294067,1.1025067919023406,1.031430794662179,0.15879664514301253,0.4708651092585974,11
MAPK9,P45984,CMGC,MAPK,0.6861327796308466,2.012353138650998,2.6861327796308467,3.0840727883028842,0.9561429437690067,0.9906843164837859,0.07053853645008872,0.37498364371425474,17
ATR,Q13535,Atypical,PIKK,0.9665762445130504,1.5158612789842794,2.519418213170831,2.711303739409744,1.1851275176610003,1.16769304799698,0.052303408992060645,0.32394264908298315,7
GRK2,P25098,AGC,GRK,0.9665762445130504,1.3668220802914532,2.34332695411515,2.435097327470795,1.36853958813008,1.36853958813008,0,0.21371771251051452,3
COQ8A,Q8NI60,Atypical,ABC1,0.9665762445130504,1.346833714071756,2.3231235680268627,2.4614262661931443,0.9766962582428542,1.0370057789209501,0.11276350121867607,0.25327826187310115,9
CDK5,Q00535,CMGC,CDK,0.9665762445130504,1.32282056840091,2.267606240177032,2.410273743745763,0.9285767989196078,0.9285767989196078,0,0.3995142900703644,12
