Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,-16.50307482116161,46,PTM-SEA,0.35526315789473684,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,55,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,1.7271783451894844,53,PTM-SEA,0.2631578947368421,2,CAMK,CAMKL,CHK1,CHEK1
AURKA,-1.2556247192660601,54,PTM-SEA,0.25,2,OTHER,AUR,AUR,AURKA
DAPK3,0,55,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,-102.91221742607628,10,PTM-SEA,0.868421052631579,4,AGC,RSK,MSK,RPS6KA5
CHEK2,-46.854146942869114,33,PTM-SEA,0.5394736842105263,3,CAMK,RAD53,RAD53,CHEK2
RAF1,-67.03423722056093,19,PTM-SEA,0.75,4,TKL,RAF,RAF,RAF1
PRKCG,0,55,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-31.12041567073187,40,PTM-SEA,0.4342105263157895,2,AGC,PKC,ALPHA,PRKCB
CDK1,-106.34785134219298,9,PTM-SEA,0.881578947368421,4,CMGC,CDK,CDC2,CDK1
ARAF,33.18429759051813,37,PTM-SEA,0.47368421052631576,2,TKL,RAF,RAF,ARAF
PIM1,-14.175569046140316,48,PTM-SEA,0.32894736842105265,2,CAMK,PIM,PIM,PIM1
CDK4,-109.8425395026223,8,PTM-SEA,0.8947368421052632,4,CMGC,CDK,CDK4,CDK4
SRC,0,55,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,33.18429759051813,37,PTM-SEA,0.47368421052631576,2,TKL,RAF,RAF,BRAF
PRKCA,29.4861438863839,42,PTM-SEA,0.40789473684210525,2,AGC,PKC,ALPHA,PRKCA
PRKACA,63.23219981330346,22,PTM-SEA,0.7105263157894737,3,AGC,PKA,PKA,PRKACA
PRKACG,3.1120425862430716,51,PTM-SEA,0.2894736842105263,2,AGC,PKA,PKA,PRKACG
PRKACB,-48.46122710295199,32,PTM-SEA,0.5526315789473685,3,AGC,PKA,PKA,PRKACB
RPS6KB1,56.33954607004188,26,PTM-SEA,0.6578947368421053,3,AGC,RSK,P70,RPS6KB1
CDK2,-95.12292096065786,12,PTM-SEA,0.8421052631578947,4,CMGC,CDK,CDC2,CDK2
MAPK3,-65.75784322290853,20,PTM-SEA,0.7368421052631579,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,-82.97856606189626,14,PTM-SEA,0.8157894736842105,4,CMGC,MAPK,ERK1,MAPK1
AKT1,31.9247107463702,38,PTM-SEA,0.4605263157894737,2,AGC,AKT,AKT,AKT1
AKT2,49.46912432043082,31,PTM-SEA,0.5921052631578947,3,AGC,AKT,AKT,AKT2
MAP3K8,-59.545808475480705,24,PTM-SEA,0.6842105263157895,3,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,-48.46122710295199,32,PTM-SEA,0.5526315789473685,3,AGC,PKC,IOTA,PRKCI
MTOR,0,55,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,-126.42594538715284,3,PTM-SEA,0.9736842105263158,4,CMGC,MAPK,JNK,MAPK8
MAPK9,0,55,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
MAPKAPK2,51.16347331404959,29,PTM-SEA,0.618421052631579,3,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,-45.702500694554985,35,PTM-SEA,0.5131578947368421,3,CMGC,GSK,GSK,GSK3B
CDK7,-14.107692307692307,49,PTM-SEA,0.3157894736842105,2,CMGC,CDK,CDK7,CDK7
CDK9,-114.87692307692308,6,PTM-SEA,0.9210526315789473,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,15.607482786120988,47,PTM-SEA,0.34210526315789475,2,AGC,RSK,RSK,RPS6KA3
NEK2,0,55,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,63.4349241133238,21,PTM-SEA,0.7236842105263158,3,CAMK,DAPK,DAPK,DAPK1
MAPK10,-128.98461538461538,2,PTM-SEA,0.9868421052631579,4,CMGC,MAPK,JNK,MAPK10
PRKAA2,31.698708285677537,39,PTM-SEA,0.4473684210526316,2,CAMK,CAMKL,AMPK,PRKAA2
SIK1,-129.9923076923077,1,PTM-SEA,1,4,CAMK,CAMKL,QIK,SIK1
CSNK2A1,71.19278374376113,18,PTM-SEA,0.7631578947368421,4,CMGC,CK2,CK2,CSNK2A1
PRKDC,-123.4423076923077,4,PTM-SEA,0.9605263157894737,4,ATYPICAL,PIKK,DNAPK,PRKDC
ATM,0,55,PTM-SEA,0,1,ATYPICAL,PIKK,ATM,ATM
AURKB,20.84981538040413,44,PTM-SEA,0.3815789473684211,2,OTHER,AUR,AUR,AURKB
CDK3,0,55,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,-114.87692307692308,6,PTM-SEA,0.9210526315789473,4,CMGC,CDK,CDK4,CDK6
CDK5,-114.9676643189668,5,PTM-SEA,0.9473684210526315,4,CMGC,CDK,CDK5,CDK5
PRKCE,-19.84043758275137,45,PTM-SEA,0.3684210526315789,2,AGC,PKC,ETA,PRKCE
PRKCQ,-111.21082058141081,7,PTM-SEA,0.9078947368421053,4,AGC,PKC,DELTA,PRKCQ
PRKCZ,62.22271617157085,23,PTM-SEA,0.6973684210526315,3,AGC,PKC,IOTA,PRKCZ
PRKCD,81.15798562789644,15,PTM-SEA,0.8026315789473685,4,AGC,PKC,DELTA,PRKCD
PRKAA1,-9.30616181815588,50,PTM-SEA,0.3026315789473684,2,CAMK,CAMKL,AMPK,PRKAA1
PAK1,-73.61005827256668,16,PTM-SEA,0.7894736842105263,4,STE,STE20,PAKA,PAK1
PAK2,72.55384615384615,17,PTM-SEA,0.7763157894736842,4,STE,STE20,PAKA,PAK2
PRKG2,-36.24981047507221,36,PTM-SEA,0.5,3,AGC,PKG,PKG,PRKG2
ROCK1,-101.77916963621651,11,PTM-SEA,0.8552631578947368,4,AGC,DMPK,ROCK,ROCK1
ATR,0,55,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
CAMK2G,0,55,PTM-SEA,0,1,CAMK,CAMK2,CAMK2,CAMK2G
DYRK1A,-56.655688988108714,25,PTM-SEA,0.6710526315789473,3,CMGC,DYRK,DYRK1,DYRK1A
PRKG1,50.81334678981322,30,PTM-SEA,0.6052631578947368,3,AGC,PKG,PKG,PRKG1
PRKD1,30.677557253106492,41,PTM-SEA,0.42105263157894735,2,CAMK,PKD,PKD,PRKD1
RPS6KA2,-52.996387321619224,27,PTM-SEA,0.6447368421052632,3,AGC,RSK,RSK,RPS6KA2
RPS6KA1,2.113761269356705,52,PTM-SEA,0.27631578947368424,2,AGC,RSK,RSK,RPS6KA1
PKN1,-84.2204173220087,13,PTM-SEA,0.8289473684210527,4,AGC,PKN,PKN,PKN1
