Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NCF1_296_308,10.60166568550154,0.9999764069338373,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CDN1A_139_151,11.155295585488993,0.9999821190948653,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RS6_228_240,8.759291528646612,0.9999522164955998,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,MYPC3_268_280,10.39777552141892,0.9999724613924353,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RYR1_4317_4329,7.330071268195977,0.9998567995468618,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,VTNC_390_402,10.457574469647668,0.9999945600403856,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,TRPM7_1498_1510,9.336822310187056,0.9999141751033566,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PTK6_436_448,9.237773658840952,0.999965821114613,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,STK6_283_295,9.471138369089822,0.9999289756485635,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NFKB1_330_342,6.972952700577064,0.9959461147532881,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PPR1A_28_40,8.114233430071673,0.9992847987628952,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,GYS2_1_13,8.675091569011798,0.9998083076675569,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ANDR_785_797,8.288539650416007,0.9997762735834494,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,GPSM2_394_406,7.172191608414257,0.9999153941564468,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,TPH2_10_22,7.399106588441399,0.9998525287496477,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,DESP_2842_2854,5.793679985160527,0.9966193623370215,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,FOXO3_25_37,8.344882079981009,0.9999278833299367,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CCR5_330_342,5.198375540217913,0.988534107402032,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,MP2K1_287_299,7.769931382387918,0.9994773565486531,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CFTR_730_742,7.919537971891721,0.999509921515572,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,LIPS_944_956,9.791900054442493,0.9999847980051011,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ACM4_456_468,6.466836399859049,0.9993899255869283,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PDPK1_235_247,6.10259475241364,0.9978757786404261,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,MARCS_160_172,6.205032437631516,0.9978369896953511,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ACM1_444_456,6.805895934870167,0.999591236659761,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RB_242_254,7.181222592776699,0.9996023679515597,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CO4A3_1429_1441,5.148596492001801,0.9989034220016505,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,GSUB_61_73,5.6676136808991044,0.9998286236995239,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NEK3_158_170,5.085860736653839,0.9949882075471699,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RAP1B_172_184,6.201337954073774,0.999377114066972,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PLEK_106_118,10.499244200059204,0.9999962112260123,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PTN12_32_44,8.575146759279715,0.9998733315982212,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CGHB_109_121,6.597385000526484,0.9993816432746496,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ADDB_696_708,4.288887833123355,0.9830518409965194,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CDC2_154_169,5.058349173085267,0.9919833585669028,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,TRPM7_1466_1478,4.451988635451736,0.9995543009953944,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,MPIP3_208_220,4.456954888345085,0.9985966981132076,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PP2AB_297_309,4.508093737336886,0.9828864140130832,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ERF_519_531,4.666542240047118,0.9948579963538121,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,BCKD_45_57,5.466836399859049,0.9987159632093648,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,XPO1_1049_1061,6.364836686356654,0.9995255777306522,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CAC1C_1974_1986,8.033215195265447,0.9999241415399351,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KAP3_107_119,9.969372944888802,0.9999934056623823,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NOS3_1171_1183,9.561522121125133,0.9999767214452575,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,FRAP_2443_2455,5.371427355839994,0.9967440820315736,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,LMNB1_16_28,4.411630897835594,0.9920349290503665,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,VASP_232_244,3.5200070588803865,0.932458884068207,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RAF1_253_265,6.570142113155818,0.999154386678202,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RBL2_655_667,7.526812934683475,0.9994638757460585,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,EPB42_241_253,7.7082705409182175,0.9999913394627797,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,TOP2A_1463_1475,9.835573765867334,0.9999155902984256,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,EZH2_305_317,6.9677428422248235,0.9994902844269219,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ANXA1_209_221,5.875705890422993,0.9969840969173879,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,P53_308_323,5.338168735894573,0.9950765021171214,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RB_350_362,5.812207584018901,0.9964857479302812,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,BAD_69_81,5.7315111640740986,0.9982647753422864,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,AMOT_744_756,6.39942908649592,0.9995583635281382,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CENPA_1_14,8.109707478608206,0.9996328500685048,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,TY3H_65_77,8.773294744970167,0.999897402769136,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PKP1_167_179,6.585529486399858,0.9985946957666656,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RB_803_815,6.585529486399858,0.9992479057066601,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,C1R_201_213,4.030302760163526,0.9964868456019134,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,K6PL_766_778,3.8532801273617583,0.9643613174676221,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NEK2_172_184,5.952439068950514,0.9989987312563531,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,MPIP1_172_184,7.912098477892586,0.9999609515740614,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CSF1R_701_713,9.264044194082159,0.999984853043444,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CREB1_126_138,8.841816506204799,0.9999814060804485,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,BAD_93_105,8.283830940753518,0.9999234933586255,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,MBP_222_234,6.983746519001147,0.9991585241398054,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KCNB1_489_501,4.921335722954115,0.998867614710165,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RADI_559_569,4.003398576461865,0.984976551423274,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KCNA3_461_473,5.134716902995595,0.9984115465247541,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KCNA1_438_450,5.093853527407369,0.9976308513100357,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,IRS1_788_800,8.639357774796526,0.9999765278208012,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KCNH2_277_289,7.7958865036241285,0.9998711538977172,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,REL_260_272,6.899157385954195,0.9994993795943488,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KAPCG_192_206,5.334125683157292,0.9991440362320108,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,TAU_524_536,5.425631577144913,0.9974635173993941,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,GBF1_1331_1343,4.163863248655112,0.9877205270761283,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PRKDC_2618_2630,5.4996954888510245,0.997959792855457,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KS6A1_374_386,6.172191608414257,0.9978880494036315,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,VASP_271_283,7.7137269356904135,0.9998545787970653,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NMDZ1_890_902,9.13645917162304,0.9999531374655622,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,H2B1B_ 27_40,6.527698295276397,0.9972849206746409,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,IF4E_203_215,6.654163135578767,0.9996787751636647,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CDK7_163_175,5.625226370934883,0.9997043304487048,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RBM26_833_845,6.672425341971496,0.9986453201970443,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ROA1_186_198,6.016913382936346,0.9985540469053077,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,PLM_76_88,5.734581818034065,0.9972006150733029,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,FIBA_569_581,5.442004546879113,0.9991898688430785,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KCC2G_278_289,4.421826664941483,0.9930253316507126,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NR4A1_344_356,6.851395483016815,0.9998964180950112,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RUNX3_8_20,9.20899348387411,0.9999544208446881,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,NCF1_321_333,8.450277530021781,0.9999233132315226,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ADDB_706_718,6.300676322503909,0.9997344836749842,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,H32_3_18,7.174831490286961,0.9995923562883765,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,RIT1_202_214,6.067307511465479,0.9969844787956859,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,BUB1_207_219,5.604116093798452,0.9987082774829142,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,BAD_112_124,5.858919333398628,0.9964505217219141,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,GPR6_349_361,6.6841200599884525,0.9996869930465337,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KCNA2_442_454,7.199116714157095,0.9998210464890099,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ARHG2_166_178,6.217523381814712,0.9927382359473403,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,MARCS_152_164,5.734581818034065,0.9982606210420228,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,CD27_212_224,5.984606545876624,0.9991745948382014,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,SV2A_36_48,8.836705408232174,0.9999253857459528,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ERBB2_679_691,9.523266048961137,0.9999203219309547,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KAP2_92_104,7.453542426706816,0.9999872545339099,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ESR1_160_172,8.707619593363571,0.9999780116718184,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,ADRB2_338_350,6.879409859186412,0.9992814174553966,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KPB1_1011_1023,6.741212565266392,0.9988522903239437,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,SCN7A_898_910,7.53681534656694,0.9993880171201686,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,KIF2C_105_118_S106G,8.82330714903509,0.9999936570473776,5
HPV-_0Gy,720012206,HPV-_0Gy_720012206,VASP_150_162,8.206691873608198,0.9999189372740247,5
