Kinase,Peptide,LFC
BARK1,ACM1_444_456,-0.22249665355926349
CDK,ACM1_444_456,-0.22249665355926349
CK1,ACM1_444_456,-0.22249665355926349
DAPK,ACM1_444_456,-0.22249665355926349
DMPK,ACM1_444_456,-0.22249665355926349
DYRK,ACM1_444_456,-0.22249665355926349
ERK,ACM1_444_456,-0.22249665355926349
GSK,ACM1_444_456,-0.22249665355926349
IRAK,ACM1_444_456,-0.22249665355926349
JNK,ACM1_444_456,-0.22249665355926349
MLCK,ACM1_444_456,-0.22249665355926349
P38,ACM1_444_456,-0.22249665355926349
PDK1,ACM1_444_456,-0.22249665355926349
PEK,ACM1_444_456,-0.22249665355926349
PHK,ACM1_444_456,-0.22249665355926349
PIM,ACM1_444_456,-0.22249665355926349
PKCA,ACM1_444_456,-0.22249665355926349
RSK,ACM1_444_456,-0.22249665355926349
VRK2,ACM1_444_456,-0.22249665355926349
BARK1,ACM4_456_468,-0.13355713813538994
FRAY,ACM4_456_468,-0.13355713813538994
MELK,ACM4_456_468,-0.13355713813538994
PDHK,ACM4_456_468,-0.13355713813538994
PDK1,ACM4_456_468,-0.13355713813538994
PIM,ACM4_456_468,-0.13355713813538994
PKCA,ACM4_456_468,-0.13355713813538994
PKCH,ACM4_456_468,-0.13355713813538994
VRK2,ACM4_456_468,-0.13355713813538994
BARK1,ADDB_696_708,-0.13225168591134384
CDK,ADDB_696_708,-0.13225168591134384
CK1,ADDB_696_708,-0.13225168591134384
DMPK,ADDB_696_708,-0.13225168591134384
DYRK,ADDB_696_708,-0.13225168591134384
ERK,ADDB_696_708,-0.13225168591134384
GSK,ADDB_696_708,-0.13225168591134384
IKK,ADDB_696_708,-0.13225168591134384
JNK,ADDB_696_708,-0.13225168591134384
MELK,ADDB_696_708,-0.13225168591134384
MST,ADDB_696_708,-0.13225168591134384
NEK,ADDB_696_708,-0.13225168591134384
P38,ADDB_696_708,-0.13225168591134384
PDK1,ADDB_696_708,-0.13225168591134384
PEK,ADDB_696_708,-0.13225168591134384
PKCA,ADDB_696_708,-0.13225168591134384
PKCH,ADDB_696_708,-0.13225168591134384
PLK,ADDB_696_708,-0.13225168591134384
QIK,ADDB_696_708,-0.13225168591134384
RIPK,ADDB_696_708,-0.13225168591134384
STE7,ADDB_696_708,-0.13225168591134384
VRK1,ADDB_696_708,-0.13225168591134384
VRK2,ADDB_696_708,-0.13225168591134384
BARK1,ADDB_706_718,-0.04250907750259593
CDK,ADDB_706_718,-0.04250907750259593
CHK1,ADDB_706_718,-0.04250907750259593
DMPK,ADDB_706_718,-0.04250907750259593
DYRK,ADDB_706_718,-0.04250907750259593
ERK,ADDB_706_718,-0.04250907750259593
JNK,ADDB_706_718,-0.04250907750259593
MAPKAPK,ADDB_706_718,-0.04250907750259593
MST,ADDB_706_718,-0.04250907750259593
NEK,ADDB_706_718,-0.04250907750259593
P38,ADDB_706_718,-0.04250907750259593
PAKA,ADDB_706_718,-0.04250907750259593
PDHK,ADDB_706_718,-0.04250907750259593
PDK1,ADDB_706_718,-0.04250907750259593
PEK,ADDB_706_718,-0.04250907750259593
PHK,ADDB_706_718,-0.04250907750259593
PIM,ADDB_706_718,-0.04250907750259593
PKCA,ADDB_706_718,-0.04250907750259593
PLK,ADDB_706_718,-0.04250907750259593
RAD53,ADDB_706_718,-0.04250907750259593
RSK,ADDB_706_718,-0.04250907750259593
VRK2,ADDB_706_718,-0.04250907750259593
AKT,ADRB2_338_350,0.3890990725073484
BARK1,ADRB2_338_350,0.3890990725073484
CAMK1,ADRB2_338_350,0.3890990725073484
CDK,ADRB2_338_350,0.3890990725073484
CHK1,ADRB2_338_350,0.3890990725073484
DMPK,ADRB2_338_350,0.3890990725073484
GRK,ADRB2_338_350,0.3890990725073484
PAKA,ADRB2_338_350,0.3890990725073484
PKA,ADRB2_338_350,0.3890990725073484
PKCA,ADRB2_338_350,0.3890990725073484
PKCI,ADRB2_338_350,0.3890990725073484
PKG,ADRB2_338_350,0.3890990725073484
RAD53,ADRB2_338_350,0.3890990725073484
RSK,ADRB2_338_350,0.3890990725073484
VRK2,ADRB2_338_350,0.3890990725073484
AKT,ANDR_785_797,0.12974472642205165
ATR,ANDR_785_797,0.12974472642205165
BARK1,ANDR_785_797,0.12974472642205165
DMPK,ANDR_785_797,0.12974472642205165
PHK,ANDR_785_797,0.12974472642205165
PIM,ANDR_785_797,0.12974472642205165
PKA,ANDR_785_797,0.12974472642205165
PKD,ANDR_785_797,0.12974472642205165
RAF,ANDR_785_797,0.12974472642205165
RSK,ANDR_785_797,0.12974472642205165
VRK2,ANDR_785_797,0.12974472642205165
AKT,ANXA1_209_221,0.1113688934241462
BARK1,ANXA1_209_221,0.1113688934241462
DMPK,ANXA1_209_221,0.1113688934241462
PHK,ANXA1_209_221,0.1113688934241462
PKA,ANXA1_209_221,0.1113688934241462
PKCA,ANXA1_209_221,0.1113688934241462
PKG,ANXA1_209_221,0.1113688934241462
RSK,ANXA1_209_221,0.1113688934241462
VRK2,ANXA1_209_221,0.1113688934241462
AMPK,BAD_112_124,0.2165535041421049
BARK1,BAD_112_124,0.2165535041421049
CK1,BAD_112_124,0.2165535041421049
DMPK,BAD_112_124,0.2165535041421049
FRAY,BAD_112_124,0.2165535041421049
IRAK,BAD_112_124,0.2165535041421049
NEK,BAD_112_124,0.2165535041421049
PAKA,BAD_112_124,0.2165535041421049
PDHK,BAD_112_124,0.2165535041421049
PEK,BAD_112_124,0.2165535041421049
PHK,BAD_112_124,0.2165535041421049
PIM,BAD_112_124,0.2165535041421049
PKA,BAD_112_124,0.2165535041421049
PKCA,BAD_112_124,0.2165535041421049
PKCI,BAD_112_124,0.2165535041421049
PKD,BAD_112_124,0.2165535041421049
PKG,BAD_112_124,0.2165535041421049
QIK,BAD_112_124,0.2165535041421049
RAF,BAD_112_124,0.2165535041421049
RSK,BAD_112_124,0.2165535041421049
STE7,BAD_112_124,0.2165535041421049
VRK2,BAD_112_124,0.2165535041421049
AKT,BAD_69_81,-0.2507049490632364
BARK1,BAD_69_81,-0.2507049490632364
CDK,BAD_69_81,-0.2507049490632364
