Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,0.9665762445130504,2.401054311294287,3.6655462488490693,3.6655462488490693,4.119441464600074,4.177622400760011,0.19030235469922094,0.582636240678948,47
PRKG1,Q13976,AGC,PKG,0.9665762445130504,2.3318043901389647,3.6655462488490693,3.6655462488490693,4.673533855542023,4.650233085484287,0.38190858422005936,0.6221322910718242,32
PRKG2,Q13237,AGC,PKG,0.9665762445130504,2.6655222270400207,3.6655462488490693,3.6655462488490693,5.1165656292758275,5.142933278724714,0.23532811315032798,0.6464485533648582,28
PRKACB,P22694,AGC,PKA,0.9665762445130504,1.9116881760933402,3.364516253185088,3.6655462488490693,4.58251242821884,4.636444216224441,0.43656991178970295,0.5825906194669117,23
RPS6KA5,O75582,AGC-CAMK,RSK,0.9665762445130504,1.8811882172418815,2.711303739409744,3.6655462488490693,4.087364327531499,4.218344706401544,0.27590564349670466,0.5970461818812398,35
RPS6KB2,Q9UBS0,AGC,RSK,0.9665762445130504,1.5077780040484623,2.410273743745763,3.6655462488490693,4.7256527290307995,4.846539888141132,0.6825416701572558,0.6822797830803233,20
AKT3,Q9Y243,AGC,AKT,0.9665762445130504,1.2675644712951597,2.3134709904291695,2.435097327470795,5.72630503417699,5.735215343156292,0.3379071728275332,0.6741647894996279,7
PIM1,P11309,CAMK,PIM,0.9665762445130504,1.290729391292563,2.3038184128314763,2.435097327470795,3.528644450102966,3.5533962138087767,0.04157938232215472,0.43941978628892614,52
PRKX,P51817,AGC,PKA,0.9665762445130504,1.6121622664634976,2.250572900878251,3.6655462488490693,4.403988694436877,4.300931528386196,0.3989042974922366,0.558493996380485,26
CHUK,O15111,OTHER,IKK,0.9665762445130504,1.280955519528511,2.234182484690082,2.3231235680268627,7.9694828798303305,7.9694828798303305,0,1.0992288817571756,3
STK38L,Q9Y2H1,AGC,NDR,0.9665762445130504,0.9781649923005367,1.9579760727511328,1.9665762445130504,5.046927845198773,5.402347253599199,0.6156044733456107,0.6266618603587272,6
CAMK2A,Q9UQM7,CAMK,CAMK2,0.9665762445130504,0.8752801874154793,1.8204925291209038,2.1214782044987937,4.782881556051165,4.739021584852031,0.3781124519320481,0.6599464658602501,7
AKT1,P31749,AGC,AKT,0.9665762445130504,0.8408821236082255,1.8022233887286134,2.085762652232259,3.812027075523905,3.8528528213771347,0.27563264633261836,0.5185846239287868,23
PSKH1,P11801,CAMK,PSK,0.9665762445130504,0.8379932849079924,1.7850712731436205,1.8802164138383022,5.27460290991866,5.27460290991866,0,0.725056591367362,3
CAMK4,Q16566,CAMK,CAMK1,0.9665762445130504,0.8428902187824038,1.7790555236765873,1.9331524890261007,4.379398048216798,4.5573126029451805,0.3552091369250011,0.7165637931333023,9
AKT2,P31751,AGC,AKT,0.9665762445130504,0.8505801372362624,1.7734516461585887,2.0744816418225698,3.814489923107152,3.8692083019661587,0.20636022165639714,0.5014851752856018,22
CDK15,Q96Q40,CMGC,CDK,0.9665762445130504,0.7714858081599297,1.7734516461585887,1.8526328922062136,4.917735682102127,4.670084660857426,0.37258222331134455,0.812749220021338,5
PRKCD,Q05655,AGC,PKC,0.9665762445130504,0.8295977417726028,1.7734516461585887,2.0744816418225698,3.8668943489526972,3.948324285005365,0.20053892025350073,0.5764978599935177,18
RPS6KA4,O75676,AGC-CAMK,RSK,0.9665762445130504,0.7099465813759135,1.7625920213119706,1.8022233887286134,5.167347204589671,4.676808126121533,0.9083018771394132,0.6455068120619094,4
CAMK2B,Q13554,CAMK,CAMK2,0.9665762445130504,0.7647416193344814,1.7412669627871875,1.9665762445130504,4.336814487916501,4.582591844306061,0.7195969868597947,0.4989877386148271,6
PRKDC,P78527,Atypical,PIKK,0.9665762445130504,0.7363007689852276,1.6878226435602213,1.7734516461585887,4.754299107906924,4.754299107906924,0,0.5436024187597329,3
MTOR,P42345,Atypical,PIKK,0.9665762445130504,0.6686405462452073,1.6612248750664267,1.7260269962304506,4.270523267085588,4.144136562428873,0.2798648173276395,0.545235395775973,6
