Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,0.9665762445130504,2.334158756702291,3.6655462488490693,3.6655462488490693,3.723468395739518,3.7606971946072756,0.20160554907792555,0.6555622442416702,47
PRKG2,Q13237,AGC,PKG,0.9665762445130504,2.6320744497440227,3.6655462488490693,3.6655462488490693,4.49965040734542,4.635302028385595,0.29463634476834105,0.6958310338251864,28
PRKACB,P22694,AGC,PKA,0.9665762445130504,1.832283636473231,3.364516253185088,3.6655462488490693,4.097235871579325,4.096337469909738,0.5240612992874172,0.6424709501437856,23
PRKG1,Q13976,AGC,PKG,0.9665762445130504,2.420020558757506,3.364516253185088,3.6655462488490693,4.4204018096163535,4.361280818217347,0.41297105034127224,0.6862477296241613,32
CHUK,O15111,OTHER,IKK,0.9665762445130504,1.2884583188625243,2.2597587459137722,2.3038184128314763,7.305742771039376,7.305742771039376,0,1.2422371703853177,3
RPS6KB2,Q9UBS0,AGC,RSK,0.9665762445130504,1.3611259960207953,2.21838821750685,3.6655462488490693,4.089287697456617,4.317932259379498,0.8028867750650377,0.7754611846847762,20
RPS6KA4,O75676,AGC-CAMK,RSK,0.9665762445130504,1.119997052905319,2.1813047745721015,2.250572900878251,6.816410096825817,6.158106243432219,1.2189418784590313,0.7088451547252669,4
PRKX,P51817,AGC,PKA,0.9665762445130504,1.3611108841802055,2.1470323089711814,3.6655462488490693,3.770188194796047,3.6839465188696368,0.49465132824518143,0.6262474445135447,26
RPS6KA5,O75582,AGC-CAMK,RSK,0.9665762445130504,1.6602169055628313,2.0744816418225698,3.6655462488490693,3.6037348599199794,3.7276825593089007,0.3315612570899148,0.6638047988920324,35
CAMK2A,Q9UQM7,CAMK,CAMK2,0.9665762445130504,1.006505571660962,2.037909996297416,2.203148250950113,4.697785434163192,4.9371297602497535,0.7097933734053647,0.6540542636270859,7
CDK15,Q96Q40,CMGC,CDK,0.9665762445130504,0.9527032227051752,1.984305011473482,2.052762392129334,5.462863981464553,5.096326584798626,0.5927548436436839,0.891913032469583,5
MAPKAPK2,P49137,CAMK,MAPKAPK,0.9665762445130504,0.9383927825233548,1.9412703792482802,2.1092437480817816,3.5215098447893523,3.459920799361262,0.28406499295992765,0.4848142659836795,28
IKBKB,O14920,OTHER,IKK,0.9665762445130504,0.8849454267527332,1.859366274865182,1.9412703792482802,4.912214822930341,4.912214822930341,0,0.8058506746451671,3
AKT3,Q9Y243,AGC,AKT,0.9665762445130504,0.9278670357612293,1.8394714461482427,2.1470323089711814,4.449065767607198,4.4322576712216515,0.3095855662841828,0.7591622259038078,7
CAMK4,Q16566,CAMK,CAMK1,0.9665762445130504,0.8569809983789579,1.8266971581118137,1.9251835593548252,4.153189263184822,4.2605870094777565,0.33062636306555526,0.8059624824686576,9
PLK3,Q9H4B4,CAMK,PLK,0.9665762445130504,0.8583380108040632,1.8022233887286134,2.234182484690082,4.843257817503003,4.574631611703806,0.8914057272955594,0.5914723857079908,5
