Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
MAPK12,P53778,CMGC,MAPK,0.48518862760209347,2.47439341555047,3.0925886392254136,3.3851027839668655,-0.5488823038868236,-0.6221226085083208,0.2425623126129302,-0.15427033722558364,10
MAPK7,Q13164,CMGC,MAPK,0.4136381300171254,2.4218417161117474,3.0925886392254136,3.3851027839668655,-0.599661544830192,-0.5483308777930193,0.1910806766172627,-0.1757451314206577,12
GSK3A,P49840,CMGC,GSK,0.4584471131345748,1.6119208770579996,2.2389751660076023,2.4379451703436215,-0.6689398300835027,-0.6353810505794325,0.09491856222268841,-0.2264073366712973,4
CILK1,Q9UPZ9,CMGC,RCK,0.6861327796308466,1.4903953678274335,2.1809828013109405,2.3059215379192404,-0.6835986352817175,-0.6835986352817175,0,-0.20298368183290125,3
MAK,P20794,CMGC,RCK,0.6861327796308466,1.4119543704721593,2.098087150103006,2.209011524911184,-0.7071295514068815,-0.7071295514068815,0,-0.19606316582167782,3
CDKL5,O76039,CMGC,CDKL,0.3973540982331378,1.4423727347254716,1.858254151278406,2.040005161671584,-0.45217736651105467,-0.4934466261774023,0.12254865208405591,-0.15484636852264652,6
CDK18,Q07002,CMGC,CDK,0.5171264163912462,1.2365720064370627,1.7536984228283088,1.7536984228283088,-0.5181269801270723,-0.5181269801270723,NA,-0.09105616887441359,4
MAPK3,P27361,CMGC,MAPK,0.07053418674874419,1.8009600107077077,1.7052693095156686,2.79805693659835,-0.31272760960965634,-0.29579638880670844,0.07303444510766807,-0.11060803978055123,18
GSK3B,P49841,CMGC,GSK,0.35518234105033725,1.2030573033098335,1.6301906413264577,1.813835038272585,-0.4244219036760492,-0.40109015624260175,0.06999524230034242,-0.14224772711270703,6
PIM1,P11309,CAMK,PIM,0,1.461993714163618,1.5528419686577808,1.9208187539523751,0.09469027927679677,0.09534141962163892,0.003984517646672301,0.013881705929481057,57
MAPK1,P28482,CMGC,MAPK,0.059113088543309496,1.2597910951166522,1.4913894895705875,1.7980569365983496,-0.22773000869467458,-0.2508834325687557,0.07764873464967846,-0.09090821665102039,15
GRK2,P25098,AGC,GRK,0.21609642072726507,0.9985070508018362,1.1949268184454898,1.3240018180367847,-0.49608266602639756,-0.49608266602639756,0,-0.22920764681962336,3
TBK1,Q9UHD2,OTHER,IKK,0.25126989066709515,0.9989732636591253,1.1869797532552258,1.4524714235402179,-0.4076099805514609,-0.47763987362381816,0.09589238033851206,-0.11605255127402381,4
MAP3K8,P41279,STE,STE-Unique,0.51427857351842,0.6366538000560945,1.1487905886275203,1.2004113531492666,-0.30503290413970685,-0.30503290413970685,0,-0.06950275768330783,4
DYRK1A,Q13627,CMGC,DYRK,0.15614457737683893,0.9829666607012196,1.1391112380780586,1.1391112380780586,-0.5036365845387792,-0.5036365845387792,0,-0.2085606200610727,3
RPS6KA4,O75676,AGC-CAMK,RSK,0.38721614328026455,0.6958496884669468,1.0629385654489292,1.2288536511850148,0.35608796354675937,0.3544775669387664,0.002981875096570793,0.14595262622584837,4
PDPK1,O15530,AGC,PKB,0.22040350874217546,0.802121890220036,1.0501417933472181,1.1200329636246125,-0.4171304794273126,-0.4171304794273126,0,-0.06841863075581352,3
CDK19,Q9BWU1,CMGC,CDK,0.2218487496163564,0.8103070615133884,1.0343280287798933,1.08196966321512,0.33489648623836776,0.33489648623836776,0,0.019164246869443246,5
CAMK2G,Q13555,CAMK,CAMK2,0.15509245019247223,0.8740124870811337,0.9763854390568688,1.4023925591969002,0.2485581946981002,0.30782418376666715,0.11965317725254102,0.0634940203144486,8
CDK13,Q14004,CMGC,CDK,0.17441987449307306,0.6931887396164271,0.971495059393507,1.1117755620185177,-0.3560833246539734,-0.33866568200409986,0.08301299329936832,-0.13502607015340898,4
PRKCD,Q05655,AGC,PKC,0.09691001300805639,0.7245694982630798,0.9093892921715933,1.0969100130080565,0.15311428692591977,0.13812655420173114,0.02590555113473822,0.03539693980131212,20
CDK2,P24941,CMGC,CDK,0.047691990337874794,0.8057477496129983,0.8954036459548183,1.0476919903378747,-0.18389355603356425,-0.18230724556016537,0.006562064224469486,-0.06839617539078535,16
CHUK,O15111,OTHER,IKK,0.26859998375529176,0.5736374800735659,0.8825165817528506,0.924920430305938,0.29664400000100527,0.2982298496273576,0.002378774439528497,0.07585766916918701,4
AURKB,Q96GD4,CAMK,AUR,0.2375514987004642,0.6510398131847946,0.8819470151375706,1.014268234850925,0.3013236926447608,0.3188079440592372,0.03469423582712536,0.12058714605524123,4
