Kinase,Z,method,AvgZ
PKCA,-6.41,720012220>0.15,-4.128333333333333
PLK,-5.73,720012220>0.15,-3.0900000000000003
DYRK,-5.65,720012220>0.15,-2.8766666666666665
CDK,-5.49,720012220>0.15,-4.099166666666667
NMO,-5.43,720012220>0.15,-2.4283333333333332
PEK,-5.22,720012220>0.15,-3.4016666666666664
JNK,-4.96,720012220>0.15,-2.6275
ERK,-4.93,720012220>0.15,-3.183333333333333
PDK1,-4.47,720012220>0.15,-2.6241666666666665
STE7,-3.8,720012220>0.15,-2.408333333333333
P38,-3.6,720012220>0.15,-2.0500000000000003
CK1,-3.57,720012220>0.15,-1.7291666666666665
ATM,-3.16,720012220>0.15,-1.2875
GSK,-2.47,720012220>0.15,-1.2241666666666666
PHK,-2.42,720012220>0.15,-1.7991666666666666
RAF,-2.36,720012220>0.15,-1.0216666666666667
FRAY,-2.15,720012220>0.15,-1.4925
TLK,-2.15,720012220>0.15,-1.2116666666666667
NUAK,-2.14,720012220>0.15,-1.1833333333333333
TTK,-2.1,720012220>0.15,-1.2158333333333333
QIK,-2.08,720012220>0.15,-1.5158333333333334
LKB,-1.88,720012220>0.15,-1.545
ATR,-1.87,720012220>0.15,-0.9033333333333333
DMPK,-1.86,720012220>0.15,-1.1075
IKK,-1.82,720012220>0.15,-1.1525
MTOR,-1.75,720012220>0.15,-1.4466666666666665
PKA,1.73,720012220>0.15,0.6225
IRAK,-1.72,720012220>0.15,-0.9883333333333333
MST,-1.7,720012220>0.15,-0.3541666666666667
PDHK,-1.69,720012220>0.15,-1.3808333333333334
CAMK2,-1.69,720012220>0.15,-0.5050000000000001
BUD32,-1.61,720012220>0.15,-0.8658333333333333
ULK,-1.58,720012220>0.15,-0.8608333333333333
MOS,-1.58,720012220>0.15,-0.8491666666666666
NIK,-1.56,720012220>0.15,-0.8575
CLK,-1.53,720012220>0.15,-0.855
WNK,-1.53,720012220>0.15,-0.8558333333333333
CAMKK,-1.52,720012220>0.15,-0.8458333333333333
STE11,-1.46,720012220>0.15,-0.9616666666666667
PKG,1.3,720012220>0.15,0.665
CK2,-1.3,720012220>0.15,-1.2216666666666667
CAMK1,1.14,720012220>0.15,1.0666666666666667
RIPK,1,720012220>0.15,0.24416666666666667
PAKB,0.94,720012220>0.15,0.16166666666666665
GRK,-0.93,720012220>0.15,-0.8391666666666666
MLK,-0.92,720012220>0.15,-0.2033333333333333
HAL,0.91,720012220>0.15,0.12250000000000001
PRKDC,-0.9,720012220>0.15,-1.0266666666666666
PKCI,0.88,720012220>0.15,0.5075000000000001
PKD,-0.86,720012220>0.15,-0.31750000000000006
SGK,0.81,720012220>0.15,0.8883333333333333
STKR,-0.77,720012220>0.15,-0.5766666666666667
PKCD,-0.77,720012220>0.15,0.2866666666666667
PIM,0.76,720012220>0.15,0.39
RAD53,0.75,720012220>0.15,0.33166666666666667
PKCH,-0.73,720012220>0.15,0.05416666666666673
MARK,0.71,720012220>0.15,1.2308333333333334
TAO,0.67,720012220>0.15,0.73
BRSK,0.66,720012220>0.15,0.7375
PASK,0.66,720012220>0.15,0.9
SLK,0.65,720012220>0.15,0.35583333333333333
KHS,0.64,720012220>0.15,0.7716666666666667
PKN,-0.63,720012220>0.15,-0.31916666666666665
MELK,0.62,720012220>0.15,0.145
NAK,-0.6,720012220>0.15,-0.345
AUR,-0.52,720012220>0.15,0.06249999999999999
NDR,0.52,720012220>0.15,0.07416666666666666
MLCK,0.51,720012220>0.15,0.1841666666666667
COT,0.51,720012220>0.15,0.2716666666666667
VRK1,-0.49,720012220>0.15,-0.30833333333333335
RSK,-0.47,720012220>0.15,-0.4016666666666666
PAKA,0.38,720012220>0.15,0.08333333333333334
AKT,0.35,720012220>0.15,-0.20333333333333334
MAPKAPK,0.25,720012220>0.15,0.10083333333333333
MSN,0.22,720012220>0.15,0.585
NEK,0.15,720012220>0.15,0.19
BARK2,-0.13,720012220>0.15,0.020000000000000028
DAPK,0.08,720012220>0.15,0.30583333333333335
CHK1,-0.06,720012220>0.15,0.77
AMPK,0.03,720012220>0.15,0.9366666666666666
PKCA,-5.67,720012220>0.2,-4.128333333333333
DYRK,-5.25,720012220>0.2,-2.8766666666666665
PLK,-5.14,720012220>0.2,-3.0900000000000003
CDK,-4.7,720012220>0.2,-4.099166666666667
PEK,-4.68,720012220>0.2,-3.4016666666666664
NMO,-4.65,720012220>0.2,-2.4283333333333332
ERK,-4.42,720012220>0.2,-3.183333333333333
JNK,-4.18,720012220>0.2,-2.6275
PDK1,-3.95,720012220>0.2,-2.6241666666666665
STE7,-3.84,720012220>0.2,-2.408333333333333
CK1,-3.83,720012220>0.2,-1.7291666666666665
IRAK,-3.04,720012220>0.2,-0.9883333333333333
FRAY,-3.02,720012220>0.2,-1.4925
P38,-2.95,720012220>0.2,-2.0500000000000003
GSK,-2.88,720012220>0.2,-1.2241666666666666
ATM,-2.81,720012220>0.2,-1.2875
RAF,-2.68,720012220>0.2,-1.0216666666666667
PHK,-2.4,720012220>0.2,-1.7991666666666666
CAMK2,-2.24,720012220>0.2,-0.5050000000000001
QIK,-2.22,720012220>0.2,-1.5158333333333334
PKA,2.08,720012220>0.2,0.6225
DMPK,-2.06,720012220>0.2,-1.1075
LKB,-2.03,720012220>0.2,-1.545
MTOR,-2.02,720012220>0.2,-1.4466666666666665
TLK,-1.98,720012220>0.2,-1.2116666666666667
TTK,-1.95,720012220>0.2,-1.2158333333333333
NUAK,-1.9,720012220>0.2,-1.1833333333333333
IKK,-1.7,720012220>0.2,-1.1525
CAMK1,1.61,720012220>0.2,1.0666666666666667
PKD,-1.57,720012220>0.2,-0.31750000000000006
