Kinase,Z,method,AvgZ
PEK,-6.4,720012206>0.15,-3.924166666666667
CDK,-6.29,720012206>0.15,-3.4966666666666666
PKCA,-6.1,720012206>0.15,-4.91
PDK1,-4.46,720012206>0.15,-2.8158333333333334
P38,-3.77,720012206>0.15,-1.9233333333333333
PLK,-3.63,720012206>0.15,-2.9066666666666667
ERK,-3.61,720012206>0.15,-2.7983333333333333
DYRK,-3.25,720012206>0.15,-2.3608333333333333
PDHK,-2.84,720012206>0.15,-2.565
QIK,-2.81,720012206>0.15,-1.8483333333333334
JNK,-2.75,720012206>0.15,-1.9449999999999998
DMPK,-2.74,720012206>0.15,-1.875
CK1,-2.57,720012206>0.15,-2.0633333333333335
PHK,-2.53,720012206>0.15,-2.5658333333333334
MSN,2.47,720012206>0.15,0.10583333333333331
IKK,-2.39,720012206>0.15,-0.7975
PAKA,-2.33,720012206>0.15,-1.3
NMO,-2.23,720012206>0.15,-2.444166666666667
NDR,-1.87,720012206>0.15,-0.8741666666666666
STE7,-1.78,720012206>0.15,-2.35
PKD,-1.74,720012206>0.15,-1.1025
HAL,1.67,720012206>0.15,0.3016666666666666
AKT,-1.66,720012206>0.15,-0.3366666666666667
ATM,-1.66,720012206>0.15,-1.2116666666666667
FRAY,-1.57,720012206>0.15,-1.5658333333333334
MAPKAPK,-1.49,720012206>0.15,-0.3516666666666667
PIM,-1.48,720012206>0.15,-0.9233333333333333
DAPK,-1.29,720012206>0.15,-0.835
RAF,-1.28,720012206>0.15,-1.2366666666666666
MARK,1.28,720012206>0.15,1.3066666666666666
GSK,-1.24,720012206>0.15,-0.7283333333333333
TAO,1.24,720012206>0.15,-0.21916666666666668
TLK,-1.24,720012206>0.15,-1.2891666666666666
BRSK,1.22,720012206>0.15,1.3283333333333334
PKN,-1.22,720012206>0.15,-0.9216666666666666
TTK,-1.2,720012206>0.15,-1.3
PAKB,-1.2,720012206>0.15,-0.41583333333333333
SLK,1.19,720012206>0.15,0.13416666666666668
PRKDC,-1.17,720012206>0.15,-1.2891666666666666
NUAK,-1.17,720012206>0.15,-1.2766666666666666
MOS,1.14,720012206>0.15,0.65
CAMK1,1.09,720012206>0.15,1.5016666666666667
RSK,-1.04,720012206>0.15,-0.8099999999999999
LKB,-1.02,720012206>0.15,-1.5241666666666667
CHK1,1.01,720012206>0.15,0.29333333333333333
VRK1,-0.99,720012206>0.15,-0.8908333333333334
CK2,-0.95,720012206>0.15,-1.05
BARK2,0.93,720012206>0.15,0.7916666666666666
COT,0.88,720012206>0.15,-0.1675
KHS,-0.85,720012206>0.15,0.48500000000000004
CAMKK,-0.85,720012206>0.15,-0.9033333333333333
PASK,-0.85,720012206>0.15,0.4941666666666667
WNK,-0.84,720012206>0.15,-0.9058333333333334
NIK,-0.84,720012206>0.15,-0.9008333333333334
ULK,-0.84,720012206>0.15,-0.8966666666666667
PKCH,-0.82,720012206>0.15,-0.195
BUD32,-0.81,720012206>0.15,-0.9133333333333333
CLK,-0.8,720012206>0.15,-0.8908333333333334
PKCD,-0.78,720012206>0.15,-0.2675
MELK,-0.64,720012206>0.15,-0.13749999999999998
MST,-0.6,720012206>0.15,-1.3266666666666667
RAD53,-0.6,720012206>0.15,-0.13416666666666663
PKA,-0.57,720012206>0.15,0.7558333333333334
CAMK2,-0.5,720012206>0.15,-0.26499999999999996
PKG,0.44,720012206>0.15,0.6633333333333333
IRAK,-0.39,720012206>0.15,-0.4916666666666667
AMPK,-0.38,720012206>0.15,-0.18416666666666665
PKCI,-0.35,720012206>0.15,-0.3933333333333333
SGK,-0.3,720012206>0.15,0.5308333333333334
AUR,0.3,720012206>0.15,-0.36750000000000005
ATR,-0.24,720012206>0.15,-1.0583333333333333
MLK,0.24,720012206>0.15,-0.3433333333333334
NAK,0.19,720012206>0.15,-0.26833333333333337
NEK,0.17,720012206>0.15,-0.6808333333333333
MTOR,-0.14,720012206>0.15,-0.8025
RIPK,0.12,720012206>0.15,0.059999999999999984
STKR,0.09,720012206>0.15,0.27416666666666667
STE11,-0.08,720012206>0.15,-0.5483333333333332
GRK,0.07,720012206>0.15,-0.35416666666666663
MLCK,-0.06,720012206>0.15,0.3958333333333333
PKCA,-5.4,720012206>0.2,-4.91
PEK,-4.9,720012206>0.2,-3.924166666666667
CDK,-4.61,720012206>0.2,-3.4966666666666666
PDK1,-3.38,720012206>0.2,-2.8158333333333334
PDHK,-3.31,720012206>0.2,-2.565
PLK,-2.52,720012206>0.2,-2.9066666666666667
PAKA,-2.44,720012206>0.2,-1.3
DMPK,-2.37,720012206>0.2,-1.875
P38,-2.34,720012206>0.2,-1.9233333333333333
ERK,-2.34,720012206>0.2,-2.7983333333333333
PHK,-2.06,720012206>0.2,-2.5658333333333334
JNK,-1.97,720012206>0.2,-1.9449999999999998
QIK,-1.79,720012206>0.2,-1.8483333333333334
MAPKAPK,-1.66,720012206>0.2,-0.3516666666666667
CK1,-1.65,720012206>0.2,-2.0633333333333335
MOS,1.59,720012206>0.2,0.65
BRSK,1.58,720012206>0.2,1.3283333333333334
SLK,1.55,720012206>0.2,0.13416666666666668
FRAY,-1.54,720012206>0.2,-1.5658333333333334
DAPK,-1.49,720012206>0.2,-0.835
NMO,-1.49,720012206>0.2,-2.444166666666667
AKT,-1.47,720012206>0.2,-0.3366666666666667
IKK,-1.46,720012206>0.2,-0.7975
NDR,-1.44,720012206>0.2,-0.8741666666666666
BARK2,1.41,720012206>0.2,0.7916666666666666
DYRK,-1.39,720012206>0.2,-2.3608333333333333
PIM,-1.31,720012206>0.2,-0.9233333333333333
ATM,-1.26,720012206>0.2,-1.2116666666666667
RSK,-1.19,720012206>0.2,-0.8099999999999999
MARK,1.15,720012206>0.2,1.3066666666666666
RAD53,-1.13,720012206>0.2,-0.13416666666666663
PKD,-0.98,720012206>0.2,-1.1025
CAMK1,0.97,720012206>0.2,1.5016666666666667
MSN,0.94,720012206>0.2,0.10583333333333331
TTK,-0.92,720012206>0.2,-1.3
NUAK,-0.91,720012206>0.2,-1.2766666666666666
TLK,-0.91,720012206>0.2,-1.2891666666666666
PAKB,-0.9,720012206>0.2,-0.41583333333333333
PKN,-0.87,720012206>0.2,-0.9216666666666666
STKR,0.85,720012206>0.2,0.27416666666666667
STE11,0.79,720012206>0.2,-0.5483333333333332
BUD32,-0.68,720012206>0.2,-0.9133333333333333
NAK,0.66,720012206>0.2,-0.26833333333333337
TAO,-0.66,720012206>0.2,-0.21916666666666668
KHS,-0.65,720012206>0.2,0.48500000000000004
CAMKK,-0.64,720012206>0.2,-0.9033333333333333
PASK,-0.64,720012206>0.2,0.4941666666666667
WNK,-0.63,720012206>0.2,-0.9058333333333334
CLK,-0.63,720012206>0.2,-0.8908333333333334
HAL,0.62,720012206>0.2,0.3016666666666666
ULK,-0.61,720012206>0.2,-0.8966666666666667
NIK,-0.59,720012206>0.2,-0.9008333333333334
IRAK,0.58,720012206>0.2,-0.4916666666666667
AUR,0.57,720012206>0.2,-0.36750000000000005
GSK,-0.55,720012206>0.2,-0.7283333333333333
COT,0.51,720012206>0.2,-0.1675
MLCK,-0.48,720012206>0.2,0.3958333333333333
AMPK,-0.47,720012206>0.2,-0.18416666666666665
RAF,-0.47,720012206>0.2,-1.2366666666666666
PKCD,-0.46,720012206>0.2,-0.2675
VRK1,-0.45,720012206>0.2,-0.8908333333333334
MLK,0.43,720012206>0.2,-0.3433333333333334
PKCH,-0.41,720012206>0.2,-0.195
RIPK,-0.4,720012206>0.2,0.059999999999999984
MTOR,0.39,720012206>0.2,-0.8025
PKG,0.38,720012206>0.2,0.6633333333333333
PRKDC,-0.36,720012206>0.2,-1.2891666666666666
GRK,0.34,720012206>0.2,-0.35416666666666663
STE7,-0.33,720012206>0.2,-2.35
SGK,-0.28,720012206>0.2,0.5308333333333334
CK2,-0.24,720012206>0.2,-1.05
LKB,-0.17,720012206>0.2,-1.5241666666666667
PKA,-0.15,720012206>0.2,0.7558333333333334
MST,-0.13,720012206>0.2,-1.3266666666666667
PKCI,-0.12,720012206>0.2,-0.3933333333333333
ATR,0.12,720012206>0.2,-1.0583333333333333
CHK1,0.12,720012206>0.2,0.29333333333333333
MELK,-0.08,720012206>0.2,-0.13749999999999998
NEK,-0.05,720012206>0.2,-0.6808333333333333
CAMK2,0.05,720012206>0.2,-0.26499999999999996
PKCA,-3.3,720012206>0.3,-4.91
DMPK,-2.62,720012206>0.3,-1.875
PHK,-2.55,720012206>0.3,-2.5658333333333334
CAMK1,2.48,720012206>0.3,1.5016666666666667
MARK,2.37,720012206>0.3,1.3066666666666666
MOS,2.29,720012206>0.3,0.65
BRSK,2.17,720012206>0.3,1.3283333333333334
STKR,2.06,720012206>0.3,0.27416666666666667
PIM,-1.94,720012206>0.3,-0.9233333333333333
PDK1,-1.74,720012206>0.3,-2.8158333333333334
PAKA,-1.73,720012206>0.3,-1.3
PDHK,-1.71,720012206>0.3,-2.565
ATR,-1.66,720012206>0.3,-1.0583333333333333
PEK,-1.57,720012206>0.3,-3.924166666666667
PRKDC,-1.53,720012206>0.3,-1.2891666666666666
NAK,1.41,720012206>0.3,-0.26833333333333337
STE11,1.31,720012206>0.3,-0.5483333333333332
RAD53,-1.25,720012206>0.3,-0.13416666666666663
AKT,-1.17,720012206>0.3,-0.3366666666666667
PLK,-1.15,720012206>0.3,-2.9066666666666667
MST,-1.14,720012206>0.3,-1.3266666666666667
DAPK,-1.05,720012206>0.3,-0.835
RAF,-1.03,720012206>0.3,-1.2366666666666666
RSK,-0.99,720012206>0.3,-0.8099999999999999
COT,-0.98,720012206>0.3,-0.1675
QIK,-0.97,720012206>0.3,-1.8483333333333334
VRK1,-0.97,720012206>0.3,-0.8908333333333334
NDR,-0.96,720012206>0.3,-0.8741666666666666
GRK,0.91,720012206>0.3,-0.35416666666666663
MSN,-0.9,720012206>0.3,0.10583333333333331
BARK2,0.88,720012206>0.3,0.7916666666666666
ATM,-0.84,720012206>0.3,-1.2116666666666667
PKCD,-0.82,720012206>0.3,-0.2675
JNK,0.73,720012206>0.3,-1.9449999999999998
FRAY,-0.72,720012206>0.3,-1.5658333333333334
CK2,0.72,720012206>0.3,-1.05
PKA,-0.68,720012206>0.3,0.7558333333333334
IRAK,0.63,720012206>0.3,-0.4916666666666667
TLK,-0.63,720012206>0.3,-1.2891666666666666
NUAK,-0.62,720012206>0.3,-1.2766666666666666
NMO,-0.62,720012206>0.3,-2.444166666666667
LKB,-0.62,720012206>0.3,-1.5241666666666667
PKN,-0.61,720012206>0.3,-0.9216666666666666
PAKB,-0.61,720012206>0.3,-0.41583333333333333
PKCI,-0.61,720012206>0.3,-0.3933333333333333
MLK,-0.6,720012206>0.3,-0.3433333333333334
HAL,-0.6,720012206>0.3,0.3016666666666666
TTK,-0.59,720012206>0.3,-1.3
AUR,-0.56,720012206>0.3,-0.36750000000000005
MTOR,-0.53,720012206>0.3,-0.8025
IKK,-0.52,720012206>0.3,-0.7975
STE7,0.5,720012206>0.3,-2.35
NEK,0.49,720012206>0.3,-0.6808333333333333
GSK,0.49,720012206>0.3,-0.7283333333333333
NIK,-0.45,720012206>0.3,-0.9008333333333334
ULK,-0.45,720012206>0.3,-0.8966666666666667
KHS,-0.43,720012206>0.3,0.48500000000000004
SLK,-0.43,720012206>0.3,0.13416666666666668
WNK,-0.43,720012206>0.3,-0.9058333333333334
PASK,-0.43,720012206>0.3,0.4941666666666667
CAMKK,-0.42,720012206>0.3,-0.9033333333333333
CLK,-0.42,720012206>0.3,-0.8908333333333334
MELK,0.42,720012206>0.3,-0.13749999999999998
TAO,-0.42,720012206>0.3,-0.21916666666666668
BUD32,-0.41,720012206>0.3,-0.9133333333333333
PKCH,-0.38,720012206>0.3,-0.195
PKD,-0.35,720012206>0.3,-1.1025
DYRK,0.31,720012206>0.3,-2.3608333333333333
CK1,0.3,720012206>0.3,-2.0633333333333335
MLCK,0.3,720012206>0.3,0.3958333333333333
PKG,-0.29,720012206>0.3,0.6633333333333333
CDK,-0.29,720012206>0.3,-3.4966666666666666
CAMK2,0.22,720012206>0.3,-0.26499999999999996
MAPKAPK,0.19,720012206>0.3,-0.3516666666666667
AMPK,0.13,720012206>0.3,-0.18416666666666665
ERK,-0.11,720012206>0.3,-2.7983333333333333
SGK,-0.05,720012206>0.3,0.5308333333333334
P38,-0.02,720012206>0.3,-1.9233333333333333
RIPK,0.02,720012206>0.3,0.059999999999999984
CHK1,-0.01,720012206>0.3,0.29333333333333333
MARK,3.09,720012206>0.4,1.3066666666666666
MOS,2.94,720012206>0.4,0.65
PKCA,-2.93,720012206>0.4,-4.91
BRSK,2.86,720012206>0.4,1.3283333333333334
PHK,-2.49,720012206>0.4,-2.5658333333333334
DMPK,-2.39,720012206>0.4,-1.875
SGK,-2.02,720012206>0.4,0.5308333333333334
PDHK,-1.97,720012206>0.4,-2.565
QIK,-1.96,720012206>0.4,-1.8483333333333334
PIM,-1.95,720012206>0.4,-0.9233333333333333
DAPK,-1.84,720012206>0.4,-0.835
IKK,-1.73,720012206>0.4,-0.7975
PLK,-1.66,720012206>0.4,-2.9066666666666667
PDK1,-1.46,720012206>0.4,-2.8158333333333334
IRAK,1.45,720012206>0.4,-0.4916666666666667
PEK,-1.36,720012206>0.4,-3.924166666666667
PKA,-1.35,720012206>0.4,0.7558333333333334
AKT,-1.3,720012206>0.4,-0.3366666666666667
ATR,-1.29,720012206>0.4,-1.0583333333333333
RIPK,-1.26,720012206>0.4,0.059999999999999984
PKCD,-1.26,720012206>0.4,-0.2675
PRKDC,-1.23,720012206>0.4,-1.2891666666666666
GRK,-1.22,720012206>0.4,-0.35416666666666663
MST,-1.16,720012206>0.4,-1.3266666666666667
AUR,-1.14,720012206>0.4,-0.36750000000000005
AMPK,-1.13,720012206>0.4,-0.18416666666666665
RAF,-1.12,720012206>0.4,-1.2366666666666666
RSK,-1.05,720012206>0.4,-0.8099999999999999
PKD,-1,720012206>0.4,-1.1025
CDK,-0.97,720012206>0.4,-3.4966666666666666
PAKA,-0.96,720012206>0.4,-1.3
RAD53,-0.94,720012206>0.4,-0.13416666666666663
P38,-0.87,720012206>0.4,-1.9233333333333333
VRK1,-0.81,720012206>0.4,-0.8908333333333334
MLCK,-0.78,720012206>0.4,0.3958333333333333
COT,-0.76,720012206>0.4,-0.1675
NDR,-0.75,720012206>0.4,-0.8741666666666666
MLK,-0.74,720012206>0.4,-0.3433333333333334
MAPKAPK,-0.72,720012206>0.4,-0.3516666666666667
ATM,-0.7,720012206>0.4,-1.2116666666666667
MSN,-0.69,720012206>0.4,0.10583333333333331
MELK,-0.67,720012206>0.4,-0.13749999999999998
BARK2,-0.62,720012206>0.4,0.7916666666666666
PKG,0.54,720012206>0.4,0.6633333333333333
