Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
NUAK,-1.1841666666666666,31,KRSA,0.6131386861313869,3,CAMK,CAMKL,NUAK,NUAK2
AUR,0.18666666666666668,70,KRSA,0.11261730969760167,1,OTHER,AUR,AUR,AURKA
AUR,0.18666666666666668,70,KRSA,0.11261730969760167,1,OTHER,AUR,AUR,AURKB
AUR,0.18666666666666668,70,KRSA,0.11261730969760167,1,OTHER,AUR,AUR,AURKC
PKN,-0.7191666666666666,50,KRSA,0.36287799791449427,2,AGC,PKN,PKN,PKN1
PKN,-0.7191666666666666,50,KRSA,0.36287799791449427,2,AGC,PKN,PKN,PKN2
PKN,-0.7191666666666666,50,KRSA,0.36287799791449427,2,AGC,PKN,PKN,PKN3
PIM,0.5358333333333333,54,KRSA,0.31282586027111575,2,CAMK,PIM,PIM,PIM1
PIM,0.5358333333333333,54,KRSA,0.31282586027111575,2,CAMK,PIM,PIM,PIM2
PIM,0.5358333333333333,54,KRSA,0.31282586027111575,2,CAMK,PIM,PIM,PIM3
TLK,-1.1916666666666669,29,KRSA,0.6381647549530761,3,OTHER,TLK,TLK,TLK1
TLK,-1.1916666666666669,29,KRSA,0.6381647549530761,3,OTHER,TLK,TLK,TLK2
RAF,-1.8766666666666667,15,KRSA,0.8133472367049009,4,TKL,RAF,RAF,ARAF
RAF,-1.8766666666666667,15,KRSA,0.8133472367049009,4,TKL,RAF,RAF,BRAF
RAF,-1.8766666666666667,15,KRSA,0.8133472367049009,4,TKL,RAF,KSR,KSR1
RAF,-1.8766666666666667,15,KRSA,0.8133472367049009,4,TKL,RAF,KSR,KSR2
RAF,-1.8766666666666667,15,KRSA,0.8133472367049009,4,TKL,RAF,RAF,RAF1
TTK,-1.1891666666666667,30,KRSA,0.6256517205422315,3,OTHER,TTK,TTK,TTK
PHK,-1.75,17,KRSA,0.7883211678832117,4,CAMK,PHK,PHK,PHKG1
PHK,-1.75,17,KRSA,0.7883211678832117,4,CAMK,PHK,PHK,PHKG2
DAPK,-0.8791666666666667,39,KRSA,0.5130344108446299,3,CAMK,DAPK,DAPK,DAPK1
DAPK,-0.8791666666666667,39,KRSA,0.5130344108446299,3,CAMK,DAPK,DAPK,DAPK2
DAPK,-0.8791666666666667,39,KRSA,0.5130344108446299,3,CAMK,DAPK,DAPK,DAPK3
DAPK,-0.8791666666666667,39,KRSA,0.5130344108446299,3,CAMK,DAPK,DRAK,STK17A
DAPK,-0.8791666666666667,39,KRSA,0.5130344108446299,3,CAMK,DAPK,DRAK,STK17B
QIK,-1.6875,18,KRSA,0.7758081334723671,4,CAMK,CAMKL,QIK,SIK1
QIK,-1.6875,18,KRSA,0.7758081334723671,4,CAMK,CAMKL,QIK,SIK2
IKK,-0.67,51,KRSA,0.35036496350364965,2,OTHER,IKK,IKK,CHUK
IKK,-0.67,51,KRSA,0.35036496350364965,2,OTHER,IKK,IKK,IKBKB
IKK,-0.67,51,KRSA,0.35036496350364965,2,OTHER,IKK,IKK,IKBKE
IKK,-0.67,51,KRSA,0.35036496350364965,2,OTHER,IKK,IKK,TBK1
RIPK,1.169166666666667,32,KRSA,0.6006256517205423,3,TKL,RIPK,RIPK,ANKK1
RIPK,1.169166666666667,32,KRSA,0.6006256517205423,3,TKL,RIPK,RIPK,RIPK1
RIPK,1.169166666666667,32,KRSA,0.6006256517205423,3,TKL,RIPK,RIPK,RIPK2
RIPK,1.169166666666667,32,KRSA,0.6006256517205423,3,TKL,RIPK,RIPK,RIPK3
RIPK,1.169166666666667,32,KRSA,0.6006256517205423,3,TKL,RIPK,RIPK,RIPK4
IRAK,-0.2725,66,KRSA,0.16266944734098018,1,TKL,IRAK,IRAK,IRAK1
IRAK,-0.2725,66,KRSA,0.16266944734098018,1,TKL,IRAK,IRAK,IRAK2
IRAK,-0.2725,66,KRSA,0.16266944734098018,1,TKL,IRAK,IRAK,IRAK3
IRAK,-0.2725,66,KRSA,0.16266944734098018,1,TKL,IRAK,IRAK,IRAK4
MOS,-0.49583333333333335,55,KRSA,0.30031282586027114,2,OTHER,MOS,MOS,MOS
NIK,-0.8383333333333334,42,KRSA,0.4629822732012513,2,STE,STE-UNIQUE,STE-UNIQUE,MAP3K14
WNK,-0.8391666666666666,41,KRSA,0.4880083420229406,2,OTHER,WNK,WNK,WNK1
WNK,-0.8391666666666666,41,KRSA,0.4880083420229406,2,OTHER,WNK,WNK,WNK2
WNK,-0.8391666666666666,41,KRSA,0.4880083420229406,2,OTHER,WNK,WNK,WNK3
WNK,-0.8391666666666666,41,KRSA,0.4880083420229406,2,OTHER,WNK,WNK,WNK4
ULK,-0.8241666666666666,44,KRSA,0.43795620437956206,2,OTHER,ULK,FUSED,STK36
ULK,-0.8241666666666666,44,KRSA,0.43795620437956206,2,OTHER,ULK,ULK,ULK1
ULK,-0.8241666666666666,44,KRSA,0.43795620437956206,2,OTHER,ULK,ULK,ULK2
ULK,-0.8241666666666666,44,KRSA,0.43795620437956206,2,OTHER,ULK,ULK,ULK3
ULK,-0.8241666666666666,44,KRSA,0.43795620437956206,2,OTHER,ULK,ULK,ULK4
BRSK,0.04333333333333335,77,KRSA,0.02502606882168926,1,CAMK,CAMKL,BRSK,BRSK1
BRSK,0.04333333333333335,77,KRSA,0.02502606882168926,1,CAMK,CAMKL,BRSK,BRSK2
BUD32,-0.8275,43,KRSA,0.4504692387904067,2,OTHER,BUD32,BUD32,TP53RK
CLK,-0.8383333333333334,42,KRSA,0.4629822732012513,2,CMGC,CLK,CLK,CLK1
CLK,-0.8383333333333334,42,KRSA,0.4629822732012513,2,CMGC,CLK,CLK,CLK2
CLK,-0.8383333333333334,42,KRSA,0.4629822732012513,2,CMGC,CLK,CLK,CLK3
CLK,-0.8383333333333334,42,KRSA,0.4629822732012513,2,CMGC,CLK,CLK,CLK4
CAMKK,-0.8233333333333334,45,KRSA,0.4254431699687174,2,OTHER,CAMKK,META,CAMKK1
CAMKK,-0.8233333333333334,45,KRSA,0.4254431699687174,2,OTHER,CAMKK,META,CAMKK2
GRK,0.45833333333333326,57,KRSA,0.27528675703858185,2,AGC,GRK,GRK,GRK1
GRK,0.45833333333333326,57,KRSA,0.27528675703858185,2,AGC,GRK,GRK,GRK4
GRK,0.45833333333333326,57,KRSA,0.27528675703858185,2,AGC,GRK,GRK,GRK5
GRK,0.45833333333333326,57,KRSA,0.27528675703858185,2,AGC,GRK,GRK,GRK6
GRK,0.45833333333333326,57,KRSA,0.27528675703858185,2,AGC,GRK,GRK,GRK7
CK2,0.21166666666666664,68,KRSA,0.13764337851929093,1,CMGC,CK2,CK2,CSNK2A1
CK2,0.21166666666666664,68,KRSA,0.13764337851929093,1,CMGC,CK2,CK2,CSNK2A2
CK2,0.21166666666666664,68,KRSA,0.13764337851929093,1,NA,NA,NA,CSNK2A3
MAPKAPK,0.3733333333333333,59,KRSA,0.2502606882168926,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
MAPKAPK,0.3733333333333333,59,KRSA,0.2502606882168926,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK3
MAPKAPK,0.3733333333333333,59,KRSA,0.2502606882168926,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK5
MAPKAPK,0.3733333333333333,59,KRSA,0.2502606882168926,2,CAMK,MAPKAPK,MNK,MKNK1
MAPKAPK,0.3733333333333333,59,KRSA,0.2502606882168926,2,CAMK,MAPKAPK,MNK,MKNK2
PDHK,0.3358333333333333,62,KRSA,0.2127215849843587,1,ATYPICAL,PDHK,BCKDK,BCKDK
PDHK,0.3358333333333333,62,KRSA,0.2127215849843587,1,ATYPICAL,PDHK,PDHK,PDK2
PDHK,0.3358333333333333,62,KRSA,0.2127215849843587,1,ATYPICAL,PDHK,PDHK,PDK3
PDHK,0.3358333333333333,62,KRSA,0.2127215849843587,1,ATYPICAL,PDHK,PDHK,PDK4
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK11,NEK11
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK2,NEK2
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK1,NEK3
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK4,NEK4
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK1,NEK5
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK6,NEK6
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK6,NEK7
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK8,NEK8
NEK,-0.32416666666666666,64,KRSA,0.18769551616266944,1,OTHER,NEK,NEK8,NEK9
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,TKL,MLK,TAK1,MAP3K7
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,STE,STE11,MEKK1,MAP3K1
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,STE,STE11,ASK,MAP3K15
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,STE,STE11,MEKK2,MAP3K2
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,STE,STE11,MEKK2,MAP3K3
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,STE,STE11,MEKK4,MAP3K4
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,STE,STE11,ASK,MAP3K5
STE11,-0.7233333333333333,48,KRSA,0.38790406673618355,2,STE,STE11,ASK,MAP3K6
ATM,-0.6116666666666667,53,KRSA,0.32533889468196037,2,ATYPICAL,PIKK,ATM,ATM
CHK1,0.2441666666666667,67,KRSA,0.15015641293013557,1,CAMK,CAMKL,CHK1,CHEK1
MLK,-0.30499999999999994,65,KRSA,0.17518248175182483,1,TKL,MLK,ILK,ILK
MLK,-0.30499999999999994,65,KRSA,0.17518248175182483,1,TKL,MLK,MLK,MAP3K10
MLK,-0.30499999999999994,65,KRSA,0.17518248175182483,1,TKL,MLK,MLK,MAP3K11
MLK,-0.30499999999999994,65,KRSA,0.17518248175182483,1,TKL,MLK,LZK,MAP3K12
MLK,-0.30499999999999994,65,KRSA,0.17518248175182483,1,TKL,MLK,LZK,MAP3K13
MLK,-0.30499999999999994,65,KRSA,0.17518248175182483,1,TKL,MLK,MLK,MAP3K9
MLK,-0.30499999999999994,65,KRSA,0.17518248175182483,1,TKL,MLK,HH498,TNNI3K
MELK,-0.3683333333333333,60,KRSA,0.23774765380604795,1,CAMK,CAMKL,MELK,MELK
DMPK,-0.6308333333333334,52,KRSA,0.337851929092805,2,AGC,DMPK,GEK,CDC42BPA
DMPK,-0.6308333333333334,52,KRSA,0.337851929092805,2,AGC,DMPK,GEK,CDC42BPB
