Kinase,Z,method,AvgZ
PKCA,-35.26,720012406>0.15,-23.631666666666668
DMPK,-23.67,720012406>0.15,-15.705833333333333
CDK,-22.64,720012406>0.15,-15.043333333333333
PHK,-21.77,720012406>0.15,-14.285
PEK,-21.67,720012406>0.15,-14.318333333333333
RSK,-17.32,720012406>0.15,-11.520833333333334
PIM,-14.55,720012406>0.15,-9.738333333333333
QIK,-14.37,720012406>0.15,-9.649166666666666
PDK1,-12.99,720012406>0.15,-8.633333333333333
PDHK,-12.77,720012406>0.15,-8.500833333333333
PKA,-12.59,720012406>0.15,-8.24
ERK,-12.09,720012406>0.15,-8.098333333333333
IKK,-11.74,720012406>0.15,-7.9825
DYRK,-11.25,720012406>0.15,-7.594166666666667
P38,-11.15,720012406>0.15,-7.3675
STE7,-10.92,720012406>0.15,-7.223333333333334
MAPKAPK,-10.7,720012406>0.15,-6.9558333333333335
PKG,-10.37,720012406>0.15,-6.910833333333333
JNK,-10.31,720012406>0.15,-6.8525
PLK,-10.04,720012406>0.15,-6.693333333333333
PKD,-9.48,720012406>0.15,-6.346666666666667
CK1,-9.22,720012406>0.15,-6.160833333333334
AKT,-9.06,720012406>0.15,-6.0441666666666665
RIPK,-8.66,720012406>0.15,-5.818333333333333
PAKA,-8.11,720012406>0.15,-5.316666666666666
RAD53,-7.75,720012406>0.15,-5.305833333333333
MELK,-7,720012406>0.15,-4.769166666666667
SGK,-6.76,720012406>0.15,-4.569166666666667
MTOR,-6.63,720012406>0.15,-4.450833333333334
MST,-6.63,720012406>0.15,-4.48
RAF,-6.55,720012406>0.15,-4.3566666666666665
AMPK,-6.52,720012406>0.15,-4.363333333333333
DAPK,-6.49,720012406>0.15,-4.335833333333333
NEK,-6.08,720012406>0.15,-4.023333333333333
CAMK1,-5.99,720012406>0.15,-4.004166666666666
GSK,-5.94,720012406>0.15,-3.9908333333333332
FRAY,-5.83,720012406>0.15,-3.8891666666666667
MLK,-5.43,720012406>0.15,-3.6875
CAMK2,-5.33,720012406>0.15,-3.5416666666666665
PKCH,-5.17,720012406>0.15,-3.4225
IRAK,-4.75,720012406>0.15,-3.185
ATR,-4.71,720012406>0.15,-3.0908333333333333
PKCD,-4.7,720012406>0.15,-3.0483333333333333
CHK1,-4.53,720012406>0.15,-3.0566666666666666
GRK,-4.41,720012406>0.15,-2.9183333333333334
PRKDC,-4.37,720012406>0.15,-2.9183333333333334
NMO,-4.3,720012406>0.15,-2.7916666666666665
LKB,-4.24,720012406>0.15,-2.7925
AUR,-4.16,720012406>0.15,-2.7583333333333333
PKCI,-4.14,720012406>0.15,-2.796666666666667
STE11,-4.03,720012406>0.15,-2.638333333333333
CK2,-3.5,720012406>0.15,-2.36
STKR,-3.23,720012406>0.15,-2.1958333333333333
MARK,-3.03,720012406>0.15,-2.0275
COT,-2.81,720012406>0.15,-1.8516666666666668
NDR,-2.79,720012406>0.15,-1.8391666666666666
MLCK,-2.73,720012406>0.15,-1.8241666666666667
VRK1,-2.72,720012406>0.15,-1.8291666666666666
MSN,-2.44,720012406>0.15,-1.6308333333333334
ATM,-2.34,720012406>0.15,-1.6166666666666667
BARK2,-2.14,720012406>0.15,-1.4091666666666667
PKN,-1.79,720012406>0.15,-1.1416666666666666
HAL,-1.77,720012406>0.15,-1.1525
NAK,-1.76,720012406>0.15,-1.155
TTK,-1.75,720012406>0.15,-1.1533333333333333
PAKB,-1.74,720012406>0.15,-1.1525
NUAK,-1.71,720012406>0.15,-1.1391666666666667
TLK,-1.69,720012406>0.15,-1.1466666666666667
KHS,-1.27,720012406>0.15,-0.8200000000000001
MOS,-1.22,720012406>0.15,-0.8133333333333334
TAO,-1.22,720012406>0.15,-0.8133333333333334
WNK,-1.22,720012406>0.15,-0.8108333333333333
CLK,-1.21,720012406>0.15,-0.81
NIK,-1.21,720012406>0.15,-0.8041666666666667
ULK,-1.2,720012406>0.15,-0.8025
BUD32,-1.2,720012406>0.15,-0.8016666666666666
CAMKK,-1.19,720012406>0.15,-0.8
PASK,-1.19,720012406>0.15,-0.8066666666666666
SLK,-1.17,720012406>0.15,-0.81
BRSK,-1.16,720012406>0.15,-0.8
PKCA,-29.83,720012406>0.2,-23.631666666666668
DMPK,-20.21,720012406>0.2,-15.705833333333333
CDK,-19.37,720012406>0.2,-15.043333333333333
PEK,-18.27,720012406>0.2,-14.318333333333333
PHK,-17.91,720012406>0.2,-14.285
RSK,-14.77,720012406>0.2,-11.520833333333334
PIM,-12.67,720012406>0.2,-9.738333333333333
QIK,-12.28,720012406>0.2,-9.649166666666666
PDK1,-11.15,720012406>0.2,-8.633333333333333
PDHK,-10.68,720012406>0.2,-8.500833333333333
PKA,-10.61,720012406>0.2,-8.24
ERK,-10.51,720012406>0.2,-8.098333333333333
IKK,-10.17,720012406>0.2,-7.9825
DYRK,-9.69,720012406>0.2,-7.594166666666667
P38,-9.64,720012406>0.2,-7.3675
STE7,-9.04,720012406>0.2,-7.223333333333334
MAPKAPK,-8.79,720012406>0.2,-6.9558333333333335
PKG,-8.76,720012406>0.2,-6.910833333333333
PLK,-8.66,720012406>0.2,-6.693333333333333
JNK,-8.52,720012406>0.2,-6.8525
PKD,-8.15,720012406>0.2,-6.346666666666667
AKT,-7.86,720012406>0.2,-6.0441666666666665
CK1,-7.85,720012406>0.2,-6.160833333333334
RIPK,-7.48,720012406>0.2,-5.818333333333333
PAKA,-6.92,720012406>0.2,-5.316666666666666
RAD53,-6.86,720012406>0.2,-5.305833333333333
MELK,-6.17,720012406>0.2,-4.769166666666667
SGK,-6,720012406>0.2,-4.569166666666667
MTOR,-5.81,720012406>0.2,-4.450833333333334
RAF,-5.69,720012406>0.2,-4.3566666666666665
MST,-5.69,720012406>0.2,-4.48
AMPK,-5.61,720012406>0.2,-4.363333333333333
DAPK,-5.54,720012406>0.2,-4.335833333333333
NEK,-5.25,720012406>0.2,-4.023333333333333
CAMK1,-5.16,720012406>0.2,-4.004166666666666
FRAY,-5.05,720012406>0.2,-3.8891666666666667
GSK,-5.05,720012406>0.2,-3.9908333333333332
MLK,-4.7,720012406>0.2,-3.6875
CAMK2,-4.5,720012406>0.2,-3.5416666666666665
PKCH,-4.4,720012406>0.2,-3.4225
IRAK,-4.05,720012406>0.2,-3.185
ATR,-3.97,720012406>0.2,-3.0908333333333333
PKCD,-3.89,720012406>0.2,-3.0483333333333333
CHK1,-3.87,720012406>0.2,-3.0566666666666666
GRK,-3.82,720012406>0.2,-2.9183333333333334
PRKDC,-3.67,720012406>0.2,-2.9183333333333334
PKCI,-3.65,720012406>0.2,-2.796666666666667
NMO,-3.59,720012406>0.2,-2.7916666666666665
LKB,-3.54,720012406>0.2,-2.7925
AUR,-3.54,720012406>0.2,-2.7583333333333333
STE11,-3.42,720012406>0.2,-2.638333333333333
CK2,-3.05,720012406>0.2,-2.36
STKR,-2.76,720012406>0.2,-2.1958333333333333
MARK,-2.62,720012406>0.2,-2.0275
COT,-2.39,720012406>0.2,-1.8516666666666668
VRK1,-2.37,720012406>0.2,-1.8291666666666666
MLCK,-2.36,720012406>0.2,-1.8241666666666667
NDR,-2.32,720012406>0.2,-1.8391666666666666
MSN,-2.09,720012406>0.2,-1.6308333333333334
ATM,-2.09,720012406>0.2,-1.6166666666666667
BARK2,-1.81,720012406>0.2,-1.4091666666666667
TLK,-1.5,720012406>0.2,-1.1466666666666667
PAKB,-1.49,720012406>0.2,-1.1525
TTK,-1.48,720012406>0.2,-1.1533333333333333
PKN,-1.45,720012406>0.2,-1.1416666666666666
NAK,-1.45,720012406>0.2,-1.155
NUAK,-1.45,720012406>0.2,-1.1391666666666667
HAL,-1.44,720012406>0.2,-1.1525
PASK,-1.07,720012406>0.2,-0.8066666666666666
CLK,-1.05,720012406>0.2,-0.81
ULK,-1.04,720012406>0.2,-0.8025
NIK,-1.04,720012406>0.2,-0.8041666666666667
WNK,-1.04,720012406>0.2,-0.8108333333333333
BUD32,-1.04,720012406>0.2,-0.8016666666666666
KHS,-1.04,720012406>0.2,-0.8200000000000001
CAMKK,-1.03,720012406>0.2,-0.8
MOS,-1.02,720012406>0.2,-0.8133333333333334
SLK,-1.02,720012406>0.2,-0.81
TAO,-1.01,720012406>0.2,-0.8133333333333334
BRSK,-0.99,720012406>0.2,-0.8
PKCA,-20.74,720012406>0.3,-23.631666666666668
DMPK,-13.38,720012406>0.3,-15.705833333333333
CDK,-12.73,720012406>0.3,-15.043333333333333
PEK,-12.06,720012406>0.3,-14.318333333333333
PHK,-12,720012406>0.3,-14.285
RSK,-9.84,720012406>0.3,-11.520833333333334
PIM,-8.08,720012406>0.3,-9.738333333333333
QIK,-7.84,720012406>0.3,-9.649166666666666
PDK1,-7.2,720012406>0.3,-8.633333333333333
PDHK,-7.14,720012406>0.3,-8.500833333333333
PKA,-7.07,720012406>0.3,-8.24
ERK,-6.98,720012406>0.3,-8.098333333333333
IKK,-6.69,720012406>0.3,-7.9825
DYRK,-6.48,720012406>0.3,-7.594166666666667
P38,-6.31,720012406>0.3,-7.3675
STE7,-6.1,720012406>0.3,-7.223333333333334
JNK,-5.93,720012406>0.3,-6.8525
MAPKAPK,-5.78,720012406>0.3,-6.9558333333333335
PLK,-5.66,720012406>0.3,-6.693333333333333
PKG,-5.65,720012406>0.3,-6.910833333333333
CK1,-5.3,720012406>0.3,-6.160833333333334
PKD,-5.29,720012406>0.3,-6.346666666666667
AKT,-4.94,720012406>0.3,-6.0441666666666665
RIPK,-4.92,720012406>0.3,-5.818333333333333
PAKA,-4.55,720012406>0.3,-5.316666666666666
RAD53,-4.54,720012406>0.3,-5.305833333333333
MELK,-4.16,720012406>0.3,-4.769166666666667
SGK,-3.88,720012406>0.3,-4.569166666666667
MST,-3.77,720012406>0.3,-4.48
RAF,-3.73,720012406>0.3,-4.3566666666666665
AMPK,-3.73,720012406>0.3,-4.363333333333333
MTOR,-3.65,720012406>0.3,-4.450833333333334
DAPK,-3.54,720012406>0.3,-4.335833333333333
GSK,-3.45,720012406>0.3,-3.9908333333333332
CAMK1,-3.45,720012406>0.3,-4.004166666666666
NEK,-3.33,720012406>0.3,-4.023333333333333
FRAY,-3.24,720012406>0.3,-3.8891666666666667
MLK,-3.09,720012406>0.3,-3.6875
CAMK2,-3.02,720012406>0.3,-3.5416666666666665
PKCH,-2.96,720012406>0.3,-3.4225
ATR,-2.6,720012406>0.3,-3.0908333333333333
IRAK,-2.6,720012406>0.3,-3.185
CHK1,-2.57,720012406>0.3,-3.0566666666666666
PKCD,-2.56,720012406>0.3,-3.0483333333333333
GRK,-2.48,720012406>0.3,-2.9183333333333334
PRKDC,-2.44,720012406>0.3,-2.9183333333333334
LKB,-2.4,720012406>0.3,-2.7925
AUR,-2.32,720012406>0.3,-2.7583333333333333
PKCI,-2.31,720012406>0.3,-2.796666666666667
NMO,-2.3,720012406>0.3,-2.7916666666666665
STE11,-2.22,720012406>0.3,-2.638333333333333
CK2,-1.99,720012406>0.3,-2.36
STKR,-1.94,720012406>0.3,-2.1958333333333333
MARK,-1.7,720012406>0.3,-2.0275
COT,-1.58,720012406>0.3,-1.8516666666666668
MLCK,-1.56,720012406>0.3,-1.8241666666666667
VRK1,-1.55,720012406>0.3,-1.8291666666666666
NDR,-1.54,720012406>0.3,-1.8391666666666666
ATM,-1.4,720012406>0.3,-1.6166666666666667
MSN,-1.39,720012406>0.3,-1.6308333333333334
BARK2,-1.19,720012406>0.3,-1.4091666666666667
TLK,-1.04,720012406>0.3,-1.1466666666666667
NAK,-1.01,720012406>0.3,-1.155
NUAK,-0.98,720012406>0.3,-1.1391666666666667
PAKB,-0.98,720012406>0.3,-1.1525
HAL,-0.97,720012406>0.3,-1.1525
TTK,-0.97,720012406>0.3,-1.1533333333333333
PKN,-0.96,720012406>0.3,-1.1416666666666666
SLK,-0.71,720012406>0.3,-0.81
BUD32,-0.71,720012406>0.3,-0.8016666666666666
BRSK,-0.7,720012406>0.3,-0.8
MOS,-0.7,720012406>0.3,-0.8133333333333334
WNK,-0.69,720012406>0.3,-0.8108333333333333
CAMKK,-0.69,720012406>0.3,-0.8
ULK,-0.69,720012406>0.3,-0.8025
TAO,-0.69,720012406>0.3,-0.8133333333333334
PASK,-0.68,720012406>0.3,-0.8066666666666666
NIK,-0.68,720012406>0.3,-0.8041666666666667
KHS,-0.68,720012406>0.3,-0.8200000000000001
CLK,-0.66,720012406>0.3,-0.81
PKCA,-12.87,720012406>0.4,-23.631666666666668
DMPK,-8.69,720012406>0.4,-15.705833333333333
CDK,-8.15,720012406>0.4,-15.043333333333333
PHK,-7.93,720012406>0.4,-14.285
PEK,-7.83,720012406>0.4,-14.318333333333333
RSK,-6.71,720012406>0.4,-11.520833333333334
QIK,-5.39,720012406>0.4,-9.649166666666666
PIM,-5.36,720012406>0.4,-9.738333333333333
PDK1,-4.75,720012406>0.4,-8.633333333333333
PDHK,-4.67,720012406>0.4,-8.500833333333333
PKA,-4.61,720012406>0.4,-8.24
ERK,-4.58,720012406>0.4,-8.098333333333333
IKK,-4.47,720012406>0.4,-7.9825
DYRK,-4.17,720012406>0.4,-7.594166666666667
P38,-4.09,720012406>0.4,-7.3675
STE7,-4.03,720012406>0.4,-7.223333333333334
PKG,-3.9,720012406>0.4,-6.910833333333333
MAPKAPK,-3.9,720012406>0.4,-6.9558333333333335
JNK,-3.84,720012406>0.4,-6.8525
PLK,-3.67,720012406>0.4,-6.693333333333333
PKD,-3.66,720012406>0.4,-6.346666666666667
CK1,-3.47,720012406>0.4,-6.160833333333334
AKT,-3.37,720012406>0.4,-6.0441666666666665
RIPK,-3.24,720012406>0.4,-5.818333333333333
RAD53,-2.95,720012406>0.4,-5.305833333333333
PAKA,-2.92,720012406>0.4,-5.316666666666666
MELK,-2.78,720012406>0.4,-4.769166666666667
MST,-2.56,720012406>0.4,-4.48
SGK,-2.56,720012406>0.4,-4.569166666666667
MTOR,-2.54,720012406>0.4,-4.450833333333334
AMPK,-2.48,720012406>0.4,-4.363333333333333
RAF,-2.44,720012406>0.4,-4.3566666666666665
DAPK,-2.42,720012406>0.4,-4.335833333333333
CAMK1,-2.27,720012406>0.4,-4.004166666666666
NEK,-2.23,720012406>0.4,-4.023333333333333
GSK,-2.22,720012406>0.4,-3.9908333333333332
FRAY,-2.2,720012406>0.4,-3.8891666666666667
MLK,-2.03,720012406>0.4,-3.6875
CAMK2,-1.99,720012406>0.4,-3.5416666666666665
PKCH,-1.87,720012406>0.4,-3.4225
IRAK,-1.85,720012406>0.4,-3.185
CHK1,-1.75,720012406>0.4,-3.0566666666666666
ATR,-1.73,720012406>0.4,-3.0908333333333333
PKCD,-1.72,720012406>0.4,-3.0483333333333333
PRKDC,-1.63,720012406>0.4,-2.9183333333333334
PKCI,-1.62,720012406>0.4,-2.796666666666667
GRK,-1.6,720012406>0.4,-2.9183333333333334
NMO,-1.56,720012406>0.4,-2.7916666666666665
LKB,-1.55,720012406>0.4,-2.7925
AUR,-1.54,720012406>0.4,-2.7583333333333333
STE11,-1.5,720012406>0.4,-2.638333333333333
CK2,-1.33,720012406>0.4,-2.36
STKR,-1.26,720012406>0.4,-2.1958333333333333
MARK,-1.13,720012406>0.4,-2.0275
VRK1,-1.04,720012406>0.4,-1.8291666666666666
NDR,-1.02,720012406>0.4,-1.8391666666666666
COT,-1.01,720012406>0.4,-1.8516666666666668
MLCK,-1,720012406>0.4,-1.8241666666666667
MSN,-0.92,720012406>0.4,-1.6308333333333334
ATM,-0.92,720012406>0.4,-1.6166666666666667
BARK2,-0.79,720012406>0.4,-1.4091666666666667
PKN,-0.66,720012406>0.4,-1.1416666666666666
NUAK,-0.65,720012406>0.4,-1.1391666666666667
TLK,-0.65,720012406>0.4,-1.1466666666666667
HAL,-0.64,720012406>0.4,-1.1525
TTK,-0.63,720012406>0.4,-1.1533333333333333
PAKB,-0.63,720012406>0.4,-1.1525
NAK,-0.62,720012406>0.4,-1.155
KHS,-0.49,720012406>0.4,-0.8200000000000001
ULK,-0.48,720012406>0.4,-0.8025
TAO,-0.46,720012406>0.4,-0.8133333333333334
BUD32,-0.46,720012406>0.4,-0.8016666666666666
CAMKK,-0.45,720012406>0.4,-0.8
NIK,-0.45,720012406>0.4,-0.8041666666666667
MOS,-0.45,720012406>0.4,-0.8133333333333334
CLK,-0.45,720012406>0.4,-0.81
WNK,-0.45,720012406>0.4,-0.8108333333333333
SLK,-0.45,720012406>0.4,-0.81
BRSK,-0.44,720012406>0.4,-0.8
PASK,-0.43,720012406>0.4,-0.8066666666666666
PKCA,-31.85,720012407>0.15,-23.631666666666668
DMPK,-20.61,720012407>0.15,-15.705833333333333
CDK,-20.45,720012407>0.15,-15.043333333333333
PEK,-19.88,720012407>0.15,-14.318333333333333
PHK,-18.99,720012407>0.15,-14.285
RSK,-15.46,720012407>0.15,-11.520833333333334
PIM,-13.36,720012407>0.15,-9.738333333333333
QIK,-12.81,720012407>0.15,-9.649166666666666
PDHK,-11.45,720012407>0.15,-8.500833333333333
PDK1,-11.41,720012407>0.15,-8.633333333333333
PKA,-11.1,720012407>0.15,-8.24
IKK,-10.73,720012407>0.15,-7.9825
ERK,-10.64,720012407>0.15,-8.098333333333333
DYRK,-9.96,720012407>0.15,-7.594166666666667
P38,-9.83,720012407>0.15,-7.3675
STE7,-9.61,720012407>0.15,-7.223333333333334
PKG,-9.34,720012407>0.15,-6.910833333333333
MAPKAPK,-9.22,720012407>0.15,-6.9558333333333335
JNK,-9.09,720012407>0.15,-6.8525
PLK,-8.77,720012407>0.15,-6.693333333333333
PKD,-8.59,720012407>0.15,-6.346666666666667
CK1,-8.04,720012407>0.15,-6.160833333333334
AKT,-7.93,720012407>0.15,-6.0441666666666665
RIPK,-7.86,720012407>0.15,-5.818333333333333
RAD53,-7.2,720012407>0.15,-5.305833333333333
PAKA,-7.19,720012407>0.15,-5.316666666666666
MELK,-6.31,720012407>0.15,-4.769166666666667
SGK,-6.17,720012407>0.15,-4.569166666666667
MTOR,-6.05,720012407>0.15,-4.450833333333334
AMPK,-5.97,720012407>0.15,-4.363333333333333
MST,-5.93,720012407>0.15,-4.48
DAPK,-5.77,720012407>0.15,-4.335833333333333
