Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,6.3329230643385035,48,PTM-SEA,0.35526315789473684,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,55,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,52.08349453091685,20,PTM-SEA,0.7236842105263158,3,CAMK,CAMKL,CHK1,CHEK1
AURKA,-30.40076172943006,32,PTM-SEA,0.5657894736842105,3,OTHER,AUR,AUR,AURKA
DAPK3,0,55,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,-71.4320077132175,15,PTM-SEA,0.8026315789473685,4,AGC,RSK,MSK,RPS6KA5
CHEK2,18.614007443423183,39,PTM-SEA,0.47368421052631576,2,CAMK,RAD53,RAD53,CHEK2
RAF1,-29.005499205108116,34,PTM-SEA,0.5394736842105263,3,TKL,RAF,RAF,RAF1
PRKCG,0,55,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-34.2717067713676,30,PTM-SEA,0.5921052631578947,3,AGC,PKC,ALPHA,PRKCB
CDK1,-42.06638082871422,25,PTM-SEA,0.6578947368421053,3,CMGC,CDK,CDC2,CDK1
ARAF,70.89235740497136,16,PTM-SEA,0.7763157894736842,4,TKL,RAF,RAF,ARAF
PIM1,5.760617412337564,49,PTM-SEA,0.34210526315789475,2,CAMK,PIM,PIM,PIM1
CDK4,-100.92679729232391,3,PTM-SEA,0.9736842105263158,4,CMGC,CDK,CDK4,CDK4
SRC,0,55,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,70.89235740497136,16,PTM-SEA,0.7763157894736842,4,TKL,RAF,RAF,BRAF
PRKCA,29.117634186063544,33,PTM-SEA,0.5526315789473685,3,AGC,PKC,ALPHA,PRKCA
PRKACA,11.432903162728529,44,PTM-SEA,0.40789473684210525,2,AGC,PKA,PKA,PRKACA
PRKACG,0.4325882370275256,53,PTM-SEA,0.2631578947368421,2,AGC,PKA,PKA,PRKACG
PRKACB,5.684245280858906,51,PTM-SEA,0.2894736842105263,2,AGC,PKA,PKA,PRKACB
RPS6KB1,10.88208733493789,45,PTM-SEA,0.39473684210526316,2,AGC,RSK,P70,RPS6KB1
CDK2,-56.13984982719393,18,PTM-SEA,0.75,4,CMGC,CDK,CDC2,CDK2
MAPK3,-13.780751081964933,43,PTM-SEA,0.42105263157894735,2,CMGC,MAPK,ERK1,MAPK3
MAPK1,-42.16894314980627,24,PTM-SEA,0.6710526315789473,3,CMGC,MAPK,ERK1,MAPK1
AKT1,38.18823488922854,27,PTM-SEA,0.631578947368421,3,AGC,AKT,AKT,AKT1
AKT2,77.71638241686331,11,PTM-SEA,0.8552631578947368,4,AGC,AKT,AKT,AKT2
MAP3K8,-0.1623135587691027,54,PTM-SEA,0.25,2,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,5.684245280858906,51,PTM-SEA,0.2894736842105263,2,AGC,PKC,IOTA,PRKCI
MTOR,0,55,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,-78.48633770689199,10,PTM-SEA,0.868421052631579,4,CMGC,MAPK,JNK,MAPK8
MAPK9,0,55,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
MAPKAPK2,77.1041818128315,12,PTM-SEA,0.8421052631578947,4,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,-36.10422718638723,29,PTM-SEA,0.6052631578947368,3,CMGC,GSK,GSK,GSK3B
CDK7,53.40769230769231,19,PTM-SEA,0.7368421052631579,3,CMGC,CDK,CDK7,CDK7
CDK9,-84.64615384615384,8,PTM-SEA,0.8947368421052632,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,27.268329955368102,37,PTM-SEA,0.5,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,55,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,14.23814506696052,42,PTM-SEA,0.4342105263157895,2,CAMK,DAPK,DAPK,DAPK1
MAPK10,-75.57692307692307,14,PTM-SEA,0.8157894736842105,4,CMGC,MAPK,JNK,MAPK10
PRKAA2,46.177183396274614,22,PTM-SEA,0.6973684210526315,3,CAMK,CAMKL,AMPK,PRKAA2
SIK1,-76.58461538461538,13,PTM-SEA,0.8289473684210527,4,CAMK,CAMKL,QIK,SIK1
CSNK2A1,28.45704282619358,35,PTM-SEA,0.5263157894736842,3,CMGC,CK2,CK2,CSNK2A1
PRKDC,-123.4423076923077,1,PTM-SEA,1,4,ATYPICAL,PIKK,DNAPK,PRKDC
ATM,0,55,PTM-SEA,0,1,ATYPICAL,PIKK,ATM,ATM
AURKB,105.80079682417818,2,PTM-SEA,0.9868421052631579,4,OTHER,AUR,AUR,AURKB
CDK3,0,55,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,-84.64615384615384,8,PTM-SEA,0.8947368421052632,4,CMGC,CDK,CDK4,CDK6
CDK5,-97.43877819706462,5,PTM-SEA,0.9473684210526315,4,CMGC,CDK,CDK5,CDK5
PRKCE,38.66963710038301,26,PTM-SEA,0.6447368421052632,3,AGC,PKC,ETA,PRKCE
PRKCQ,-94.74726818746475,6,PTM-SEA,0.9342105263157895,4,AGC,PKC,DELTA,PRKCQ
PRKCZ,69.44122078034769,17,PTM-SEA,0.7631578947368421,4,AGC,PKC,IOTA,PRKCZ
PRKCD,46.23765105487372,21,PTM-SEA,0.7105263157894737,3,AGC,PKC,DELTA,PRKCD
PRKAA1,-45.53345775419962,23,PTM-SEA,0.6842105263157895,3,CAMK,CAMKL,AMPK,PRKAA1
PAK1,-6.57939919163527,47,PTM-SEA,0.3684210526315789,2,STE,STE20,PAKA,PAK1
PAK2,16.123076923076923,41,PTM-SEA,0.4473684210526316,2,STE,STE20,PAKA,PAK2
PRKG2,32.21576743838567,31,PTM-SEA,0.5789473684210527,3,AGC,PKG,PKG,PRKG2
ROCK1,-98.68797126776468,4,PTM-SEA,0.9605263157894737,4,AGC,DMPK,ROCK,ROCK1
ATR,0,55,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
CAMK2G,0,55,PTM-SEA,0,1,CAMK,CAMK2,CAMK2,CAMK2G
DYRK1A,24.369246878635288,38,PTM-SEA,0.4868421052631579,2,CMGC,DYRK,DYRK1,DYRK1A
PRKG1,17.878674687289713,40,PTM-SEA,0.4605263157894737,2,AGC,PKG,PKG,PRKG1
PRKD1,-5.50785488451266,52,PTM-SEA,0.27631578947368424,2,CAMK,PKD,PKD,PRKD1
RPS6KA2,8.330092455055823,46,PTM-SEA,0.3815789473684211,2,AGC,RSK,RSK,RPS6KA2
RPS6KA1,27.566186412493032,36,PTM-SEA,0.5131578947368421,3,AGC,RSK,RSK,RPS6KA1
PKN1,-37.775227271385994,28,PTM-SEA,0.618421052631579,3,AGC,PKN,PKN,PKN1
MAPK14,81.9722962807054,9,PTM-SEA,0.881578947368421,4,CMGC,MAPK,P38,MAPK14
PIM3,5.684245280858906,51,PTM-SEA,0.2894736842105263,2,CAMK,PIM,PIM,PIM3
BRSK2,0,55,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,55,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
DYRK2,0,55,PTM-SEA,0,1,CMGC,DYRK,DYRK2,DYRK2
PASK,0,55,PTM-SEA,0,1,CAMK,CAMKL,PASK,PASK
VRK1,0,55,PTM-SEA,0,1,CK1,VRK,VRK,VRK1
PRKD2,0,55,PTM-SEA,0,1,CAMK,PKD,PKD,PRKD2
PLK3,0,55,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,55,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,5.694514064504725,50,PTM-SEA,0.32894736842105265,2,CAMK,PIM,PIM,PIM2
AKT3,86.23151548779356,7,PTM-SEA,0.9210526315789473,4,AGC,AKT,AKT,AKT3
AAK1,302,264,KEA3,0.08857142857142856,1,OTHER,NAK,BIKE,AAK1
ABL1,54.333333333333336,33,KEA3,0.8885714285714286,4,TK,ABL,ABL,ABL1
ABL2,170,166,KEA3,0.4142857142857143,2,TK,ABL,ABL,ABL2
ACVR1,66.5,51,KEA3,0.8285714285714286,4,TKL,STKR,TYPE1,ACVR1
ACVR1B,136.5,126,KEA3,0.5657142857142857,3,TKL,STKR,TYPE1,ACVR1B
ACVR2B,212,206,KEA3,0.27714285714285714,2,TKL,STKR,TYPE2,ACVR2B
AKT1,59,41,KEA3,0.8628571428571429,4,AGC,AKT,AKT,AKT1
AKT2,40.333333333333336,21,KEA3,0.9314285714285714,4,AGC,AKT,AKT,AKT2
AKT3,108,100,KEA3,0.6457142857142857,3,AGC,AKT,AKT,AKT3
ALK,162.5,155,KEA3,0.4542857142857143,2,TK,ALK,ALK,ALK
ARAF,91,78,KEA3,0.72,3,TKL,RAF,RAF,ARAF
ATM,87,73,KEA3,0.7342857142857143,3,ATYPICAL,PIKK,ATM,ATM
ATR,42.333333333333336,24,KEA3,0.9171428571428571,4,ATYPICAL,PIKK,ATR,ATR
AURKA,60,42,KEA3,0.86,4,OTHER,AUR,AUR,AURKA
AURKB,46.66666666666667,28,KEA3,0.9028571428571428,4,OTHER,AUR,AUR,AURKB
AURKC,185,177,KEA3,0.37142857142857144,2,OTHER,AUR,AUR,AURKC
AXL,201,196,KEA3,0.31142857142857144,2,TK,AXL,AXL,AXL
BLK,257.5,236,KEA3,0.17142857142857143,1,TK,SRC,SRCB,BLK
BMP2K,325,283,KEA3,0.03428571428571429,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,196,186,KEA3,0.34285714285714286,2,TKL,STKR,TYPE1,BMPR1A
BMPR1B,113,104,KEA3,0.6342857142857142,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,226.5,220,KEA3,0.22285714285714286,1,TKL,STKR,TYPE2,BMPR2
BMX,136.66666666666666,127,KEA3,0.5628571428571428,3,TK,TEC,TEC,BMX
BRAF,121,112,KEA3,0.6085714285714285,3,TKL,RAF,RAF,BRAF
BRSK1,224.33333333333334,217,KEA3,0.2342857142857143,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,165,159,KEA3,0.44,2,CAMK,CAMKL,BRSK,BRSK2
BTK,62.666666666666664,46,KEA3,0.8428571428571429,4,TK,TEC,TEC,BTK
BUB1,149,138,KEA3,0.5285714285714286,3,OTHER,BUB,BUB,BUB1
CAMK1,140,131,KEA3,0.5485714285714286,3,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,245,230,KEA3,0.18857142857142858,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,56.333333333333336,36,KEA3,0.88,4,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,120.5,110,KEA3,0.6171428571428571,3,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,95,85,KEA3,0.7,3,CAMK,CAMK2,CAMK2,CAMK2D
