Kinase,Z,method,AvgZ
PKCA,-7.89,720012103>0.15,-3.9183333333333334
PEK,-7.74,720012103>0.15,-4.9325
CDK,-6.57,720012103>0.15,-5.128333333333333
ERK,-5.78,720012103>0.15,-5.575
DYRK,-5.17,720012103>0.15,-5.0325
PLK,-5.11,720012103>0.15,-3.288333333333333
PDK1,-5.06,720012103>0.15,-4.2275
NMO,-4.93,720012103>0.15,-3.2183333333333333
JNK,-4.69,720012103>0.15,-4.211666666666667
STE7,-4.53,720012103>0.15,-2.4058333333333333
CK1,-3.66,720012103>0.15,-1.9908333333333335
PHK,-3.64,720012103>0.15,-1.4125
IKK,-3.57,720012103>0.15,-1.5175
P38,-3.52,720012103>0.15,-3.515
QIK,-2.98,720012103>0.15,-1.7666666666666666
MTOR,-2.97,720012103>0.15,-2.211666666666667
DMPK,-2.66,720012103>0.15,-0.9541666666666667
FRAY,-2.49,720012103>0.15,-1.3883333333333334
TLK,-2.36,720012103>0.15,-1.4058333333333333
NUAK,-2.34,720012103>0.15,-1.3966666666666667
TTK,-2.32,720012103>0.15,-1.3983333333333334
ATR,-2.3,720012103>0.15,-1.6733333333333333
GSK,-2.29,720012103>0.15,-1.7775
ATM,-2.2,720012103>0.15,-0.9208333333333334
RAF,-2.17,720012103>0.15,-1.9416666666666667
LKB,-2.1,720012103>0.15,-1.9433333333333334
CAMK1,2.03,720012103>0.15,2.3716666666666666
PDHK,-2.02,720012103>0.15,-0.3375
PRKDC,-1.86,720012103>0.15,-1.4849999999999999
NEK,-1.73,720012103>0.15,-1.0808333333333333
STE11,-1.71,720012103>0.15,-1.2874999999999999
MOS,-1.68,720012103>0.15,-0.9941666666666666
BUD32,-1.67,720012103>0.15,-0.9874999999999999
CLK,-1.67,720012103>0.15,-0.9783333333333334
ULK,-1.65,720012103>0.15,-0.9775
RIPK,-1.64,720012103>0.15,0.1508333333333333
NIK,-1.64,720012103>0.15,-0.9858333333333333
NDR,-1.6,720012103>0.15,-0.9366666666666666
CAMKK,-1.58,720012103>0.15,-0.985
WNK,-1.57,720012103>0.15,-0.9766666666666667
PKG,1.55,720012103>0.15,2.87
CK2,-1.46,720012103>0.15,-0.5483333333333333
PKD,-1.41,720012103>0.15,0.9641666666666666
PKCI,1.39,720012103>0.15,1.5158333333333334
COT,1.39,720012103>0.15,0.8758333333333332
MLCK,1.37,720012103>0.15,-0.13166666666666663
DAPK,-1.3,720012103>0.15,-1.0841666666666667
MSN,1.25,720012103>0.15,1.2175
PKA,1.22,720012103>0.15,2.9483333333333333
MST,-1.16,720012103>0.15,-1.8283333333333334
SGK,0.96,720012103>0.15,0.47250000000000003
HAL,0.91,720012103>0.15,0.7308333333333333
AKT,-0.88,720012103>0.15,-0.29333333333333333
PAKB,0.86,720012103>0.15,-0.15333333333333332
IRAK,-0.79,720012103>0.15,-1.0275
NAK,-0.75,720012103>0.15,-0.17166666666666666
PKN,-0.71,720012103>0.15,-0.5433333333333333
MAPKAPK,-0.69,720012103>0.15,0.2683333333333333
MLK,-0.68,720012103>0.15,-0.5291666666666667
VRK1,-0.63,720012103>0.15,-1.1908333333333334
RSK,-0.62,720012103>0.15,0.7483333333333333
TAO,0.62,720012103>0.15,0.42500000000000004
SLK,0.6,720012103>0.15,0.5891666666666667
PASK,0.6,720012103>0.15,1.1358333333333333
KHS,0.6,720012103>0.15,0.9475
MARK,0.58,720012103>0.15,0.7075
BRSK,0.57,720012103>0.15,-0.27499999999999997
GRK,-0.51,720012103>0.15,0.14583333333333331
PAKA,-0.45,720012103>0.15,0.8591666666666667
PIM,0.45,720012103>0.15,0.7675
RAD53,0.39,720012103>0.15,1.0466666666666666
PKCD,0.33,720012103>0.15,1.0625
CHK1,0.32,720012103>0.15,0.6325
CAMK2,-0.25,720012103>0.15,0.1883333333333333
BARK2,-0.25,720012103>0.15,-0.48750000000000004
MELK,-0.24,720012103>0.15,-0.6616666666666667
PKCH,0.2,720012103>0.15,-0.7041666666666667
AMPK,0.2,720012103>0.15,1.4116666666666666
STKR,-0.11,720012103>0.15,0.11249999999999999
AUR,-0.02,720012103>0.15,0.04416666666666667
PEK,-7.9,720012103>0.2,-4.9325
PKCA,-7.83,720012103>0.2,-3.9183333333333334
CDK,-6.8,720012103>0.2,-5.128333333333333
ERK,-6.07,720012103>0.2,-5.575
DYRK,-5.57,720012103>0.2,-5.0325
PDK1,-5.35,720012103>0.2,-4.2275
STE7,-4.91,720012103>0.2,-2.4058333333333333
NMO,-4.86,720012103>0.2,-3.2183333333333333
JNK,-4.79,720012103>0.2,-4.211666666666667
PLK,-4.72,720012103>0.2,-3.288333333333333
P38,-3.92,720012103>0.2,-3.515
MTOR,-3.42,720012103>0.2,-2.211666666666667
CK1,-3.4,720012103>0.2,-1.9908333333333335
PHK,-3.38,720012103>0.2,-1.4125
IKK,-3.21,720012103>0.2,-1.5175
FRAY,-2.9,720012103>0.2,-1.3883333333333334
LKB,-2.74,720012103>0.2,-1.9433333333333334
QIK,-2.58,720012103>0.2,-1.7666666666666666
PDHK,-2.47,720012103>0.2,-0.3375
DMPK,-2.44,720012103>0.2,-0.9541666666666667
STE11,-2.34,720012103>0.2,-1.2874999999999999
TLK,-2.28,720012103>0.2,-1.4058333333333333
TTK,-2.22,720012103>0.2,-1.3983333333333334
ATR,-2.2,720012103>0.2,-1.6733333333333333
NUAK,-2.19,720012103>0.2,-1.3966666666666667
GSK,-2.11,720012103>0.2,-1.7775
NEK,-2.11,720012103>0.2,-1.0808333333333333
ATM,-2.07,720012103>0.2,-0.9208333333333334
RAF,-2.05,720012103>0.2,-1.9416666666666667
PKG,1.84,720012103>0.2,2.87
PRKDC,-1.71,720012103>0.2,-1.4849999999999999
NDR,-1.68,720012103>0.2,-0.9366666666666666
CAMKK,-1.63,720012103>0.2,-0.985
MOS,-1.6,720012103>0.2,-0.9941666666666666
CAMK1,1.6,720012103>0.2,2.3716666666666666
WNK,-1.59,720012103>0.2,-0.9766666666666667
NIK,-1.58,720012103>0.2,-0.9858333333333333
BUD32,-1.55,720012103>0.2,-0.9874999999999999
CLK,-1.54,720012103>0.2,-0.9783333333333334
PKA,1.53,720012103>0.2,2.9483333333333333
ULK,-1.53,720012103>0.2,-0.9775
PKD,-1.47,720012103>0.2,0.9641666666666666
PKCI,1.45,720012103>0.2,1.5158333333333334
MST,-1.42,720012103>0.2,-1.8283333333333334
MLCK,1.42,720012103>0.2,-0.13166666666666663
CK2,-1.39,720012103>0.2,-0.5483333333333333
RIPK,-1.39,720012103>0.2,0.1508333333333333
COT,1.38,720012103>0.2,0.8758333333333332
MSN,1.29,720012103>0.2,1.2175
SGK,1.14,720012103>0.2,0.47250000000000003
DAPK,-1.03,720012103>0.2,-1.0841666666666667
HAL,0.88,720012103>0.2,0.7308333333333333
PAKB,0.88,720012103>0.2,-0.15333333333333332
MAPKAPK,-0.83,720012103>0.2,0.2683333333333333
PAKA,-0.74,720012103>0.2,0.8591666666666667
