Kinase,Peptide,LFC
BARK1,ACM1_444_456,0.30544366152306274
CDK,ACM1_444_456,0.30544366152306274
CK1,ACM1_444_456,0.30544366152306274
DAPK,ACM1_444_456,0.30544366152306274
DMPK,ACM1_444_456,0.30544366152306274
DYRK,ACM1_444_456,0.30544366152306274
ERK,ACM1_444_456,0.30544366152306274
GSK,ACM1_444_456,0.30544366152306274
IRAK,ACM1_444_456,0.30544366152306274
JNK,ACM1_444_456,0.30544366152306274
MLCK,ACM1_444_456,0.30544366152306274
P38,ACM1_444_456,0.30544366152306274
PDK1,ACM1_444_456,0.30544366152306274
PEK,ACM1_444_456,0.30544366152306274
PHK,ACM1_444_456,0.30544366152306274
PIM,ACM1_444_456,0.30544366152306274
PKCA,ACM1_444_456,0.30544366152306274
RSK,ACM1_444_456,0.30544366152306274
VRK2,ACM1_444_456,0.30544366152306274
BARK1,ACM4_456_468,0.08954768176368808
FRAY,ACM4_456_468,0.08954768176368808
MELK,ACM4_456_468,0.08954768176368808
PDHK,ACM4_456_468,0.08954768176368808
PDK1,ACM4_456_468,0.08954768176368808
PIM,ACM4_456_468,0.08954768176368808
PKCA,ACM4_456_468,0.08954768176368808
PKCH,ACM4_456_468,0.08954768176368808
VRK2,ACM4_456_468,0.08954768176368808
BARK1,ADDB_696_708,0.2672487964330245
CDK,ADDB_696_708,0.2672487964330245
CK1,ADDB_696_708,0.2672487964330245
DMPK,ADDB_696_708,0.2672487964330245
DYRK,ADDB_696_708,0.2672487964330245
ERK,ADDB_696_708,0.2672487964330245
GSK,ADDB_696_708,0.2672487964330245
IKK,ADDB_696_708,0.2672487964330245
JNK,ADDB_696_708,0.2672487964330245
MELK,ADDB_696_708,0.2672487964330245
MST,ADDB_696_708,0.2672487964330245
NEK,ADDB_696_708,0.2672487964330245
P38,ADDB_696_708,0.2672487964330245
PDK1,ADDB_696_708,0.2672487964330245
PEK,ADDB_696_708,0.2672487964330245
PKCA,ADDB_696_708,0.2672487964330245
PKCH,ADDB_696_708,0.2672487964330245
PLK,ADDB_696_708,0.2672487964330245
QIK,ADDB_696_708,0.2672487964330245
RIPK,ADDB_696_708,0.2672487964330245
STE7,ADDB_696_708,0.2672487964330245
VRK1,ADDB_696_708,0.2672487964330245
VRK2,ADDB_696_708,0.2672487964330245
BARK1,ADDB_706_718,0.1021626479909988
CDK,ADDB_706_718,0.1021626479909988
CHK1,ADDB_706_718,0.1021626479909988
DMPK,ADDB_706_718,0.1021626479909988
DYRK,ADDB_706_718,0.1021626479909988
ERK,ADDB_706_718,0.1021626479909988
JNK,ADDB_706_718,0.1021626479909988
MAPKAPK,ADDB_706_718,0.1021626479909988
MST,ADDB_706_718,0.1021626479909988
NEK,ADDB_706_718,0.1021626479909988
P38,ADDB_706_718,0.1021626479909988
PAKA,ADDB_706_718,0.1021626479909988
PDHK,ADDB_706_718,0.1021626479909988
PDK1,ADDB_706_718,0.1021626479909988
PEK,ADDB_706_718,0.1021626479909988
PHK,ADDB_706_718,0.1021626479909988
PIM,ADDB_706_718,0.1021626479909988
PKCA,ADDB_706_718,0.1021626479909988
PLK,ADDB_706_718,0.1021626479909988
RAD53,ADDB_706_718,0.1021626479909988
RSK,ADDB_706_718,0.1021626479909988
VRK2,ADDB_706_718,0.1021626479909988
AKT,ADRB2_338_350,-0.03394340580411725
BARK1,ADRB2_338_350,-0.03394340580411725
CAMK1,ADRB2_338_350,-0.03394340580411725
CDK,ADRB2_338_350,-0.03394340580411725
CHK1,ADRB2_338_350,-0.03394340580411725
DMPK,ADRB2_338_350,-0.03394340580411725
GRK,ADRB2_338_350,-0.03394340580411725
PAKA,ADRB2_338_350,-0.03394340580411725
PKA,ADRB2_338_350,-0.03394340580411725
PKCA,ADRB2_338_350,-0.03394340580411725
PKCI,ADRB2_338_350,-0.03394340580411725
PKG,ADRB2_338_350,-0.03394340580411725
RAD53,ADRB2_338_350,-0.03394340580411725
RSK,ADRB2_338_350,-0.03394340580411725
VRK2,ADRB2_338_350,-0.03394340580411725
AKT,ANDR_785_797,0.2359957646412676
ATR,ANDR_785_797,0.2359957646412676
BARK1,ANDR_785_797,0.2359957646412676
DMPK,ANDR_785_797,0.2359957646412676
PHK,ANDR_785_797,0.2359957646412676
PIM,ANDR_785_797,0.2359957646412676
PKA,ANDR_785_797,0.2359957646412676
PKD,ANDR_785_797,0.2359957646412676
RAF,ANDR_785_797,0.2359957646412676
RSK,ANDR_785_797,0.2359957646412676
VRK2,ANDR_785_797,0.2359957646412676
AKT,ANXA1_209_221,0.0580944118088631
BARK1,ANXA1_209_221,0.0580944118088631
DMPK,ANXA1_209_221,0.0580944118088631
PHK,ANXA1_209_221,0.0580944118088631
PKA,ANXA1_209_221,0.0580944118088631
PKCA,ANXA1_209_221,0.0580944118088631
