Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
HPV+_0Gy,720012103,HPV+_0Gy_720012103,RS6_228_240,9.119430569908976,0.9999664480828387,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,RYR1_4317_4329,7.532116966543402,0.9997662546515325,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,TRPM7_1498_1510,10.149507481107227,0.9999738193231078,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,PTK6_436_448,10.119870975419662,0.9999928567270138,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,STK6_283_295,9.845549225081127,0.9999580979698031,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,NFKB1_330_342,8.356721867624762,0.9995636775068012,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,PPR1A_28_40,7.935637649654074,0.9999107793975471,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,GYS2_1_13,8.160632553016015,0.9998813918795953,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,ANDR_785_797,7.742484222502441,0.9993311546340697,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,GPSM2_394_406,8.074191964022866,0.9998734480429335,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,TPH2_10_22,7.234252576546509,0.9998643408661836,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,DESP_2842_2854,6.5033007261479865,0.9995582667591412,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,FOXO3_25_37,8.208533455477978,0.9998210407524001,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,CCR5_330_342,5.717094391305224,0.9993139871539722,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,MP2K1_287_299,7.8405107386042605,0.9999329465700165,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,CFTR_730_742,9.231900405017555,0.9998751437732998,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,ACM4_456_468,6.4218266649414835,0.9989325592646348,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,PDPK1_235_247,6.5505290036572825,0.9975145619767105,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,MARCS_160_172,6.392317422778761,0.9980997117540302,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,ACM1_444_456,7.081043720356062,0.9996330309423402,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,RB_242_254,7.144754425707406,0.9993604093380237,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,CO4A3_1429_1441,5.051798900580205,0.9944155576720122,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,GSUB_61_73,6.100216029630908,0.9963385554989495,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,NEK3_158_170,5.423096084329049,0.9725625169269657,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,RAP1B_172_184,6.623018726983232,0.9980403572880979,5
HPV+_0Gy,720012103,HPV+_0Gy_720012103,PLEK_106_118,10.386431928355051,0.9999982602047476,5
