Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,0.9665762445130504,2.6989700043360187,3.6655462488490693,3.6655462488490693,2.9936525741986837,2.9717071222853186,0.13873993773922058,0.6278420726942299,47
PRKG1,Q13976,AGC,PKG,0.9665762445130504,2.6459565315893894,3.6655462488490693,3.6655462488490693,3.1898117884087474,3.1804414631931377,0.2831462415026079,0.6527770580414043,32
PRKG2,Q13237,AGC,PKG,0.9665762445130504,2.4767477821137964,3.6655462488490693,3.6655462488490693,3.1640418836723456,3.1936575327025127,0.1291379405602475,0.6720918126290166,28
RPS6KA5,O75582,AGC-CAMK,RSK,0.9665762445130504,2.612508754293392,3.6655462488490693,3.6655462488490693,3.0897321177165713,3.079793123036508,0.06843469330439178,0.6316874472463841,35
PRKACB,P22694,AGC,PKA,0.9665762445130504,2.1713935568908855,3.364516253185088,3.6655462488490693,3.275963447927822,3.186520859223723,0.2875642045299661,0.6460636587648972,23
RPS6KB2,Q9UBS0,AGC,RSK,0.9665762445130504,2.0324560647234784,3.1884249941294067,3.6655462488490693,3.23228960068043,3.299835299282591,0.47420003292960106,0.7500344948370001,20
PRKX,P51817,AGC,PKA,0.9665762445130504,1.7488835565762855,2.711303739409744,3.6655462488490693,2.844965529489773,2.926862803073271,0.2862326220305494,0.6262742409610988,26
STK38L,Q9Y2H1,AGC,NDR,0.9665762445130504,1.2957983328218086,2.1884249941294067,2.489454989793388,3.572980641261504,4.098795346202247,0.9107377843242046,0.6653418118316476,6
CHUK,O15111,OTHER,IKK,0.9665762445130504,1.1412159231861003,2.103294136431928,2.267606240177032,4.508767941263514,4.508767941263514,0,1.1357028286223583,3
CAMK4,Q16566,CAMK,CAMK1,0.9665762445130504,1.2297259642758824,2.0973445247820743,2.519418213170831,3.3036620541007995,3.4007776844652895,0.255527533269135,0.7563524497884088,9
CDK15,Q96Q40,CMGC,CDK,0.9665762445130504,1.0547494950788905,2.0422969584511685,2.250572900878251,3.743579403304215,3.6037241278460628,0.25114922115528093,0.8895752904744736,5
CAMK2A,Q9UQM7,CAMK,CAMK2,0.9665762445130504,1.1444041327244139,2.0096693183211922,2.8204482088348124,3.4240530795474315,3.423658623791419,0.23349508708030328,0.6928907566660514,7
CAMK2B,Q13554,CAMK,CAMK2,0.9665762445130504,1.002151808383565,1.984305011473482,2.489454989793388,3.4555695162528623,3.5063770367289795,0.5576496125981961,0.6039052993173248,6
PRKY,O43930,AGC,PKA,0.9665762445130504,1.1776864217587908,1.9495429052142699,2.8873949984654255,2.871838134389701,3.7082898959835875,1.2936862653749053,0.5775228122240897,9
CHEK2,O96017,CAMK,RAD53,0.9665762445130504,0.9688641027826844,1.9331524890261007,2.364516253185088,2.6743788113505835,2.705104300519535,0.2591130515013584,0.5040692784555706,16
AKT2,P31751,AGC,AKT,0.9665762445130504,0.8632446190107474,1.8142879001299939,2.1214782044987937,2.513742389882131,2.553352229581876,0.14132721343712856,0.5616004261346258,22
AKT3,Q9Y243,AGC,AKT,0.9665762445130504,0.8772759775703538,1.8112508262738973,2.1741845550147962,3.147726210848579,3.0621605084179278,0.19617665382877614,0.7080918280070422,7
MYLK3,Q32MK0,CAMK,MLCK,0.9665762445130504,0.8250089082060791,1.7933997572877312,1.894694237206925,3.4735599816842835,3.4735599816842835,0,0.5150178189991891,3
DCLK1,O15075,CAMK,DCAMKL,0.9665762445130504,0.8051534092246871,1.7687907459526402,1.9665762445130504,3.328539813610349,3.328539813610349,0.5155404082182394,0.6421798449237854,4
PRKCD,Q05655,AGC,PKC,0.9665762445130504,0.8109010215854243,1.7361273231347765,2.0220935723628815,2.5157367344757375,2.5861939756622085,0.14998370068298156,0.6222518306457634,18
SGK2,Q9HBY8,AGC,SGK,0.9665762445130504,0.7436718340178088,1.7210635766989006,2.489454989793388,2.535548426873701,2.4352719755947065,0.3776311988345607,0.6348945987867445,15
PIM2,Q9P1W9,CAMK,PIM,0.9665762445130504,0.6841986825228262,1.7161562422041565,1.9096713931765779,2.3086593061743854,2.250949639937188,0.20939764895892007,0.49630551893746705,32
RPS6KA4,O75676,AGC-CAMK,RSK,0.9665762445130504,0.6081720962265647,1.6485932303357251,1.7113037394097443,3.1374620571275855,2.857193195043683,0.5189570917153157,0.7210758423387974,4
AKT1,P31749,AGC,AKT,0.9665762445130504,0.7537263202066645,1.6321224933621195,2.134067331806814,2.393340234586095,2.439014492342886,0.16568841046996516,0.5578040103322986,23
PRKCA,P17252,AGC,PKC,0.9665762445130504,0.6323785220825454,1.5973603871029076,1.683275015809501,2.388384413254538,2.370636952612897,0.03893726665962492,0.61562202375949715,21
CDK10,Q15131,CMGC,CDK,0.9665762445130504,0.5869465349314184,1.5617425278931123,1.7017584215035138,2.702467915262259,2.6306597001767047,0.22694300507150283,0.6429974411696072,6
PRKDC,P78527,Atypical,PIKK,0.9665762445130504,0.5374069070507212,1.5011933930646322,1.5516028965422324,2.7824608189736746,2.7824608189736746,0,0.5629696651174937,3
PSKH1,P11801,CAMK,PSK,0.9665762445130504,0.5304467864973139,1.49532419142901,1.5194182131708311,2.7124629706581644,2.7124629706581644,0,0.856023355197539,3
PRKD1,Q15139,CAMK,PKD,0.9665762445130504,0.5090659547922849,1.4752145506787777,1.535212480354063,2.4726440333378186,2.4726440333378186,0,0.7527770463044682,6
CAMK2D,Q13557,CAMK,CAMK2,0.8838105157655095,0.6458443149672786,1.4587203728172193,2.6655462488490693,2.3115422807686636,2.2197456528022017,0.9243407859440259,0.5759368440595054,8
CAMK2G,Q13555,CAMK,CAMK2,0.8378295553502091,0.5557502796086645,1.4587203728172193,1.9251835593548252,2.4115124534662407,2.0943812523787275,1.003556889133529,0.5978104158773299,8
PIM1,P11309,CAMK,PIM,0.9665762445130504,0.4885610026704543,1.4428297777014858,1.5384414504842616,2.0899663063784755,2.1139683977927266,0.03950717962598841,0.4755767257349934,52
MTOR,P42345,Atypical,PIKK,0.9665762445130504,0.6154024869491285,1.4350973274707952,2.002788417167495,2.2670772684177996,2.5516681845615694,0.6127462549122873,0.5787870984713557,6
PRKAA1,Q13131,CAMK,CAMKL,0.9665762445130504,0.4599323138959967,1.4325501384569153,1.6086413975125966,2.3593083899695153,2.29010315153699,0.1714669795021988,0.5166089877929929,7
RPS6KA3,P51812,AGC-CAMK,RSK,0.9665762445130504,0.5231996557400806,1.4030951591186396,1.7361273231347765,2.167527707564012,2.2699689978918696,0.1991771675180054,0.5102606534529535,18
PLK3,Q9H4B4,CAMK,PLK,0.9665762445130504,0.43968941884955764,1.3913883995853893,1.6485129095502888,2.4331154429004354,2.3396125755170956,0.3425464672390653,0.666132320503865,5
