Kinase,Peptide,LFC
PHK,BAD_69_81,-0.06171417225859758
PIM,BAD_69_81,-0.06171417225859758
PKA,BAD_69_81,-0.06171417225859758
PKCA,BAD_69_81,-0.06171417225859758
PKCI,BAD_69_81,-0.06171417225859758
PKD,BAD_69_81,-0.06171417225859758
PKG,BAD_69_81,-0.06171417225859758
QIK,BAD_69_81,-0.06171417225859758
RAD53,BAD_69_81,-0.06171417225859758
RAF,BAD_69_81,-0.06171417225859758
RSK,BAD_69_81,-0.06171417225859758
SGK,BAD_69_81,-0.06171417225859758
VRK2,BAD_69_81,-0.06171417225859758
AKT,BAD_93_105,-0.11532268174665848
BARK1,BAD_93_105,-0.11532268174665848
DMPK,BAD_93_105,-0.11532268174665848
MAPKAPK,BAD_93_105,-0.11532268174665848
PAKA,BAD_93_105,-0.11532268174665848
PHK,BAD_93_105,-0.11532268174665848
PIM,BAD_93_105,-0.11532268174665848
PKA,BAD_93_105,-0.11532268174665848
PKCA,BAD_93_105,-0.11532268174665848
PKCI,BAD_93_105,-0.11532268174665848
PKD,BAD_93_105,-0.11532268174665848
PKG,BAD_93_105,-0.11532268174665848
QIK,BAD_93_105,-0.11532268174665848
RAF,BAD_93_105,-0.11532268174665848
RSK,BAD_93_105,-0.11532268174665848
SGK,BAD_93_105,-0.11532268174665848
VRK2,BAD_93_105,-0.11532268174665848
AKT,BCKD_45_57,-0.09110407518122
BARK1,BCKD_45_57,-0.09110407518122
CDK,BCKD_45_57,-0.09110407518122
DMPK,BCKD_45_57,-0.09110407518122
FRAY,BCKD_45_57,-0.09110407518122
GRK,BCKD_45_57,-0.09110407518122
IKK,BCKD_45_57,-0.09110407518122
MAPKAPK,BCKD_45_57,-0.09110407518122
MELK,BCKD_45_57,-0.09110407518122
MLCK,BCKD_45_57,-0.09110407518122
MST,BCKD_45_57,-0.09110407518122
PAKA,BCKD_45_57,-0.09110407518122
PDHK,BCKD_45_57,-0.09110407518122
PDK1,BCKD_45_57,-0.09110407518122
PEK,BCKD_45_57,-0.09110407518122
PHK,BCKD_45_57,-0.09110407518122
PIM,BCKD_45_57,-0.09110407518122
PKA,BCKD_45_57,-0.09110407518122
PKCA,BCKD_45_57,-0.09110407518122
PKG,BCKD_45_57,-0.09110407518122
PLK,BCKD_45_57,-0.09110407518122
QIK,BCKD_45_57,-0.09110407518122
RSK,BCKD_45_57,-0.09110407518122
SGK,BCKD_45_57,-0.09110407518122
STE7,BCKD_45_57,-0.09110407518122
VRK2,BCKD_45_57,-0.09110407518122
BARK1,CAC1C_1974_1986,0.6137368471172797
CAMK1,CAC1C_1974_1986,0.6137368471172797
MAPKAPK,CAC1C_1974_1986,0.6137368471172797
PDHK,CAC1C_1974_1986,0.6137368471172797
PHK,CAC1C_1974_1986,0.6137368471172797
PIM,CAC1C_1974_1986,0.6137368471172797
PKCA,CAC1C_1974_1986,0.6137368471172797
PKD,CAC1C_1974_1986,0.6137368471172797
PKG,CAC1C_1974_1986,0.6137368471172797
QIK,CAC1C_1974_1986,0.6137368471172797
RAD53,CAC1C_1974_1986,0.6137368471172797
RIPK,CAC1C_1974_1986,0.6137368471172797
RSK,CAC1C_1974_1986,0.6137368471172797
VRK2,CAC1C_1974_1986,0.6137368471172797
AKT,CD27_212_224,-0.16669197887606688
BARK1,CD27_212_224,-0.16669197887606688
CDK,CD27_212_224,-0.16669197887606688
DMPK,CD27_212_224,-0.16669197887606688
ERK,CD27_212_224,-0.16669197887606688
IKK,CD27_212_224,-0.16669197887606688
JNK,CD27_212_224,-0.16669197887606688
P38,CD27_212_224,-0.16669197887606688
PDHK,CD27_212_224,-0.16669197887606688
PEK,CD27_212_224,-0.16669197887606688
PHK,CD27_212_224,-0.16669197887606688
PIM,CD27_212_224,-0.16669197887606688
PKCA,CD27_212_224,-0.16669197887606688
PKD,CD27_212_224,-0.16669197887606688
QIK,CD27_212_224,-0.16669197887606688
RSK,CD27_212_224,-0.16669197887606688
VRK2,CD27_212_224,-0.16669197887606688
BARK1,CDC2_154_169,0.00648402292955937
CDK,CDC2_154_169,0.00648402292955937
COT,CDC2_154_169,0.00648402292955937
PEK,CDC2_154_169,0.00648402292955937
PKG,CDC2_154_169,0.00648402292955937
RSK,CDC2_154_169,0.00648402292955937
STE7,CDC2_154_169,0.00648402292955937
VRK2,CDC2_154_169,0.00648402292955937
BARK1,CDK7_163_175,-0.05708637447965614
CDK,CDK7_163_175,-0.05708637447965614
DMPK,CDK7_163_175,-0.05708637447965614
DYRK,CDK7_163_175,-0.05708637447965614
FRAY,CDK7_163_175,-0.05708637447965614
JNK,CDK7_163_175,-0.05708637447965614
MAPKAPK,CDK7_163_175,-0.05708637447965614
MST,CDK7_163_175,-0.05708637447965614
MTOR,CDK7_163_175,-0.05708637447965614
P38,CDK7_163_175,-0.05708637447965614
PDK1,CDK7_163_175,-0.05708637447965614
PEK,CDK7_163_175,-0.05708637447965614
PHK,CDK7_163_175,-0.05708637447965614
PIM,CDK7_163_175,-0.05708637447965614
PKCA,CDK7_163_175,-0.05708637447965614
PKCI,CDK7_163_175,-0.05708637447965614
PRKDC,CDK7_163_175,-0.05708637447965614
QIK,CDK7_163_175,-0.05708637447965614
STE7,CDK7_163_175,-0.05708637447965614
VRK2,CDK7_163_175,-0.05708637447965614
AKT,CDN1A_139_151,0.2524613174526215
BARK1,CDN1A_139_151,0.2524613174526215
CDK,CDN1A_139_151,0.2524613174526215
DAPK,CDN1A_139_151,0.2524613174526215
DMPK,CDN1A_139_151,0.2524613174526215
IKK,CDN1A_139_151,0.2524613174526215
MELK,CDN1A_139_151,0.2524613174526215
NDR,CDN1A_139_151,0.2524613174526215
PEK,CDN1A_139_151,0.2524613174526215
PHK,CDN1A_139_151,0.2524613174526215
PIM,CDN1A_139_151,0.2524613174526215
PKCA,CDN1A_139_151,0.2524613174526215
PKD,CDN1A_139_151,0.2524613174526215
RIPK,CDN1A_139_151,0.2524613174526215
RSK,CDN1A_139_151,0.2524613174526215
STE7,CDN1A_139_151,0.2524613174526215
VRK2,CDN1A_139_151,0.2524613174526215
AUR,CENPA_1_14,0.02430025387713316
BARK1,CENPA_1_14,0.02430025387713316
DMPK,CENPA_1_14,0.02430025387713316
MAPKAPK,CENPA_1_14,0.02430025387713316
PIM,CENPA_1_14,0.02430025387713316
PKCA,CENPA_1_14,0.02430025387713316
PKG,CENPA_1_14,0.02430025387713316
VRK2,CENPA_1_14,0.02430025387713316
AMPK,CFTR_730_742,0.9243249736719816
BARK1,CFTR_730_742,0.9243249736719816
CAMK2,CFTR_730_742,0.9243249736719816
CDK,CFTR_730_742,0.9243249736719816
DAPK,CFTR_730_742,0.9243249736719816
DYRK,CFTR_730_742,0.9243249736719816
GRK,CFTR_730_742,0.9243249736719816
IKK,CFTR_730_742,0.9243249736719816
MAPKAPK,CFTR_730_742,0.9243249736719816
PAKA,CFTR_730_742,0.9243249736719816
PDHK,CFTR_730_742,0.9243249736719816
PEK,CFTR_730_742,0.9243249736719816
PHK,CFTR_730_742,0.9243249736719816
PKA,CFTR_730_742,0.9243249736719816
PKCA,CFTR_730_742,0.9243249736719816
PKD,CFTR_730_742,0.9243249736719816
PKG,CFTR_730_742,0.9243249736719816
QIK,CFTR_730_742,0.9243249736719816
RAD53,CFTR_730_742,0.9243249736719816
RSK,CFTR_730_742,0.9243249736719816
VRK2,CFTR_730_742,0.9243249736719816
AKT,CGHB_109_121,0.4648311314936002
BARK1,CGHB_109_121,0.4648311314936002
CAMK2,CGHB_109_121,0.4648311314936002
DMPK,CGHB_109_121,0.4648311314936002
IKK,CGHB_109_121,0.4648311314936002
MTOR,CGHB_109_121,0.4648311314936002
PDHK,CGHB_109_121,0.4648311314936002
PDK1,CGHB_109_121,0.4648311314936002
PEK,CGHB_109_121,0.4648311314936002
PKA,CGHB_109_121,0.4648311314936002
PKCA,CGHB_109_121,0.4648311314936002
PKG,CGHB_109_121,0.4648311314936002
RSK,CGHB_109_121,0.4648311314936002
VRK2,CGHB_109_121,0.4648311314936002
AMPK,CREB1_126_138,0.4383131696895036
ATM,CREB1_126_138,0.4383131696895036
BARK1,CREB1_126_138,0.4383131696895036
CAMK1,CREB1_126_138,0.4383131696895036
CAMK2,CREB1_126_138,0.4383131696895036
COT,CREB1_126_138,0.4383131696895036
DMPK,CREB1_126_138,0.4383131696895036
DYRK,CREB1_126_138,0.4383131696895036
GSK,CREB1_126_138,0.4383131696895036
MAPKAPK,CREB1_126_138,0.4383131696895036
PDHK,CREB1_126_138,0.4383131696895036
PHK,CREB1_126_138,0.4383131696895036
PIM,CREB1_126_138,0.4383131696895036
PKA,CREB1_126_138,0.4383131696895036
PKCA,CREB1_126_138,0.4383131696895036
PKCD,CREB1_126_138,0.4383131696895036
PKCH,CREB1_126_138,0.4383131696895036
PKD,CREB1_126_138,0.4383131696895036
QIK,CREB1_126_138,0.4383131696895036
RAD53,CREB1_126_138,0.4383131696895036
RSK,CREB1_126_138,0.4383131696895036
SGK,CREB1_126_138,0.4383131696895036
VRK2,CREB1_126_138,0.4383131696895036
AMPK,CSF1R_701_713,0.463254741709702
BARK1,CSF1R_701_713,0.463254741709702
CDK,CSF1R_701_713,0.463254741709702
CK1,CSF1R_701_713,0.463254741709702
DMPK,CSF1R_701_713,0.463254741709702
PDHK,CSF1R_701_713,0.463254741709702
PEK,CSF1R_701_713,0.463254741709702
PIM,CSF1R_701_713,0.463254741709702
PKA,CSF1R_701_713,0.463254741709702
PKCA,CSF1R_701_713,0.463254741709702
PKG,CSF1R_701_713,0.463254741709702
RSK,CSF1R_701_713,0.463254741709702
VRK2,CSF1R_701_713,0.463254741709702
AMPK,DESP_2842_2854,0.5397726460411265
BARK1,DESP_2842_2854,0.5397726460411265
CAMK1,DESP_2842_2854,0.5397726460411265
CDK,DESP_2842_2854,0.5397726460411265
CK1,DESP_2842_2854,0.5397726460411265
DMPK,DESP_2842_2854,0.5397726460411265
GSK,DESP_2842_2854,0.5397726460411265
IKK,DESP_2842_2854,0.5397726460411265
MAPKAPK,DESP_2842_2854,0.5397726460411265
P38,DESP_2842_2854,0.5397726460411265
PDHK,DESP_2842_2854,0.5397726460411265
PDK1,DESP_2842_2854,0.5397726460411265
PEK,DESP_2842_2854,0.5397726460411265
PHK,DESP_2842_2854,0.5397726460411265
PIM,DESP_2842_2854,0.5397726460411265
PKA,DESP_2842_2854,0.5397726460411265
PKCA,DESP_2842_2854,0.5397726460411265
PKG,DESP_2842_2854,0.5397726460411265
QIK,DESP_2842_2854,0.5397726460411265
RIPK,DESP_2842_2854,0.5397726460411265
RSK,DESP_2842_2854,0.5397726460411265
SGK,DESP_2842_2854,0.5397726460411265
STE11,DESP_2842_2854,0.5397726460411265
STE7,DESP_2842_2854,0.5397726460411265
VRK2,DESP_2842_2854,0.5397726460411265
BARK1,EPB42_241_253,0.5123559309586782
DMPK,EPB42_241_253,0.5123559309586782
PHK,EPB42_241_253,0.5123559309586782
PIM,EPB42_241_253,0.5123559309586782
PKA,EPB42_241_253,0.5123559309586782
PKCA,EPB42_241_253,0.5123559309586782
PKG,EPB42_241_253,0.5123559309586782
RAD53,EPB42_241_253,0.5123559309586782
RSK,EPB42_241_253,0.5123559309586782
VRK2,EPB42_241_253,0.5123559309586782
BARK1,ERBB2_679_691,-0.03920312752739126
DMPK,ERBB2_679_691,-0.03920312752739126
PHK,ERBB2_679_691,-0.03920312752739126
PIM,ERBB2_679_691,-0.03920312752739126
PKA,ERBB2_679_691,-0.03920312752739126
PKCA,ERBB2_679_691,-0.03920312752739126
PKCD,ERBB2_679_691,-0.03920312752739126
PKCH,ERBB2_679_691,-0.03920312752739126
PKG,ERBB2_679_691,-0.03920312752739126
RSK,ERBB2_679_691,-0.03920312752739126
VRK2,ERBB2_679_691,-0.03920312752739126
BARK1,ERF_519_531,0.06282945261564343
CDK,ERF_519_531,0.06282945261564343
CHK1,ERF_519_531,0.06282945261564343
DAPK,ERF_519_531,0.06282945261564343
DMPK,ERF_519_531,0.06282945261564343
DYRK,ERF_519_531,0.06282945261564343
ERK,ERF_519_531,0.06282945261564343
IRAK,ERF_519_531,0.06282945261564343
MST,ERF_519_531,0.06282945261564343
P38,ERF_519_531,0.06282945261564343
PDK1,ERF_519_531,0.06282945261564343
PEK,ERF_519_531,0.06282945261564343
PIM,ERF_519_531,0.06282945261564343
PKA,ERF_519_531,0.06282945261564343
PKCA,ERF_519_531,0.06282945261564343
PKG,ERF_519_531,0.06282945261564343
RAD53,ERF_519_531,0.06282945261564343
RSK,ERF_519_531,0.06282945261564343
VRK2,ERF_519_531,0.06282945261564343
AKT,ESR1_160_172,0.23408196773683976
AUR,ESR1_160_172,0.23408196773683976
BARK1,ESR1_160_172,0.23408196773683976
CK2,ESR1_160_172,0.23408196773683976
DMPK,ESR1_160_172,0.23408196773683976
IKK,ESR1_160_172,0.23408196773683976
PEK,ESR1_160_172,0.23408196773683976
PHK,ESR1_160_172,0.23408196773683976
PIM,ESR1_160_172,0.23408196773683976
PKCA,ESR1_160_172,0.23408196773683976
RSK,ESR1_160_172,0.23408196773683976
STE11,ESR1_160_172,0.23408196773683976
STE7,ESR1_160_172,0.23408196773683976
VRK2,ESR1_160_172,0.23408196773683976
BARK1,FIBA_569_581,-0.12199863049625304
CDK,FIBA_569_581,-0.12199863049625304
CK1,FIBA_569_581,-0.12199863049625304
DAPK,FIBA_569_581,-0.12199863049625304
DMPK,FIBA_569_581,-0.12199863049625304
ERK,FIBA_569_581,-0.12199863049625304
GSK,FIBA_569_581,-0.12199863049625304
HAL,FIBA_569_581,-0.12199863049625304
IKK,FIBA_569_581,-0.12199863049625304
JNK,FIBA_569_581,-0.12199863049625304
MLCK,FIBA_569_581,-0.12199863049625304
MST,FIBA_569_581,-0.12199863049625304
PDHK,FIBA_569_581,-0.12199863049625304
PEK,FIBA_569_581,-0.12199863049625304
PHK,FIBA_569_581,-0.12199863049625304
PIM,FIBA_569_581,-0.12199863049625304
PKA,FIBA_569_581,-0.12199863049625304
PKCA,FIBA_569_581,-0.12199863049625304
PKG,FIBA_569_581,-0.12199863049625304
PLK,FIBA_569_581,-0.12199863049625304
QIK,FIBA_569_581,-0.12199863049625304
RAF,FIBA_569_581,-0.12199863049625304
RIPK,FIBA_569_581,-0.12199863049625304
RSK,FIBA_569_581,-0.12199863049625304
SGK,FIBA_569_581,-0.12199863049625304
STE7,FIBA_569_581,-0.12199863049625304
VRK2,FIBA_569_581,-0.12199863049625304
AKT,FOXO3_25_37,-0.1674170818939403
BARK1,FOXO3_25_37,-0.1674170818939403
CDK,FOXO3_25_37,-0.1674170818939403
ERK,FOXO3_25_37,-0.1674170818939403
MAPKAPK,FOXO3_25_37,-0.1674170818939403
P38,FOXO3_25_37,-0.1674170818939403
PHK,FOXO3_25_37,-0.1674170818939403
PIM,FOXO3_25_37,-0.1674170818939403
PKCA,FOXO3_25_37,-0.1674170818939403
QIK,FOXO3_25_37,-0.1674170818939403
RAF,FOXO3_25_37,-0.1674170818939403
RSK,FOXO3_25_37,-0.1674170818939403
SGK,FOXO3_25_37,-0.1674170818939403
VRK2,FOXO3_25_37,-0.1674170818939403
AKT,FRAP_2443_2455,0.01106967909112525
AMPK,FRAP_2443_2455,0.01106967909112525
BARK1,FRAP_2443_2455,0.01106967909112525
CK1,FRAP_2443_2455,0.01106967909112525
DAPK,FRAP_2443_2455,0.01106967909112525
DMPK,FRAP_2443_2455,0.01106967909112525
MAPKAPK,FRAP_2443_2455,0.01106967909112525
MELK,FRAP_2443_2455,0.01106967909112525
MLK,FRAP_2443_2455,0.01106967909112525
MSN,FRAP_2443_2455,0.01106967909112525
MTOR,FRAP_2443_2455,0.01106967909112525
NEK,FRAP_2443_2455,0.01106967909112525
PDHK,FRAP_2443_2455,0.01106967909112525
PDK1,FRAP_2443_2455,0.01106967909112525
PEK,FRAP_2443_2455,0.01106967909112525
PHK,FRAP_2443_2455,0.01106967909112525
PIM,FRAP_2443_2455,0.01106967909112525
PKA,FRAP_2443_2455,0.01106967909112525
PKCA,FRAP_2443_2455,0.01106967909112525
QIK,FRAP_2443_2455,0.01106967909112525
RSK,FRAP_2443_2455,0.01106967909112525
SGK,FRAP_2443_2455,0.01106967909112525
TAO,FRAP_2443_2455,0.01106967909112525
VRK2,FRAP_2443_2455,0.01106967909112525
AKT,GPR6_349_361,-0.08681523385444123
BARK1,GPR6_349_361,-0.08681523385444123
CDK,GPR6_349_361,-0.08681523385444123
CK1,GPR6_349_361,-0.08681523385444123
DMPK,GPR6_349_361,-0.08681523385444123
DYRK,GPR6_349_361,-0.08681523385444123
ERK,GPR6_349_361,-0.08681523385444123
IKK,GPR6_349_361,-0.08681523385444123
JNK,GPR6_349_361,-0.08681523385444123
MAPKAPK,GPR6_349_361,-0.08681523385444123
MELK,GPR6_349_361,-0.08681523385444123
P38,GPR6_349_361,-0.08681523385444123
PDK1,GPR6_349_361,-0.08681523385444123
PEK,GPR6_349_361,-0.08681523385444123
PHK,GPR6_349_361,-0.08681523385444123
PKCA,GPR6_349_361,-0.08681523385444123
QIK,GPR6_349_361,-0.08681523385444123
RAF,GPR6_349_361,-0.08681523385444123
RSK,GPR6_349_361,-0.08681523385444123
SGK,GPR6_349_361,-0.08681523385444123
VRK2,GPR6_349_361,-0.08681523385444123
AMPK,GPSM2_394_406,0.5908216844504279
BARK1,GPSM2_394_406,0.5908216844504279
CAMK1,GPSM2_394_406,0.5908216844504279
CHK1,GPSM2_394_406,0.5908216844504279
DMPK,GPSM2_394_406,0.5908216844504279
IKK,GPSM2_394_406,0.5908216844504279
MAPKAPK,GPSM2_394_406,0.5908216844504279
MARK,GPSM2_394_406,0.5908216844504279
PHK,GPSM2_394_406,0.5908216844504279
PKCA,GPSM2_394_406,0.5908216844504279
PKD,GPSM2_394_406,0.5908216844504279
VRK2,GPSM2_394_406,0.5908216844504279
BARK1,GSUB_61_73,-0.15471255950627297
CDK,GSUB_61_73,-0.15471255950627297
DAPK,GSUB_61_73,-0.15471255950627297
DMPK,GSUB_61_73,-0.15471255950627297
DYRK,GSUB_61_73,-0.15471255950627297
ERK,GSUB_61_73,-0.15471255950627297
PDK1,GSUB_61_73,-0.15471255950627297
PHK,GSUB_61_73,-0.15471255950627297
PKA,GSUB_61_73,-0.15471255950627297
PKG,GSUB_61_73,-0.15471255950627297
PLK,GSUB_61_73,-0.15471255950627297
VRK2,GSUB_61_73,-0.15471255950627297
AKT,GYS2_1_13,-0.02893004833426597
BARK1,GYS2_1_13,-0.02893004833426597
CDK,GYS2_1_13,-0.02893004833426597
DMPK,GYS2_1_13,-0.02893004833426597
IKK,GYS2_1_13,-0.02893004833426597
MAPKAPK,GYS2_1_13,-0.02893004833426597
MTOR,GYS2_1_13,-0.02893004833426597
PEK,GYS2_1_13,-0.02893004833426597
PHK,GYS2_1_13,-0.02893004833426597
PKA,GYS2_1_13,-0.02893004833426597
PKCA,GYS2_1_13,-0.02893004833426597
QIK,GYS2_1_13,-0.02893004833426597
RSK,GYS2_1_13,-0.02893004833426597
SGK,GYS2_1_13,-0.02893004833426597
VRK2,GYS2_1_13,-0.02893004833426597
AKT,H2B1B_ 27_40,-0.05838698897843297
AMPK,H2B1B_ 27_40,-0.05838698897843297
BARK1,H2B1B_ 27_40,-0.05838698897843297
CAMK1,H2B1B_ 27_40,-0.05838698897843297
CDK,H2B1B_ 27_40,-0.05838698897843297
COT,H2B1B_ 27_40,-0.05838698897843297
DAPK,H2B1B_ 27_40,-0.05838698897843297
DMPK,H2B1B_ 27_40,-0.05838698897843297
IKK,H2B1B_ 27_40,-0.05838698897843297
MLK,H2B1B_ 27_40,-0.05838698897843297
MST,H2B1B_ 27_40,-0.05838698897843297
PAKA,H2B1B_ 27_40,-0.05838698897843297
PAKB,H2B1B_ 27_40,-0.05838698897843297
PDHK,H2B1B_ 27_40,-0.05838698897843297
PEK,H2B1B_ 27_40,-0.05838698897843297
PHK,H2B1B_ 27_40,-0.05838698897843297
PIM,H2B1B_ 27_40,-0.05838698897843297
PKA,H2B1B_ 27_40,-0.05838698897843297
PKCA,H2B1B_ 27_40,-0.05838698897843297
PKCH,H2B1B_ 27_40,-0.05838698897843297
PKD,H2B1B_ 27_40,-0.05838698897843297
PKG,H2B1B_ 27_40,-0.05838698897843297
