Kinase,Z,method,AvgZ
CDK,-4.19,720012115>0.15,-3.8791666666666664
PKCA,-4.13,720012115>0.15,-2.8325
PEK,-4.13,720012115>0.15,-3.3825
QIK,-3.59,720012115>0.15,-1.6875
PLK,-3.34,720012115>0.15,-2.5033333333333334
JNK,-3.23,720012115>0.15,-3.9183333333333334
PDK1,-3.07,720012115>0.15,-3.8658333333333332
NMO,-2.98,720012115>0.15,-2.4458333333333333
DYRK,-2.81,720012115>0.15,-4.251666666666667
ERK,-2.81,720012115>0.15,-4.4191666666666665
PKG,2.77,720012115>0.15,3.1791666666666667
P38,-2.58,720012115>0.15,-3.43
PHK,-2.45,720012115>0.15,-1.75
STE7,-2.41,720012115>0.15,-1.5908333333333333
MST,-2.27,720012115>0.15,-2.1366666666666667
RAF,-2.1,720012115>0.15,-1.8766666666666667
PRKDC,-2.02,720012115>0.15,-1.2916666666666667
CK1,-1.99,720012115>0.15,-1.3091666666666666
PKA,1.93,720012115>0.15,3.3466666666666667
BARK2,-1.81,720012115>0.15,-0.3383333333333333
MTOR,-1.79,720012115>0.15,-1.8033333333333332
MLK,-1.72,720012115>0.15,-0.30499999999999994
ATR,-1.67,720012115>0.15,-1.3758333333333332
FRAY,-1.63,720012115>0.15,-1.3825
SGK,-1.58,720012115>0.15,0.08583333333333334
TLK,-1.53,720012115>0.15,-1.1916666666666667
NAK,-1.52,720012115>0.15,-0.20500000000000002
NUAK,-1.51,720012115>0.15,-1.1841666666666666
IKK,-1.5,720012115>0.15,-0.67
VRK1,-1.5,720012115>0.15,-1.035
PAKB,-1.5,720012115>0.15,-0.8191666666666666
MLCK,-1.47,720012115>0.15,-0.3350000000000001
TTK,-1.47,720012115>0.15,-1.1891666666666667
CAMK1,1.34,720012115>0.15,2.524166666666667
DMPK,-1.18,720012115>0.15,-0.6308333333333334
LKB,-1.13,720012115>0.15,-1.3241666666666667
DAPK,-1.13,720012115>0.15,-0.8791666666666667
ATM,-1.1,720012115>0.15,-0.6116666666666667
RAD53,1.09,720012115>0.15,1.1975
KHS,-1.06,720012115>0.15,-0.14499999999999993
BRSK,-1.06,720012115>0.15,0.043333333333333356
WNK,-1.05,720012115>0.15,-0.8391666666666666
NIK,-1.05,720012115>0.15,-0.8383333333333334
ULK,-1.04,720012115>0.15,-0.8241666666666666
BUD32,-1.04,720012115>0.15,-0.8275
CAMKK,-1.03,720012115>0.15,-0.8233333333333334
CLK,-1.03,720012115>0.15,-0.8383333333333334
TAO,0.98,720012115>0.15,0.17583333333333337
PIM,0.95,720012115>0.15,0.5358333333333333
MOS,0.95,720012115>0.15,-0.49583333333333335
