Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,53.823714957593474,28,PTM-SEA,0.5921052631578947,3,AGC,SGK,SGK,SGK1
PIK3C2A,0,55,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-6.236736491016684,52,PTM-SEA,0.27631578947368424,2,CAMK,CAMKL,CHK1,CHEK1
AURKA,-84.23410711285511,12,PTM-SEA,0.8421052631578947,4,OTHER,AUR,AUR,AURKA
DAPK3,0,55,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,-49.41221173151345,30,PTM-SEA,0.5657894736842105,3,AGC,RSK,MSK,RPS6KA5
CHEK2,94.26765109060163,5,PTM-SEA,0.9342105263157895,4,CAMK,RAD53,RAD53,CHEK2
RAF1,-18.901545608635075,49,PTM-SEA,0.3157894736842105,2,TKL,RAF,RAF,RAF1
PRKCG,0,55,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-13.539945640912974,50,PTM-SEA,0.3026315789473684,2,AGC,PKC,ALPHA,PRKCB
CDK1,87.3141214662047,10,PTM-SEA,0.868421052631579,4,CMGC,CDK,CDC2,CDK1
ARAF,-77.38465781706861,14,PTM-SEA,0.8026315789473685,4,TKL,RAF,RAF,ARAF
PIM1,-74.64409996103885,18,PTM-SEA,0.75,4,CAMK,PIM,PIM,PIM1
CDK4,104.8432637451439,2,PTM-SEA,0.9736842105263158,4,CMGC,CDK,CDK4,CDK4
SRC,0,55,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,-77.38465781706861,14,PTM-SEA,0.8026315789473685,4,TKL,RAF,RAF,BRAF
PRKCA,-49.03248697656032,31,PTM-SEA,0.5526315789473685,3,AGC,PKC,ALPHA,PRKCA
PRKACA,-28.295643956228275,45,PTM-SEA,0.3684210526315789,2,AGC,PKA,PKA,PRKACA
PRKACG,-56.48091919197989,26,PTM-SEA,0.618421052631579,3,AGC,PKA,PKA,PRKACG
PRKACB,-72.56994045838414,21,PTM-SEA,0.6842105263157895,3,AGC,PKA,PKA,PRKACB
RPS6KB1,24.509510562121914,47,PTM-SEA,0.34210526315789475,2,AGC,RSK,P70,RPS6KB1
CDK2,65.8831609226883,24,PTM-SEA,0.6447368421052632,3,CMGC,CDK,CDC2,CDK2
MAPK3,35.033279789029564,40,PTM-SEA,0.4342105263157895,2,CMGC,MAPK,ERK1,MAPK3
MAPK1,75.62502250726023,16,PTM-SEA,0.7763157894736842,4,CMGC,MAPK,ERK1,MAPK1
AKT1,-41.5078989915373,35,PTM-SEA,0.5,3,AGC,AKT,AKT,AKT1
AKT2,-28.106188006449816,46,PTM-SEA,0.35526315789473684,2,AGC,AKT,AKT,AKT2
MAP3K8,31.880237915988285,43,PTM-SEA,0.39473684210526316,2,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,-72.56994045838414,21,PTM-SEA,0.6842105263157895,3,AGC,PKC,IOTA,PRKCI
MTOR,0,55,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,62.129010906034445,25,PTM-SEA,0.631578947368421,3,CMGC,MAPK,JNK,MAPK8
MAPK9,0,55,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
