Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,-19.146678650628445,42,PTM-SEA,0.36,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,50,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-92.22881622965693,5,PTM-SEA,0.9333333333333333,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,18.161232651080354,43,PTM-SEA,0.3466666666666667,2,OTHER,AUR,AUR,AURKA
RPS6KA5,-65.5743323739877,21,PTM-SEA,0.64,3,AGC,RSK,MSK,RPS6KA5
CHEK2,-98.36153725752406,1,PTM-SEA,1,4,CAMK,RAD53,RAD53,CHEK2
RAF1,-5.274209994731674,49,PTM-SEA,0.26666666666666666,2,TKL,RAF,RAF,RAF1
PRKCG,0,50,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-43.816143449957885,26,PTM-SEA,0.5733333333333334,3,AGC,PKC,ALPHA,PRKCB
CDK1,-71.36390833737154,17,PTM-SEA,0.76,4,CMGC,CDK,CDC2,CDK1
ARAF,80.36942751623276,10,PTM-SEA,0.8533333333333334,4,TKL,RAF,RAF,ARAF
PIM1,66.25891529961928,20,PTM-SEA,0.6533333333333333,3,CAMK,PIM,PIM,PIM1
CDK4,-96.82599414414442,3,PTM-SEA,0.9733333333333334,4,CMGC,CDK,CDK4,CDK4
SRC,0,50,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,80.36942751623276,10,PTM-SEA,0.8533333333333334,4,TKL,RAF,RAF,BRAF
PRKCA,5.675151082190309,48,PTM-SEA,0.28,2,AGC,PKC,ALPHA,PRKCA
PRKACA,52.23958990480136,25,PTM-SEA,0.5866666666666667,3,AGC,PKA,PKA,PRKACA
PRKACG,66.25891529961928,20,PTM-SEA,0.6533333333333333,3,AGC,PKA,PKA,PRKACG
PRKACB,66.25891529961928,20,PTM-SEA,0.6533333333333333,3,AGC,PKA,PKA,PRKACB
RPS6KB1,69.15332539477333,19,PTM-SEA,0.7333333333333333,3,AGC,RSK,P70,RPS6KB1
CDK2,-76.10056531268744,13,PTM-SEA,0.8133333333333334,4,CMGC,CDK,CDC2,CDK2
MAPK3,-15.534316874614149,45,PTM-SEA,0.32,2,CMGC,MAPK,ERK1,MAPK3
MAPK1,-27.23960042661133,36,PTM-SEA,0.44,2,CMGC,MAPK,ERK1,MAPK1
AKT1,38.94390440875677,31,PTM-SEA,0.5066666666666667,3,AGC,AKT,AKT,AKT1
AKT2,72.82045578940254,15,PTM-SEA,0.7866666666666666,4,AGC,AKT,AKT,AKT2
MAP3K8,-31.597227641952703,34,PTM-SEA,0.4666666666666667,2,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,66.25891529961928,20,PTM-SEA,0.6533333333333333,3,AGC,PKC,IOTA,PRKCI
MTOR,0,50,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,-20.1502858741002,40,PTM-SEA,0.38666666666666666,2,CMGC,MAPK,JNK,MAPK8
MAPK9,0,50,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
MAPKAPK2,10.885565591494379,47,PTM-SEA,0.29333333333333333,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,58.43835291108996,23,PTM-SEA,0.6133333333333333,3,CMGC,GSK,GSK,GSK3B
CDK7,-54.941295546558706,24,PTM-SEA,0.6,3,CMGC,CDK,CDK7,CDK7
CDK9,-94.25708502024291,4,PTM-SEA,0.9466666666666667,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,43.40784769833361,27,PTM-SEA,0.56,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,50,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,0,50,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK1
MAPK10,-38.811740890688256,32,PTM-SEA,0.49333333333333335,2,CMGC,MAPK,JNK,MAPK10
PRKAA2,43.17026632565114,28,PTM-SEA,0.5466666666666666,3,CAMK,CAMKL,AMPK,PRKAA2
SIK1,-39.81983805668016,30,PTM-SEA,0.52,3,CAMK,CAMKL,QIK,SIK1
CSNK2A1,0,50,PTM-SEA,0,1,CMGC,CK2,CK2,CSNK2A1
PRKDC,-13.105263157894733,46,PTM-SEA,0.30666666666666664,2,ATYPICAL,PIKK,DNAPK,PRKDC
ATM,0,50,PTM-SEA,0,1,ATYPICAL,PIKK,ATM,ATM
