Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,-33.27550120152266,39,PTM-SEA,0.4,2,AGC,SGK,SGK,SGK1
PIK3C2A,0,51,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-97.13648057366251,8,PTM-SEA,0.8933333333333333,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,11.571623912652308,44,PTM-SEA,0.3333333333333333,2,OTHER,AUR,AUR,AURKA
RPS6KA5,11.03852472401896,45,PTM-SEA,0.32,2,AGC,RSK,MSK,RPS6KA5
CHEK2,-105.57017068233401,2,PTM-SEA,0.9733333333333334,4,CAMK,RAD53,RAD53,CHEK2
RAF1,-2.380003197786418,49,PTM-SEA,0.26666666666666666,2,TKL,RAF,RAF,RAF1
PRKCG,0,51,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-35.83409697297736,38,PTM-SEA,0.41333333333333333,2,AGC,PKC,ALPHA,PRKCB
CDK1,-102.00293517408566,4,PTM-SEA,0.9466666666666667,4,CMGC,CDK,CDC2,CDK1
ARAF,46.957394595381814,33,PTM-SEA,0.5466666666666666,3,TKL,RAF,RAF,ARAF
PIM1,43.042416788990295,35,PTM-SEA,0.4533333333333333,2,CAMK,PIM,PIM,PIM1
CDK4,-102.1012623380049,3,PTM-SEA,0.96,4,CMGC,CDK,CDK4,CDK4
SRC,0,51,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,46.957394595381814,33,PTM-SEA,0.5466666666666666,3,TKL,RAF,RAF,BRAF
PRKCA,14.412134130048734,43,PTM-SEA,0.3466666666666667,2,AGC,PKC,ALPHA,PRKCA
PRKACA,72.56813886397002,19,PTM-SEA,0.7466666666666667,3,AGC,PKA,PKA,PRKACA
PRKACG,43.042416788990295,35,PTM-SEA,0.4533333333333333,2,AGC,PKA,PKA,PRKACG
PRKACB,43.042416788990295,35,PTM-SEA,0.4533333333333333,2,AGC,PKA,PKA,PRKACB
RPS6KB1,37.662091125473175,37,PTM-SEA,0.4266666666666667,2,AGC,RSK,P70,RPS6KB1
CDK2,-100.30886164089755,5,PTM-SEA,0.9333333333333333,4,CMGC,CDK,CDC2,CDK2
MAPK3,-62.01177985432696,23,PTM-SEA,0.6933333333333334,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,-53.3182747612979,27,PTM-SEA,0.64,3,CMGC,MAPK,ERK1,MAPK1
AKT1,51.00270131782448,30,PTM-SEA,0.6,3,AGC,AKT,AKT,AKT1
AKT2,52.9552505754255,28,PTM-SEA,0.6266666666666667,3,AGC,AKT,AKT,AKT2
MAP3K8,-56.37811083786394,25,PTM-SEA,0.6666666666666666,3,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,43.042416788990295,35,PTM-SEA,0.4533333333333333,2,AGC,PKC,IOTA,PRKCI
MTOR,0,51,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,-72.29731181480986,20,PTM-SEA,0.7333333333333333,3,CMGC,MAPK,JNK,MAPK8
MAPK9,0,51,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK9
MAPKAPK2,-5.124183335028416,48,PTM-SEA,0.28,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,8.486532382823658,46,PTM-SEA,0.30666666666666664,2,CMGC,GSK,GSK,GSK3B
CDK7,-43.3359375,34,PTM-SEA,0.5333333333333333,3,CMGC,CDK,CDK7,CDK7
CDK9,-107.8359375,1,PTM-SEA,0.9866666666666667,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,50.99902257063568,31,PTM-SEA,0.5866666666666667,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,51,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,0,51,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK1
MAPK10,-86.671875,14,PTM-SEA,0.8133333333333334,4,CMGC,MAPK,JNK,MAPK10
PRKAA2,24.17258300104597,40,PTM-SEA,0.38666666666666666,2,CAMK,CAMKL,AMPK,PRKAA2
SIK1,-87.6796875,12,PTM-SEA,0.84,4,CAMK,CAMKL,QIK,SIK1
CSNK2A1,62.96456220714879,22,PTM-SEA,0.7066666666666667,3,CMGC,CK2,CK2,CSNK2A1
