Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
MAPK14,Q16539,CMGC,MAPK,0.38366743361786687,1.305762533774876,1.9344949769016098,2.368150537840182,-0.35718852233258175,-0.3675487917216973,0.10477232485648791,-0.17641923954025412,13
MAPK7,Q13164,CMGC,MAPK,0.4064871691613135,1.4098530053977425,1.9164973801697327,2.9122185821904574,-0.3852782495671732,-0.3821441926332071,0.08933776197007041,-0.16426195456921136,12
CDK2,P24941,CMGC,CDK,0.27814188412458196,1.268714726742108,1.4280118192439215,1.9464606035471759,-0.3088497357391697,-0.32754217766662674,0.047027133459713634,-0.15032821896604254,16
STK38L,Q9Y2H1,AGC,NDR,0.46721033206015933,1.634595138217865,1.3254327731432334,3.6655462488490693,-0.3918606310535125,-0.6814735660533127,0.5016243179487966,-0.03608141009194199,6
CAMK2A,Q9UQM7,CAMK,CAMK2,0.31529843991021944,0.776710413204992,1.2912110945761,1.5628839069519214,-0.3131247407857017,-0.2789470948891195,0.09803695052560028,-0.08011752583425633,8
CHEK1,O14757,CAMK,CAMKL,0.2718474786170416,0.8901862333472916,1.2722635982897046,1.4650605508482384,-0.3495003785821394,-0.31098952676106856,0.062240352523183724,-0.07987321286679865,9
MAPK8,P45983,CMGC,MAPK,0.22040350874217546,0.9024709865475825,1.2118033369802579,1.328308906051695,-0.24868046689872378,-0.23610818854979135,0.025527249347146293,-0.11743904024947716,24
CDK13,Q14004,CMGC,CDK,0.36933047738487773,0.7781343857804266,1.172994753532216,1.472885888360195,-0.4096527504222621,-0.4008117728526526,0.11181792142745296,-0.17663825871548694,4
MAPK10,P53779,CMGC,MAPK,0.22040350874217546,0.835962333343998,1.155945519515257,1.328308906051695,-0.24868046689872378,-0.22552790077377072,0.03687589507313986,-0.11743904024947716,23
MAPK12,P53778,CMGC,MAPK,0.2077694920803183,1.0181394453677368,1.1516384315003465,1.6882461389442458,-0.3314934127367599,-0.3379207713394788,0.05432626227843009,-0.16437699051114926,10
CDK1,P06493,CMGC,CDK,0.1549019599857432,0.9438839514325998,1.129596094720973,1.2975694635544746,-0.2645030318880988,-0.2566189151014485,0.017346215548286838,-0.1433832334845117,19
