Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,36.300997454581314,25,PTM-SEA,0.631578947368421,3,AGC,SGK,SGK,SGK1
PIK3C2A,0,55,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-23.738035950171316,31,PTM-SEA,0.5526315789473685,3,CAMK,CAMKL,CHK1,CHEK1
AURKA,-21.10344404215509,38,PTM-SEA,0.4605263157894737,2,OTHER,AUR,AUR,AURKA
DAPK3,0,55,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,-80.66994430740701,12,PTM-SEA,0.8157894736842105,4,AGC,RSK,MSK,RPS6KA5
CHEK2,4.596806012889241,52,PTM-SEA,0.27631578947368424,2,CAMK,RAD53,RAD53,CHEK2
RAF1,-94.23612038527176,7,PTM-SEA,0.881578947368421,4,TKL,RAF,RAF,RAF1
PRKCG,0,55,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-4.809172019055908,50,PTM-SEA,0.3026315789473684,2,AGC,PKC,ALPHA,PRKCB
CDK1,-19.073808758187447,39,PTM-SEA,0.4473684210526316,2,CMGC,CDK,CDC2,CDK1
ARAF,-103.35330944832704,1,PTM-SEA,0.9868421052631579,4,TKL,RAF,RAF,ARAF
PIM1,-97.13508613383519,6,PTM-SEA,0.8947368421052632,4,CAMK,PIM,PIM,PIM1
CDK4,-28.141429026595656,29,PTM-SEA,0.5789473684210527,3,CMGC,CDK,CDK4,CDK4
SRC,0,55,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,-103.35330944832704,1,PTM-SEA,0.9868421052631579,4,TKL,RAF,RAF,BRAF
PRKCA,8.175180482047987,47,PTM-SEA,0.34210526315789475,2,AGC,PKC,ALPHA,PRKCA
PRKACA,46.85317876123377,21,PTM-SEA,0.6973684210526315,3,AGC,PKA,PKA,PRKACA
PRKACG,-32.29861064243059,27,PTM-SEA,0.6052631578947368,3,AGC,PKA,PKA,PRKACG
PRKACB,-99.73481149720983,4,PTM-SEA,0.9210526315789473,4,AGC,PKA,PKA,PRKACB
RPS6KB1,6.7407405540983785,48,PTM-SEA,0.32894736842105265,2,AGC,RSK,P70,RPS6KB1
CDK2,-23.528356498842037,32,PTM-SEA,0.5394736842105263,3,CMGC,CDK,CDC2,CDK2
MAPK3,-22.97179606211537,33,PTM-SEA,0.5263157894736842,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,-4.740135252104803,51,PTM-SEA,0.2894736842105263,2,CMGC,MAPK,ERK1,MAPK1
AKT1,3.839835781504303,53,PTM-SEA,0.2631578947368421,2,AGC,AKT,AKT,AKT1
AKT2,1.3945288659620756,54,PTM-SEA,0.25,2,AGC,AKT,AKT,AKT2
MAP3K8,-12.964451442243293,43,PTM-SEA,0.39473684210526316,2,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
