Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
720012103,ACM1_444_456,0.2930114960299699,0.07809200934545135,0.2075815270544001
720012103,ACM4_456_468,0.7964281212188764,0.24234141847711815,0.5283312823020876
720012103,ADDB_696_708,0.3980455102349518,0.19250058832666755,0.23420963646595486
720012103,ADDB_706_718,1.1189796562262009,0.3906757527244302,0.6307296877907355
720012103,ADRB2_338_350,0.9596614645711234,1.0244356277052546,0.149416284600758
720012103,AMOT_744_756,0.09787864853935346,0.014745482043997763,0.2696452473210227
720012103,ANDR_785_797,0.4317819853215106,0.38546363625234054,0.2172116036286225
720012103,ANXA1_209_221,0.9089579298599517,0.617093914431608,0.2575910421251505
720012103,ARHG2_166_178,0.5671851441032931,0.06290902711077588,0.43685854042954236
720012103,BAD_112_124,1.3182686301688484,0.9585295553381178,0.45109364587081213
720012103,BAD_69_81,0.9487860076746202,0.4176968951171611,0.46751332724099753
720012103,BAD_93_105,0.6559576530048012,0.22063981792997972,0.3788515187946283
720012103,BCKD_45_57,0.6191613178266611,0.19710635904159562,0.376184815953297
720012103,BUB1_207_219,0.4611949454498747,0.1543478398868115,0.2732420071748467
720012103,C1R_201_213,0.26553691303696336,0.21047729546759028,0.05060188944402264
720012103,CAC1C_1974_1986,0.8472663239989693,0.9702551933805239,0.17251721169514073
720012103,CCR5_330_342,0.9392292763746548,0.04656512010701933,0.7730710498128792
720012103,CD27_212_224,0.7535803080171029,0.1579244026807028,0.5204582791123948
720012103,CDC2_154_169,0.4240039361017045,0.1659263547018135,0.3119249063525443
720012103,CDK7_163_175,1.173829455898229,0.2627696919937176,0.7891411716326658
720012103,CENPA_1_14,0.7319569295405906,0.13560177113008215,0.5220911183518029
720012103,CFTR_730_742,1.1732812060279283,1.2998652497073795,0.11433015949782063
720012103,CGHB_109_121,0.3800192542465277,0.5973016851845617,0.227163940263483
720012103,CO4A3_1429_1441,0.507993024406046,0.16661339953940085,0.4273790357853252
720012103,CREB1_126_138,0.8755097111231311,0.8148875158257655,0.1705293452419161
720012103,CSF1R_701_713,0.8903553456452098,0.8796526266380033,0.16678878631931457
720012103,DESP_2842_2854,1.3795729883419963,1.3980447516316366,0.06857873854449062
720012103,EPB42_241_253,1.3064788034965762,1.1689658927214541,0.15439228167994196
720012103,ERBB2_679_691,0.585124482986064,0.23889849031002974,0.29991176416332826
