Kinase,Z,method,AvgZ
PKCA,-29.83,720012406>0.15,-21.731666666666666
DMPK,-20.21,720012406>0.15,-14.634166666666667
CDK,-19.37,720012406>0.15,-13.888333333333334
PEK,-18.27,720012406>0.15,-13.175
PHK,-17.91,720012406>0.15,-13.100833333333334
RSK,-14.77,720012406>0.15,-10.4875
PIM,-12.67,720012406>0.15,-8.984166666666667
QIK,-12.28,720012406>0.15,-8.885
PDK1,-11.15,720012406>0.15,-7.94
PDHK,-10.68,720012406>0.15,-7.81
PKA,-10.61,720012406>0.15,-7.650833333333333
ERK,-10.51,720012406>0.15,-7.546666666666667
IKK,-10.17,720012406>0.15,-7.399166666666667
DYRK,-9.69,720012406>0.15,-6.993333333333333
P38,-9.64,720012406>0.15,-6.7316666666666665
STE7,-9.04,720012406>0.15,-6.6925
MAPKAPK,-8.79,720012406>0.15,-6.426666666666667
PKG,-8.76,720012406>0.15,-6.348333333333334
PLK,-8.66,720012406>0.15,-6.185833333333333
JNK,-8.52,720012406>0.15,-6.3475
PKD,-8.15,720012406>0.15,-5.868333333333333
AKT,-7.86,720012406>0.15,-5.5841666666666665
CK1,-7.85,720012406>0.15,-5.67
RIPK,-7.48,720012406>0.15,-5.355
PAKA,-6.92,720012406>0.15,-4.9174999999999995
RAD53,-6.86,720012406>0.15,-4.933333333333334
MELK,-6.17,720012406>0.15,-4.401666666666666
SGK,-6,720012406>0.15,-4.22
MTOR,-5.81,720012406>0.15,-4.1575
RAF,-5.69,720012406>0.15,-4.054166666666666
MST,-5.69,720012406>0.15,-4.0841666666666665
AMPK,-5.61,720012406>0.15,-4
DAPK,-5.54,720012406>0.15,-4.016666666666667
NEK,-5.25,720012406>0.15,-3.7275
CAMK1,-5.16,720012406>0.15,-3.73
FRAY,-5.05,720012406>0.15,-3.6033333333333335
GSK,-5.05,720012406>0.15,-3.7158333333333333
MLK,-4.7,720012406>0.15,-3.4141666666666666
CAMK2,-4.5,720012406>0.15,-3.2925
PKCH,-4.4,720012406>0.15,-3.1933333333333334
IRAK,-4.05,720012406>0.15,-2.9425
ATR,-3.97,720012406>0.15,-2.8316666666666666
PKCD,-3.89,720012406>0.15,-2.8341666666666665
CHK1,-3.87,720012406>0.15,-2.8233333333333333
GRK,-3.82,720012406>0.15,-2.7108333333333334
PRKDC,-3.67,720012406>0.15,-2.6883333333333335
PKCI,-3.65,720012406>0.15,-2.5925
NMO,-3.59,720012406>0.15,-2.5825
LKB,-3.54,720012406>0.15,-2.5733333333333333
AUR,-3.54,720012406>0.15,-2.5658333333333334
STE11,-3.42,720012406>0.15,-2.4658333333333333
CK2,-3.05,720012406>0.15,-2.1758333333333333
STKR,-2.76,720012406>0.15,-2.0283333333333333
MARK,-2.62,720012406>0.15,-1.8625
COT,-2.39,720012406>0.15,-1.71
VRK1,-2.37,720012406>0.15,-1.7041666666666666
MLCK,-2.36,720012406>0.15,-1.6991666666666667
NDR,-2.32,720012406>0.15,-1.7
MSN,-2.09,720012406>0.15,-1.4983333333333333
ATM,-2.09,720012406>0.15,-1.5
BARK2,-1.81,720012406>0.15,-1.3125
TLK,-1.5,720012406>0.15,-1.0608333333333333
PAKB,-1.49,720012406>0.15,-1.0733333333333333
TTK,-1.48,720012406>0.15,-1.0666666666666667
PKN,-1.45,720012406>0.15,-1.0641666666666667
NAK,-1.45,720012406>0.15,-1.0666666666666667
NUAK,-1.45,720012406>0.15,-1.05
HAL,-1.44,720012406>0.15,-1.0516666666666667
PASK,-1.07,720012406>0.15,-0.7525
CLK,-1.05,720012406>0.15,-0.755
ULK,-1.04,720012406>0.15,-0.7366666666666667
NIK,-1.04,720012406>0.15,-0.7441666666666666
WNK,-1.04,720012406>0.15,-0.7516666666666667
BUD32,-1.04,720012406>0.15,-0.7458333333333333
KHS,-1.04,720012406>0.15,-0.75
CAMKK,-1.03,720012406>0.15,-0.7441666666666666
MOS,-1.02,720012406>0.15,-0.7366666666666667
SLK,-1.02,720012406>0.15,-0.7466666666666667
TAO,-1.01,720012406>0.15,-0.7475
BRSK,-0.99,720012406>0.15,-0.7366666666666667
PKCA,-25.57,720012406>0.2,-21.731666666666666
DMPK,-16.99,720012406>0.2,-14.634166666666667
CDK,-16.03,720012406>0.2,-13.888333333333334
PHK,-15.6,720012406>0.2,-13.100833333333334
PEK,-15.22,720012406>0.2,-13.175
RSK,-12.31,720012406>0.2,-10.4875
PIM,-10.76,720012406>0.2,-8.984166666666667
QIK,-10.62,720012406>0.2,-8.885
PDHK,-9.67,720012406>0.2,-7.81
PKA,-9.11,720012406>0.2,-7.650833333333333
PDK1,-9.08,720012406>0.2,-7.94
ERK,-8.83,720012406>0.2,-7.546666666666667
IKK,-8.62,720012406>0.2,-7.399166666666667
DYRK,-8.53,720012406>0.2,-6.993333333333333
