Kinase,Z,method,AvgZ
PKCA,-4.56,720012115>0.15,-2.94
PHK,-3.8,720012115>0.15,-2.2600000000000002
CDK,-3.65,720012115>0.15,-2.0233333333333334
PEK,-3.44,720012115>0.15,-2.171666666666667
QIK,-3.31,720012115>0.15,-1.7650000000000001
DYRK,-2.83,720012115>0.15,-0.9416666666666668
PLK,-2.76,720012115>0.15,-0.9308333333333333
DMPK,-2.6,720012115>0.15,-1.3725
JNK,-2.6,720012115>0.15,-1.6424999999999998
FRAY,-2.42,720012115>0.15,-1.2325
IKK,-2.27,720012115>0.15,-1.1033333333333333
MLK,-2.21,720012115>0.15,-0.6124999999999999
NMO,-2.21,720012115>0.15,-1.3083333333333333
PAKA,-2.19,720012115>0.15,-1.055
P38,-2.1,720012115>0.15,-1.5008333333333332
PDHK,-2.08,720012115>0.15,-1.3458333333333332
STE7,-1.91,720012115>0.15,-0.645
PDK1,-1.85,720012115>0.15,-0.9783333333333333
PRKDC,-1.75,720012115>0.15,-0.63
ERK,-1.69,720012115>0.15,-1.3383333333333334
ATM,-1.68,720012115>0.15,-0.41333333333333333
RAF,-1.67,720012115>0.15,-1.0108333333333333
AKT,-1.59,720012115>0.15,-1.0258333333333334
BARK2,-1.47,720012115>0.15,-0.3933333333333333
MARK,1.37,720012115>0.15,0.5158333333333334
ATR,-1.37,720012115>0.15,-0.4183333333333333
MTOR,-1.37,720012115>0.15,-0.6791666666666667
PKCH,1.36,720012115>0.15,0.8966666666666667
PKG,1.28,720012115>0.15,0.07750000000000005
KHS,1.26,720012115>0.15,-0.31583333333333335
DAPK,-1.24,720012115>0.15,-0.5575
TAO,1.22,720012115>0.15,0.7341666666666667
SLK,1.21,720012115>0.15,0.2733333333333333
CAMK1,1.2,720012115>0.15,0.1783333333333333
MOS,1.19,720012115>0.15,0.9475
BRSK,1.19,720012115>0.15,0.4533333333333333
TLK,-1.19,720012115>0.15,-0.6816666666666666
NUAK,-1.19,720012115>0.15,-0.6825
TTK,-1.14,720012115>0.15,-0.6766666666666666
CAMK2,1.12,720012115>0.15,0.585
CHK1,1.09,720012115>0.15,0.015833333333333335
MAPKAPK,-1.05,720012115>0.15,-0.6891666666666667
CK1,-0.94,720012115>0.15,-1.0816666666666668
NDR,-0.94,720012115>0.15,-0.5508333333333334
VRK1,-0.93,720012115>0.15,-0.019166666666666617
LKB,-0.92,720012115>0.15,-0.47166666666666673
MLCK,0.9,720012115>0.15,0.4783333333333333
BUD32,-0.86,720012115>0.15,-0.4816666666666667
CLK,-0.84,720012115>0.15,-0.47333333333333333
CAMKK,-0.84,720012115>0.15,-0.4766666666666667
NIK,-0.83,720012115>0.15,-0.48583333333333334
ULK,-0.83,720012115>0.15,-0.485
WNK,-0.82,720012115>0.15,-0.47833333333333333
PASK,-0.8,720012115>0.15,-0.47000000000000003
IRAK,0.79,720012115>0.15,0.048333333333333346
PKCD,-0.74,720012115>0.15,0.3566666666666667
AMPK,-0.73,720012115>0.15,-0.5875
