Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,0.9665762445130504,2.6989700043360187,3.6655462488490693,3.6655462488490693,1.0879156111029953,1.0889384209060575,0.03412324833626858,0.3282571325816213,53
PRKG1,Q13976,AGC,PKG,0.9665762445130504,2.5013976431822806,3.6655462488490693,3.6655462488490693,1.2035537146883755,1.1888033029362062,0.0839855436162298,0.3525199227136118,37
PRKG2,Q13237,AGC,PKG,0.9665762445130504,2.5064818088001335,3.6655462488490693,3.6655462488490693,1.2390147257414967,1.227801673894619,0.05618198933796153,0.3326943195531217,33
PRKX,P51817,AGC,PKA,0.9665762445130504,2.387932165507843,3.6655462488490693,3.6655462488490693,1.2636644047551149,1.2840060718651594,0.04873338469374781,0.34524469004862,31
RPS6KA5,O75582,AGC-CAMK,RSK,0.9665762445130504,2.492599726954767,3.6655462488490693,3.6655462488490693,1.102446713345887,1.1058638353047348,0.031005294249319765,0.30726649966597874,41
RPS6KB2,Q9UBS0,AGC,RSK,0.9665762445130504,2.2369297274365465,3.364516253185088,3.6655462488490693,1.3004967462561952,1.3587309660877194,0.18896515891246674,0.3721252857286796,23
CAMK4,Q16566,CAMK,CAMK1,0.9665762445130504,1.2344518368649235,2.267606240177032,2.410273743745763,1.2908405197925101,1.3107214021059166,0.07670395243190045,0.3841430830852531,11
PRKACB,P22694,AGC,PKA,0.9665762445130504,1.5510047612219005,2.267606240177032,3.6655462488490693,1.0951217818110628,1.0833131649830876,0.09278469099396927,0.33582724503424904,25
PRKY,O43930,AGC,PKA,0.9665762445130504,0.9637864779127541,2.085762652232259,2.519418213170831,1.1789831182107764,1.248168121520202,0.33941253473557864,0.27724465241297314,10
AKT3,Q9Y243,AGC,AKT,0.9665762445130504,0.971588886141319,2.002788417167495,2.1214782044987937,1.1860109153868994,1.2636655912918617,0.2221312573908222,0.41885231220027586,9
AKT2,P31751,AGC,AKT,0.9665762445130504,1.0774014716773375,1.9753501688205555,2.489454989793388,1.0029779196068729,1.017448141443488,0.05698416034562491,0.27082048978331175,26
CHUK,O15111,OTHER,IKK,0.9665762445130504,0.9918674613547045,1.9665762445130504,2.063486257521107,1.5492008401882882,1.5505258558982369,0.001987523564923044,0.6497916964657202,4
CDK15,Q96Q40,CMGC,CDK,0.9665762445130504,0.9549928604448912,1.9579760727511328,2.0320777932694827,1.4503291327179464,1.3928934839863913,0.10804310042091093,0.48421085295227506,5
MAPKAPK3,Q16644,CAMK,MAPKAPK,0.833810299901628,0.7466008723736398,1.9331524890261007,2.285335007137463,0.9191704846650302,0.8146740144570573,0.17420873676981535,0.24131455314579928,35
STK38L,Q9Y2H1,AGC,NDR,0.9665762445130504,0.8849643353960215,1.9251835593548252,2.0744816418225698,1.320759189284131,1.2535586831345775,0.11639469094537137,0.3869880909250896,6
PIM1,P11309,CAMK,PIM,0.9665762445130504,0.9069789823351341,1.8802164138383022,2.0422969584511685,0.8457059303936791,0.8429778620423024,0.011889245206837472,0.2545961474648068,57
CHEK2,O96017,CAMK,RAD53,0.9665762445130504,0.9623137700342638,1.8662056993954874,2.3231235680268627,1.0197281777144287,1.071211206893232,0.11055127887748632,0.2859019727535181,17
PIM2,Q9P1W9,CAMK,PIM,0.9665762445130504,0.8638348430349079,1.8394714461482427,2.1741845550147962,0.9043201627900372,0.9040771049185318,0.02441035768093735,0.2601551663728248,35
PRKCA,P17252,AGC,PKC,0.9665762445130504,0.7603555364092346,1.7310477976055014,1.8204482088348124,0.9294854424408675,0.9220498114213286,0.015151542901809631,0.3121394908937467,25
PRKDC,P78527,Atypical,PIKK,0.9665762445130504,0.7078034826055589,1.683275015809501,1.7161562422041565,1.211424691905688,1.211424691905688,0,0.3894755220397248,4
PRKD1,Q15139,CAMK,PKD,0.9665762445130504,0.6958824223973129,1.6612248750664267,1.7361273231347765,1.1054865191416121,1.1054865191416121,0,0.3006199622182663,6
IKBKB,O14920,OTHER,IKK,0.7642975951737194,0.5239935847361027,1.579186418174321,1.665546248849069,1.111982351659572,0.9536366630145315,0.2063865986463342,0.44271125477629103,4
ATR,Q13535,Atypical,PIKK,0.9665762445130504,0.5717668901342383,1.5482749531933049,1.5863650028014442,0.9820838121267407,0.9742851158446162,0.023396088846373335,0.33725492509200844,7
CAMK2A,Q9UQM7,CAMK,CAMK2,0.9665762445130504,0.5923503134203564,1.5471516991444227,1.6878226435602213,0.9493491210826923,0.9783367227875822,0.07448394940256704,0.34897280289116794,8
CDK17,Q00537,CMGC,CDK,0.9104875515366097,0.4854545567859523,1.4865693015558996,1.522531448594974,0.9991617788469491,0.9393433038504257,0.1337581764025977,0.10168256885266391,3
PSKH1,P11801,CAMK,PSK,0.9665762445130504,0.5089281251007686,1.4710518562867123,1.5011933930646322,0.9747145680136083,0.9747145680136083,0,0.35245915481460904,3
CDK18,Q07002,CMGC,CDK,0.9665762445130504,0.494850021680094,1.4614262661931443,1.4614262661931443,0.9179564625341761,0.9179564625341761,NA,0.15486250476227204,4
DCLK2,Q8N568,CAMK,DCAMKL,0.9015581072254083,0.42670069695564483,1.4275001457202738,1.5194182131708311,0.7889887381396621,0.8124366884129783,0.12198801921379912,0.25258900123578604,11
PLK3,Q9H4B4,CAMK,PLK,0.9349496245712935,0.4477858527592524,1.4225082001627747,1.7624562618571256,0.8815966696749523,0.8760032604864421,0.22538776609119587,0.26780327706625995,5
CDK10,Q15131,CMGC,CDK,0.9665762445130504,0.43315962903351163,1.3960333046311528,1.4587203728172193,0.8969912746379233,0.8533411162861874,0.06422818996838024,0.2240611666972483,6
DCLK1,O15075,CAMK,DCAMKL,0.8242564547751444,0.5799016398432415,1.3905698578340147,1.7310477976055014,1.0373190809620456,1.0373190809620456,0.21351215361234305,0.3394658720904177,4
RPS6KC1,Q96S38,OTHER,RSKL,0.9665762445130504,0.4043810589690231,1.3767429101678013,1.4078676739798848,0.8203154054013245,0.8203154054013245,0,0.26251252283367155,3
