Kinase,Z,method,AvgZ
PKCA,-29.01,720012406>0.15,-18.69333333333333
DMPK,-19.04,720012406>0.15,-12.525
CDK,-18.09,720012406>0.15,-11.924166666666666
PEK,-16.85,720012406>0.15,-11.259166666666667
PHK,-16.83,720012406>0.15,-11.324166666666667
RSK,-13.71,720012406>0.15,-8.985833333333334
QIK,-11.64,720012406>0.15,-7.591666666666667
PIM,-11.35,720012406>0.15,-7.64
PDK1,-10.31,720012406>0.15,-6.795
PDHK,-10.17,720012406>0.15,-6.710833333333333
ERK,-9.82,720012406>0.15,-6.445
PKA,-9.81,720012406>0.15,-6.520833333333333
IKK,-9.4,720012406>0.15,-6.335
DYRK,-8.95,720012406>0.15,-5.9875
STE7,-8.71,720012406>0.15,-5.748333333333333
P38,-8.65,720012406>0.15,-5.763333333333334
JNK,-8.22,720012406>0.15,-5.46
PKG,-8.21,720012406>0.15,-5.4975
MAPKAPK,-8.16,720012406>0.15,-5.53
PLK,-8.16,720012406>0.15,-5.359166666666667
PKD,-7.69,720012406>0.15,-5.02
CK1,-7.37,720012406>0.15,-4.876666666666667
AKT,-7.13,720012406>0.15,-4.801666666666667
RIPK,-6.83,720012406>0.15,-4.6
RAD53,-6.35,720012406>0.15,-4.256666666666667
PAKA,-6.28,720012406>0.15,-4.185833333333333
MELK,-5.55,720012406>0.15,-3.7533333333333334
MTOR,-5.32,720012406>0.15,-3.5141666666666667
MST,-5.31,720012406>0.15,-3.4816666666666665
DAPK,-5.27,720012406>0.15,-3.4299999999999997
SGK,-5.27,720012406>0.15,-3.58
RAF,-5.22,720012406>0.15,-3.42
AMPK,-5.21,720012406>0.15,-3.4258333333333333
GSK,-4.9,720012406>0.15,-3.1708333333333334
CAMK1,-4.82,720012406>0.15,-3.1625
NEK,-4.67,720012406>0.15,-3.1533333333333333
FRAY,-4.54,720012406>0.15,-3.060833333333333
MLK,-4.42,720012406>0.15,-2.9425
CAMK2,-4.31,720012406>0.15,-2.799166666666667
PKCH,-4.2,720012406>0.15,-2.7308333333333334
IRAK,-3.81,720012406>0.15,-2.5258333333333334
ATR,-3.77,720012406>0.15,-2.4375
PKCD,-3.7,720012406>0.15,-2.41
CHK1,-3.64,720012406>0.15,-2.4183333333333334
GRK,-3.45,720012406>0.15,-2.3141666666666665
PRKDC,-3.43,720012406>0.15,-2.3
LKB,-3.35,720012406>0.15,-2.203333333333333
NMO,-3.34,720012406>0.15,-2.2041666666666666
PKCI,-3.31,720012406>0.15,-2.1991666666666667
AUR,-3.25,720012406>0.15,-2.194166666666667
STE11,-3.23,720012406>0.15,-2.0808333333333335
CK2,-2.82,720012406>0.15,-1.8641666666666667
STKR,-2.67,720012406>0.15,-1.7333333333333334
MARK,-2.44,720012406>0.15,-1.5941666666666667
COT,-2.28,720012406>0.15,-1.4683333333333333
MLCK,-2.19,720012406>0.15,-1.4541666666666666
VRK1,-2.19,720012406>0.15,-1.4466666666666665
NDR,-2.16,720012406>0.15,-1.4366666666666668
ATM,-1.93,720012406>0.15,-1.2866666666666666
MSN,-1.88,720012406>0.15,-1.2891666666666666
BARK2,-1.73,720012406>0.15,-1.115
PAKB,-1.4,720012406>0.15,-0.9158333333333334
NUAK,-1.4,720012406>0.15,-0.9083333333333333
PKN,-1.39,720012406>0.15,-0.9158333333333333
NAK,-1.39,720012406>0.15,-0.9125
TLK,-1.39,720012406>0.15,-0.9083333333333333
HAL,-1.36,720012406>0.15,-0.9116666666666666
TTK,-1.35,720012406>0.15,-0.9075
TAO,-0.99,720012406>0.15,-0.6383333333333333
WNK,-0.98,720012406>0.15,-0.6383333333333333
KHS,-0.97,720012406>0.15,-0.6366666666666667
